slot,canonical_ny,K1_reason,K2_gamma_reason,K2_accel_reason,K2_w1_reason,K3_OLS_reason,K3_w2_reason,K4_RV6_reason,K4_alpha_reason,K4_wt_reason
2023-01-05 07:00:00+00:00,2023-01-05 07:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.1271 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 08:00:00+00:00,2023-01-05 08:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.1213 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 09:00:00+00:00,2023-01-05 09:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0166 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 10:00:00+00:00,2023-01-05 10:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0158 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 11:00:00+00:00,2023-01-05 11:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 12:00:00+00:00,2023-01-05 12:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0040 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 13:00:00+00:00,2023-01-05 13:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0462 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 14:00:00+00:00,2023-01-05 14:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=0.0243 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 15:00:00+00:00,2023-01-05 15:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 16:00:00+00:00,2023-01-05 16:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 17:00:00+00:00,2023-01-05 17:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0295 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 18:00:00+00:00,2023-01-05 18:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 19:00:00+00:00,2023-01-05 19:00:00,INVALID: insufficient history (<720 slots),,,ACTIVE,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 20:00:00+00:00,2023-01-05 20:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0666 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 21:00:00+00:00,2023-01-05 21:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: |gamma_bar|=0.0656 <= 0.1,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
2023-01-05 22:00:00+00:00,2023-01-05 22:00:00,INVALID: insufficient history (<720 slots),,,INACTIVE: accel=-0.0069 <= 0.025,INVALID: non-finite lagged inputs,INACTIVE: OLS invalid or inputs non-finite,,VALID,ACTIVE
