strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,control_id
ALPHA1_S001,FAM_A,BTC,,2026-02-15T14:00:00+00:00,2026-02-15T14:00:00+00:00,2026-02-15T15:00:00+00:00,69128.0,LONG,perp,2026-02-15T16:00:00+00:00,68989.0,STATE_EXIT,,2,-20.1076,2.5,2.5,-0.0328,-25.1405,-0.2011,-0.2514,-0.002,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-16T12:00:00+00:00,2026-02-16T12:00:00+00:00,2026-02-16T13:00:00+00:00,69722.0,LONG,perp,2026-02-16T13:00:00+00:00,68360.0,STATE_EXIT,,1,-195.3472,2.5,2.5,0.0,-200.3472,-1.9535,-2.0035,-0.0195,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-17T08:00:00+00:00,2026-02-17T08:00:00+00:00,2026-02-17T09:00:00+00:00,68139.0,LONG,perp,2026-02-17T09:00:00+00:00,68089.0,STATE_EXIT,,1,-7.3379,2.5,2.5,0.0,-12.3379,-0.0734,-0.1234,-0.0007,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-17T10:00:00+00:00,2026-02-17T10:00:00+00:00,2026-02-17T11:00:00+00:00,67802.0,LONG,perp,2026-02-17T11:00:00+00:00,67821.0,STATE_EXIT,,1,2.8023,2.5,2.5,0.0,-2.1977,0.028,-0.022,0.0,0.0003,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-17T12:00:00+00:00,2026-02-17T12:00:00+00:00,2026-02-17T13:00:00+00:00,67878.0,LONG,perp,2026-02-17T13:00:00+00:00,68106.0,STATE_EXIT,,1,33.5897,2.5,2.5,0.0,28.5897,0.3359,0.2859,0.0,0.0034,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-18T05:00:00+00:00,2026-02-18T05:00:00+00:00,2026-02-18T06:00:00+00:00,67615.0,LONG,perp,2026-02-18T07:00:00+00:00,68086.0,STATE_EXIT,,2,69.6591,2.5,2.5,-0.125,64.5341,0.6966,0.6453,0.0,0.007,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-18T08:00:00+00:00,2026-02-18T08:00:00+00:00,2026-02-18T09:00:00+00:00,68094.0,LONG,perp,2026-02-18T09:00:00+00:00,68132.0,STATE_EXIT,,1,5.5805,2.5,2.5,0.0,0.5805,0.0558,0.0058,0.0,0.0006,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-18T10:00:00+00:00,2026-02-18T10:00:00+00:00,2026-02-18T11:00:00+00:00,67760.0,LONG,perp,2026-02-18T11:00:00+00:00,67337.0,STATE_EXIT,,1,-62.4262,2.5,2.5,0.0,-67.4262,-0.6243,-0.6743,-0.0062,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-18T17:00:00+00:00,2026-02-18T17:00:00+00:00,2026-02-18T18:00:00+00:00,67138.0,LONG,perp,2026-02-18T18:00:00+00:00,66317.0,INVALIDATION,INVALIDATION,1,-122.2854,2.5,2.5,0.0,-127.2854,-1.2229,-1.2729,-0.0126,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-19T20:00:00+00:00,2026-02-19T20:00:00+00:00,2026-02-19T21:00:00+00:00,67107.0,LONG,perp,2026-02-19T21:00:00+00:00,66904.0,STATE_EXIT,,1,-30.2502,2.5,2.5,0.0,-35.2502,-0.3025,-0.3525,-0.003,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-20T19:00:00+00:00,2026-02-20T19:00:00+00:00,2026-02-20T20:00:00+00:00,67602.0,LONG,perp,2026-02-20T20:00:00+00:00,67720.0,STATE_EXIT,,1,17.4551,2.5,2.5,0.0,12.4551,0.1746,0.1246,0.0,0.0017,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-20T23:00:00+00:00,2026-02-20T23:00:00+00:00,2026-02-21T00:00:00+00:00,67979.0,LONG,perp,2026-02-21T01:00:00+00:00,67917.0,STATE_EXIT,,2,-9.1205,2.5,2.5,-0.0176,-14.1381,-0.0912,-0.1414,-0.0026,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-21T08:00:00+00:00,2026-02-21T08:00:00+00:00,2026-02-21T09:00:00+00:00,68010.0,LONG,perp,2026-02-21T09:00:00+00:00,68111.0,STATE_EXIT,,1,14.8508,2.5,2.5,0.0,9.8508,0.1485,0.0985,0.0,0.0015,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-21T10:00:00+00:00,2026-02-21T10:00:00+00:00,2026-02-21T11:00:00+00:00,68172.0,LONG,perp,2026-02-21T11:00:00+00:00,68055.0,STATE_EXIT,,1,-17.1625,2.5,2.5,0.0,-22.1625,-0.1716,-0.2216,-0.0017,0.0,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-21T14:00:00+00:00,2026-02-21T14:00:00+00:00,2026-02-21T15:00:00+00:00,68410.0,LONG,perp,2026-02-21T15:00:00+00:00,68577.0,STATE_EXIT,,1,24.4116,2.5,2.5,0.0,19.4116,0.2441,0.1941,0.0,0.0025,ALPHA1_C006
ALPHA1_S001,FAM_A,BTC,,2026-02-21T21:00:00+00:00,2026-02-21T21:00:00+00:00,2026-02-21T22:00:00+00:00,68338.0,LONG,perp,2026-02-21T22:00:00+00:00,67939.0,STATE_EXIT,,1,-58.3863,2.5,2.5,0.0,-63.3863,-0.5839,-0.6339,-0.0058,0.0,ALPHA1_C006
