date,direction,result,pnl_pips,p90_hour,tier,ar_pips,p90_body_pips,entry,sl,tp,entry_time,exit_time
2025-07-17,LONG,SL,-1.3,3,T3,32.4,5.1,1.16066,1.160558,1.16168,2025-07-17,2025-07-17 09:20:00
2025-07-18,SHORT,SL,-1.2,3,T2,29.2,4.3,1.1625999999999999,1.1626859999999999,1.16174,2025-07-18,2025-07-18 10:05:00
2025-07-21,SHORT,SL,-1.4,5,T1,15.7,5.5,1.16579,1.1659000000000002,1.16469,2025-07-21,2025-07-21 14:15:00
2025-07-28,LONG,SL,-1.9,4,T1,12.3,8.0,1.1716199999999997,1.1714599999999997,1.17322,2025-07-28,2025-07-28 09:30:00
2025-08-01,SHORT,SL,-1.2,3,T3,37.9,4.4,1.1442000000000005,1.1442880000000006,1.1433200000000001,2025-08-01,2025-08-01 15:35:00
2025-08-04,LONG,TP,8.5,3,T1,18.6,4.4,1.15652,1.156432,1.1574,2025-08-04,2025-08-04 09:40:00
2025-08-08,LONG,SL,-1.4,3,T1,17.5,5.6,1.1641900000000003,1.1640780000000004,1.16531,2025-08-08,2025-08-08 08:35:00
2025-08-11,LONG,SL,-1.3,5,T1,17.0,5.2,1.1648800000000004,1.1647760000000005,1.16592,2025-08-11,2025-08-11 10:50:00
2025-08-12,LONG,SL,-1.7,3,T3,43.5,6.9,1.1605499999999997,1.1604119999999998,1.16193,2025-08-12,2025-08-12 12:40:00
2025-08-21,LONG,SL,-1.6,4,T2,22.7,6.7,1.1622700000000001,1.162136,1.16361,2025-08-21,2025-08-21 16:50:00
2025-08-25,SHORT,SL,-1.4,4,T1,14.1,5.4,1.1716800000000005,1.1717880000000005,1.1706,2025-08-25,2025-08-25 09:20:00
2025-08-29,SHORT,SL,-1.3,4,T3,39.8,5.2,1.1677600000000001,1.1678640000000002,1.16672,2025-08-29,2025-08-29 11:30:00
2025-09-01,SHORT,TP,12.3,4,T1,19.5,6.3,1.1735800000000003,1.1737060000000004,1.17232,2025-09-01,2025-09-01 12:15:00
2025-09-02,LONG,SL,-1.4,3,T1,18.9,5.5,1.1677399999999998,1.1676299999999997,1.1688399999999999,2025-09-02,2025-09-02 10:25:00
2025-09-05,SHORT,SL,-1.1,3,T2,22.2,4.1,1.1685,1.168582,1.16768,2025-09-05,2025-09-05 12:10:00
2025-09-08,SHORT,SL,-1.5,4,T1,10.5,5.9,1.1734600000000002,1.1735780000000002,1.17228,2025-09-08,2025-09-08 11:05:00
2025-09-11,SHORT,SL,-1.5,4,T2,24.4,6.1,1.17072,1.170842,1.1695,2025-09-11,2025-09-11 15:35:00
2025-09-15,SHORT,SL,-1.4,5,T1,11.0,5.5,1.1753399999999996,1.1754499999999997,1.17424,2025-09-15,2025-09-15 13:05:00
2025-09-22,SHORT,SL,-1.3,5,T1,8.9,4.9,1.1754700000000002,1.1755680000000002,1.17449,2025-09-22,2025-09-22 11:10:00
2025-09-24,LONG,SL,-1.3,3,T2,29.6,4.8,1.17874,1.1786439999999998,1.1797,2025-09-24,2025-09-24 09:55:00
2025-09-29,SHORT,SL,-1.4,5,T1,10.6,5.4,1.17402,1.174128,1.17294,2025-09-29,2025-09-29 15:50:00
2025-09-30,SHORT,SL,-1.4,4,T3,32.5,5.5,1.1749800000000001,1.1750900000000002,1.17388,2025-09-30,2025-09-30 11:15:00
2025-10-02,SHORT,SL,-1.6,4,T1,17.8,6.5,1.17548,1.17561,1.17418,2025-10-02,2025-10-02 10:50:00
2025-10-03,SHORT,SL,-1.2,4,T2,21.4,4.7,1.17354,1.173634,1.1726,2025-10-03,2025-10-03 11:05:00
2025-10-06,LONG,SL,-1.5,3,T1,11.4,6.0,1.1705400000000001,1.1704200000000002,1.17174,2025-10-06,2025-10-06 09:40:00
2025-10-07,LONG,SL,-1.5,4,T3,32.5,5.8,1.16746,1.167344,1.16862,2025-10-07,2025-10-07 10:45:00
2025-10-09,LONG,SL,-1.3,4,T3,35.5,4.9,1.1613599999999997,1.1612619999999998,1.16234,2025-10-09,2025-10-09 09:55:00
2025-10-20,LONG,SL,-1.2,4,T1,13.9,4.6,1.1652599999999997,1.1651679999999998,1.16618,2025-10-20,2025-10-20 13:20:00
2025-10-21,LONG,TP,9.1,5,T3,35.7,4.7,1.1618600000000001,1.161766,1.1628,2025-10-21,2025-10-21 09:35:00
2025-10-27,SHORT,SL,-1.4,5,T1,19.0,5.7,1.1638,1.163914,1.16266,2025-10-27,2025-10-27 12:45:00
2025-10-28,LONG,SL,-2.2,5,T3,44.6,9.5,1.16331,1.1631200000000002,1.16521,2025-10-28,2025-10-28 16:10:00
2025-10-29,LONG,SL,-1.4,4,T3,32.5,5.7,1.16144,1.161326,1.16258,2025-10-29,2025-10-29 21:40:00
2025-11-03,LONG,SL,-1.4,5,T1,7.5,5.7,1.1522700000000001,1.1521560000000002,1.15341,2025-11-03,2025-11-03 10:35:00
2025-11-05,LONG,SL,-1.2,3,T3,35.3,4.6,1.1478599999999997,1.1477679999999997,1.14878,2025-11-05,2025-11-05 12:10:00
2025-11-06,SHORT,SL,-1.8,5,T3,31.7,7.6,1.1536400000000002,1.1537920000000002,1.15212,2025-11-06,2025-11-06 15:35:00
2025-11-10,LONG,SL,-1.3,3,T1,15.4,5.2,1.15437,1.1542659999999998,1.15541,2025-11-10,2025-11-10 19:00:00
2025-11-13,SHORT,SL,-1.2,4,T1,17.1,4.7,1.16109,1.161184,1.16015,2025-11-13,2025-11-13 09:55:00
2025-11-17,LONG,SL,-1.1,3,T1,9.0,4.1,1.15872,1.158638,1.15954,2025-11-17,2025-11-17 16:40:00
2025-11-18,LONG,SL,-1.1,3,T3,35.7,4.1,1.15855,1.158468,1.15937,2025-11-18,2025-11-18 12:20:00
2025-11-21,LONG,SL,-1.4,4,T2,27.3,5.3,1.1530000000000002,1.1528940000000003,1.15406,2025-11-21,2025-11-21 12:00:00
2025-11-24,SHORT,SL,-1.8,5,T1,15.1,7.4,1.15342,1.153568,1.15194,2025-11-24,2025-11-24 12:05:00
2025-11-25,SHORT,SL,-1.5,4,T2,28.4,6.1,1.15367,1.153792,1.15245,2025-11-25,2025-11-25 12:10:00
2025-11-27,LONG,SL,-1.3,5,T3,43.4,4.9,1.1578299999999997,1.1577319999999998,1.15881,2025-11-27,2025-11-27 11:20:00
2025-11-28,LONG,SL,-1.2,3,T3,32.4,4.5,1.15756,1.15747,1.15846,2025-11-28,2025-11-28 10:30:00
2025-12-01,SHORT,SL,-2.0,5,T1,13.1,8.5,1.16318,1.16335,1.16148,2025-12-01,2025-12-01 14:20:00
2025-12-05,LONG,TP,9.7,4,T2,26.7,5.0,1.1656000000000002,1.1655000000000002,1.1666,2025-12-05,2025-12-05 09:10:00
2025-12-09,LONG,SL,-1.1,3,T2,21.2,4.2,1.1636200000000003,1.1635360000000003,1.16446,2025-12-09,2025-12-09 10:10:00
2025-12-10,SHORT,SL,-1.3,4,T2,26.8,4.8,1.1654200000000001,1.1655160000000002,1.16446,2025-12-10,2025-12-10 10:40:00
2025-12-17,LONG,SL,-1.2,3,T3,33.3,4.5,1.17078,1.17069,1.17168,2025-12-17,2025-12-17 09:00:00
2025-12-18,SHORT,TP,10.3,4,T1,15.0,5.3,1.1760000000000004,1.1761060000000003,1.17494,2025-12-18,2025-12-18 15:55:00
2025-12-22,SHORT,SL,-1.3,5,T1,8.5,4.8,1.17433,1.1744260000000002,1.17337,2025-12-22,2025-12-22 15:00:00
2025-12-26,LONG,SL,-1.4,3,T1,12.8,5.7,1.17663,1.1765160000000001,1.17777,2025-12-26,2025-12-26 18:25:00
2025-12-29,SHORT,SL,-1.2,3,T2,22.3,4.5,1.17697,1.17706,1.17607,2025-12-29,2025-12-29 09:20:00
2025-12-30,LONG,SL,-1.6,4,T2,21.6,6.5,1.17546,1.17533,1.17676,2025-12-30,2025-12-30 17:25:00
2025-12-31,LONG,SL,-1.1,3,T3,43.5,4.2,1.1725899999999998,1.1725059999999998,1.17343,2025-12-31,2025-12-31 10:45:00
2026-01-02,LONG,SL,-2.0,4,T1,14.3,8.7,1.1715499999999996,1.1713759999999995,1.17329,2026-01-02,2026-01-02 12:20:00
2026-01-05,LONG,TP,10.1,5,T1,18.8,5.2,1.1678699999999997,1.1677659999999996,1.16891,2026-01-05,2026-01-05 08:30:00
2026-01-12,SHORT,SL,-1.6,3,T1,18.1,6.4,1.1685300000000005,1.1686580000000006,1.1672500000000001,2026-01-12,2026-01-12 10:05:00
2026-01-15,LONG,SL,-1.1,3,T1,12.1,4.1,1.1625699999999999,1.162488,1.16339,2026-01-15,2026-01-15 15:00:00
2026-01-19,LONG,TP,7.9,3,T2,21.4,4.1,1.16193,1.161848,1.16275,2026-01-19,2026-01-19 11:00:00
2026-01-26,LONG,TP,15.9,3,T1,14.4,8.1,1.1839300000000001,1.1837680000000002,1.18555,2026-01-26,2026-01-26 10:35:00
2026-02-02,LONG,SL,-1.4,3,T3,31.6,5.4,1.18344,1.183332,1.18452,2026-02-02,2026-02-02 15:15:00
2026-02-06,LONG,TP,9.3,3,T2,23.7,4.8,1.1786599999999998,1.1785639999999997,1.17962,2026-02-06,2026-02-06 11:30:00
2026-02-09,SHORT,SL,-4.0,3,T1,18.0,18.3,1.18883,1.1891960000000001,1.18517,2026-02-09,2026-02-09 15:15:00
2026-02-13,SHORT,SL,-1.2,3,T2,26.6,4.6,1.1870800000000004,1.1871720000000003,1.18616,2026-02-13,2026-02-13 15:35:00
2026-02-16,LONG,SL,-1.2,4,T1,8.2,4.7,1.1851800000000001,1.185086,1.18612,2026-02-16,2026-02-16 15:15:00
2026-02-17,LONG,SL,-1.7,10,T3,38.9,7.2,1.1807800000000004,1.1806360000000005,1.18222,2026-02-17,2026-02-17 17:35:00
2026-02-18,LONG,SL,-1.2,5,T1,12.7,4.7,1.18229,1.182196,1.18323,2026-02-18,2026-02-18 16:10:00
2026-02-23,LONG,SL,-1.3,5,T1,12.9,5.2,1.1807700000000003,1.1806660000000004,1.18181,2026-02-23,2026-02-23 11:15:00
2026-02-27,SHORT,TP,9.9,4,T2,28.6,5.1,1.18217,1.182272,1.18115,2026-02-27,2026-02-27 10:40:00
2026-03-02,LONG,SL,-2.0,3,T2,29.7,8.4,1.1741100000000002,1.1739420000000003,1.1757900000000001,2026-03-02,2026-03-02 08:25:00
2026-03-06,LONG,SL,-1.7,5,T3,41.8,6.9,1.1593999999999998,1.1592619999999998,1.16078,2026-03-06,2026-03-06 11:10:00
2026-03-09,SHORT,SL,-1.1,3,T2,21.2,4.1,1.1538300000000001,1.153912,1.15301,2026-03-09,2026-03-09 08:25:00
2026-03-11,LONG,SL,-1.4,4,T3,34.1,5.4,1.16199,1.161882,1.16307,2026-03-11,2026-03-11 10:40:00
2026-03-23,LONG,SL,-1.6,3,T1,14.7,6.5,1.15296,1.15283,1.15426,2026-03-23,2026-03-23 09:10:00
2026-03-25,LONG,SL,-1.5,4,T3,39.4,6.2,1.1575199999999999,1.1573959999999999,1.15876,2026-03-25,2026-03-25 16:50:00
2026-03-27,LONG,SL,-1.3,5,T3,33.2,5.0,1.1513200000000001,1.1512200000000001,1.15232,2026-03-27,2026-03-27 14:00:00
2026-03-30,LONG,SL,-1.7,5,T1,19.9,6.9,1.1491999999999998,1.1490619999999998,1.15058,2026-03-30,2026-03-30 12:10:00
2026-04-06,SHORT,SL,-1.6,4,T2,22.0,6.6,1.1545799999999997,1.1547119999999997,1.15326,2026-04-06,2026-04-06 10:40:00
2026-04-13,LONG,TP,10.3,4,T1,5.0,5.3,1.1678300000000001,1.1677240000000002,1.16889,2026-04-13,2026-04-13 10:00:00
2026-04-15,SHORT,TP,8.9,3,T3,40.8,4.6,1.1806799999999997,1.1807719999999997,1.17976,2026-04-15,2026-04-15 19:00:00
2026-04-16,SHORT,SL,-1.6,9,T3,37.1,6.4,1.1799,1.1800279999999999,1.17862,2026-04-16,2026-04-16 08:05:00
2026-04-17,SHORT,SL,-1.7,6,T3,36.2,7.1,1.18055,1.180692,1.17913,2026-04-17,2026-04-17 15:30:00
2026-04-20,SHORT,SL,-1.3,4,T1,8.0,5.2,1.1767900000000002,1.1768940000000003,1.17575,2026-04-20,2026-04-20 10:20:00
2026-04-24,LONG,TP,9.5,6,T3,40.7,4.9,1.1676299999999997,1.1675319999999998,1.16861,2026-04-24,2026-04-24 10:45:00
2026-04-27,SHORT,SL,-1.3,4,T1,12.9,5.1,1.1735199999999995,1.1736219999999995,1.1724999999999999,2026-04-27,2026-04-27 10:10:00
2026-04-28,LONG,SL,-1.6,4,T3,34.6,6.5,1.1680599999999999,1.16793,1.16936,2026-04-28,2026-04-28 15:05:00
2026-05-04,LONG,SL,-1.3,5,T1,16.4,4.8,1.17112,1.1710239999999998,1.17208,2026-05-04,2026-05-04 13:05:00
2026-05-08,SHORT,SL,-1.7,4,T3,38.8,6.9,1.1757799999999996,1.1759179999999996,1.1743999999999999,2026-05-08,2026-05-08 11:40:00
2026-05-11,SHORT,SL,-1.3,4,T1,16.2,5.1,1.17653,1.1766320000000001,1.17551,2026-05-11,2026-05-11 10:00:00
2026-05-12,LONG,TP,9.7,5,T2,27.3,5.0,1.1735300000000002,1.1734300000000002,1.17453,2026-05-12,2026-05-12 14:35:00
2026-05-14,LONG,SL,-1.6,5,T3,32.2,6.6,1.1694299999999997,1.1692979999999997,1.17075,2026-05-14,2026-05-14 16:25:00
2026-05-19,LONG,SL,-1.2,3,T3,40.2,4.3,1.1625400000000001,1.162454,1.1634,2026-05-19,2026-05-19 11:55:00
2026-05-22,LONG,SL,-1.5,3,T2,26.6,5.8,1.1597499999999998,1.1596339999999998,1.1609099999999999,2026-05-22,2026-05-22 13:45:00
