event_id,exit_date,route1,route2,route3,state_sequence,propagation_depth,alt_or_broad_weight,subperiod
EXIT_102,2025-09-21 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_103,2025-09-25 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_104,2025-10-02 23:59:59,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> MIXED_NO_CLEAR_ROUTE -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_105,2025-10-06 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,STABLECOIN_PARKING,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> STABLECOIN_PARKING -> NARROW_LEADERSHIP,0,0,2025-2026
EXIT_106,2025-10-28 23:59:59,MIXED_NO_CLEAR_ROUTE,STABLECOIN_PARKING,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE -> STABLECOIN_PARKING -> NARROW_LEADERSHIP -> BTC_CONCENTRATION,0,0,2025-2026
EXIT_107,2025-12-24 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> MID_CAP_ROTATION -> CAPITAL_EXIT,1,1,2025-2026
EXIT_108,2026-01-01 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION -> MID_CAP_ROTATION -> CAPITAL_EXIT,1,1,2025-2026
EXIT_109,2026-01-16 23:59:59,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE -> CAPITAL_EXIT -> NARROW_LEADERSHIP -> BTC_CONCENTRATION,0,0,2025-2026
EXIT_110,2026-01-23 23:59:59,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE -> CAPITAL_EXIT -> NARROW_LEADERSHIP -> BTC_CONCENTRATION,0,0,2025-2026
EXIT_111,2026-01-27 23:59:59,MIXED_NO_CLEAR_ROUTE,CAPITAL_EXIT,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE -> CAPITAL_EXIT -> NARROW_LEADERSHIP -> BTC_CONCENTRATION,0,0,2025-2026
EXIT_112,2026-03-08 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION -> BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE,0,0,2025-2026
EXIT_113,2026-03-17 23:59:59,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,BTC_CONCENTRATION -> MIXED_NO_CLEAR_ROUTE -> MID_CAP_ROTATION,1,1,2025-2026
EXIT_114,2026-03-21 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,MID_CAP_ROTATION,BTC_CONCENTRATION -> BTC_CONCENTRATION -> MID_CAP_ROTATION,1,1,2025-2026
EXIT_115,2026-03-24 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,MID_CAP_ROTATION,BTC_CONCENTRATION -> BTC_CONCENTRATION -> MID_CAP_ROTATION,1,1,2025-2026
EXIT_116,2026-03-27 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,MID_CAP_ROTATION,BTC_CONCENTRATION -> BTC_CONCENTRATION -> MID_CAP_ROTATION -> LARGE_ALT_ROTATION,2,1,2025-2026
EXIT_117,2026-04-01 23:59:59,BTC_CONCENTRATION,BTC_CONCENTRATION,MID_CAP_ROTATION,BTC_CONCENTRATION -> BTC_CONCENTRATION -> MID_CAP_ROTATION -> LARGE_ALT_ROTATION,2,1,2025-2026
EXIT_118,2026-04-12 23:59:59,BTC_CONCENTRATION,MID_CAP_ROTATION,LARGE_ALT_ROTATION,BTC_CONCENTRATION -> MID_CAP_ROTATION -> LARGE_ALT_ROTATION -> CAPITAL_EXIT,2,1,2025-2026
EXIT_119,2026-04-15 23:59:59,BTC_CONCENTRATION,MID_CAP_ROTATION,LARGE_ALT_ROTATION,BTC_CONCENTRATION -> MID_CAP_ROTATION -> LARGE_ALT_ROTATION -> CAPITAL_EXIT,2,1,2025-2026
EXIT_120,2026-05-08 23:59:59,MID_CAP_ROTATION,BTC_CONCENTRATION,LARGE_ALT_ROTATION,MID_CAP_ROTATION -> BTC_CONCENTRATION -> LARGE_ALT_ROTATION -> CAPITAL_EXIT,2,1,2025-2026
EXIT_121,2026-05-22 23:59:59,LARGE_ALT_ROTATION,CAPITAL_EXIT,NARROW_LEADERSHIP,LARGE_ALT_ROTATION -> CAPITAL_EXIT -> NARROW_LEADERSHIP -> SMALL_CAP_ROTATION,2,1,2025-2026
EXIT_122,2026-07-11 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION,0,0,2025-2026
EXIT_123,2026-08-11 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION,0,0,2025-2026
EXIT_124,2026-08-13 23:59:59,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,,MIXED_NO_CLEAR_ROUTE -> BTC_CONCENTRATION,0,0,2025-2026
