chain,end,max_rb_move,disp_chg,brd_chg,moves_cancel
Ethereum,2025-12-01 23:59:59,,0.02378,-0.04,False
Ethereum,2025-12-17 23:59:59,,0.08821,0.004,False
Ethereum,2026-01-11 23:59:59,,0.01862,0.23,False
Ethereum,2026-02-16 23:59:59,,0.02141,-0.02,False
Ethereum,2026-04-14 23:59:59,,1.66005,0.046,False
Ethereum,2026-04-20 23:59:59,,-1.35672,0.234,False
Ethereum,2026-05-05 23:59:59,,0.04114,0.034,False
Ethereum,2026-05-11 23:59:59,,-0.28118,-0.01,False
Ethereum,2026-05-14 23:59:59,,0.12812,-0.09,False
Solana,2021-04-01 23:59:59,,0.30815,0.0,False
Solana,2021-04-21 23:59:59,,0.36157,-0.218,False
Solana,2021-05-11 23:59:59,,0.04436,-0.146,False
Solana,2021-05-14 23:59:59,,-0.0047,0.02,False
Solana,2021-07-07 23:59:59,,0.0567,0.098,False
Solana,2021-07-31 23:59:59,,-0.16359,0.102,False
Solana,2021-08-10 23:59:59,,-0.03437,0.004,False
Solana,2021-08-28 23:59:59,,-0.28311,-0.012,False
Solana,2021-09-03 23:59:59,,0.04243,0.01,False
Solana,2021-09-06 23:59:59,,-0.00724,-0.022,False
Solana,2021-09-20 23:59:59,,-0.13859,-0.308,False
Solana,2021-10-02 23:59:59,,-0.01762,0.026,False
Solana,2021-10-09 23:59:59,,0.0021,0.168,False
Solana,2021-10-20 23:59:59,,0.07291,0.364,False
Solana,2021-10-29 23:59:59,,0.0517,0.088,False
Solana,2021-11-01 23:59:59,,-0.00824,-0.106,False
Solana,2021-11-12 23:59:59,,-0.07785,-0.014,False
Solana,2021-12-24 23:59:59,,-0.01732,0.024,False
Solana,2021-12-30 23:59:59,,0.00738,-0.092,False
Solana,2022-02-09 23:59:59,,,0.0,False
Solana,2022-03-05 23:59:59,,-0.14711,-0.148,False
Solana,2022-03-15 23:59:59,,-0.00813,0.014,False
Solana,2022-03-23 23:59:59,,0.09446,0.53,False
Solana,2022-04-03 23:59:59,,0.03213,0.086,False
Solana,2022-04-07 23:59:59,,0.06547,0.004,False
Solana,2022-04-22 23:59:59,,-0.02466,-0.208,False
Solana,2022-05-24 23:59:59,,-0.00704,0.014,False
Solana,2022-06-12 23:59:59,,0.33344,-0.252,False
Solana,2022-07-01 23:59:59,,-0.00087,-0.098,False
Solana,2022-07-25 23:59:59,,-0.08947,-0.382,False
Solana,2022-08-05 23:59:59,,-0.04458,0.05,False
Solana,2022-11-03 23:59:59,,0.03664,-0.154,False
Solana,2023-01-10 23:59:59,,0.01128,0.146,False
