chain,start,end,duration_d,imp_share_chg_pre5,imp_share_chg_post3,imp_share_ctrl_med,release_trigger,state_at_end,in_conc_at_end,state_end_plus7,state_end_plus30,fwd7_propagation,subperiod
Tron,2023-03-17 23:59:59,2023-03-20 23:59:59,4,0.16667,0.0,0.0,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-03-22 23:59:59,2023-03-24 23:59:59,3,0.33333,-0.33333,-0.4,tvl_chg7,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-03-31 23:59:59,2023-04-05 23:59:59,6,0.33333,-0.16667,0.0,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,BTC_CONCENTRATION,False,2023
Tron,2023-04-06 23:59:59,2023-04-08 23:59:59,3,0.16667,-0.16667,0.16667,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-04-11 23:59:59,2023-04-19 23:59:59,9,0.57143,0.2619,0.4,vel7,MIXED_NO_CLEAR_ROUTE,False,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-04-30 23:59:59,2023-05-02 23:59:59,3,0.16667,-0.33333,0.0,imp_share,BTC_CONCENTRATION,True,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,False,2023
Tron,2023-05-17 23:59:59,2023-05-20 23:59:59,4,-0.16667,0.5,0.2,tvl_chg7,MIXED_NO_CLEAR_ROUTE,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,2023
Tron,2023-05-28 23:59:59,2023-06-01 23:59:59,4,-0.5,0.6,0.5,imp_share,NARROW_LEADERSHIP,False,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,False,2023
Tron,2023-06-20 23:59:59,2023-06-28 23:59:59,8,0.23333,-0.4,0.0,vel7,BTC_CONCENTRATION,True,MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,False,2023
Tron,2023-07-02 23:59:59,2023-07-04 23:59:59,3,0.0,0.33333,0.1,imp_share,BTC_CONCENTRATION,True,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,False,2023
