event_id,exit_date,first_destination,tau_release_d,tau_release_censor,tau_activate_d,tau_activate_censor,tau_broaden_d,tau_broaden_censor,tau_peak_d,tau_peak_censor,tau_hold_d,tau_hold_censor,tau_decay_d,tau_decay_censor,tau_reroute_d,tau_reroute_censor,tau_total_d,tau_total_censor,subperiod
EXIT_112,2026-03-08 23:59:59,BTC_CONCENTRATION,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,30,OBSERVED,5,OBSERVED,,NOT_REACHED,1,OBSERVED,4.0,OBSERVED,2025-2026
EXIT_113,2026-03-17 23:59:59,BTC_CONCENTRATION,2,OBSERVED,52.0,OBSERVED,,RIGHT_CENSORED,21,OBSERVED,2,OBSERVED,24.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_114,2026-03-21 23:59:59,BTC_CONCENTRATION,2,OBSERVED,48.0,OBSERVED,,RIGHT_CENSORED,17,OBSERVED,1,OBSERVED,20.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_115,2026-03-24 23:59:59,BTC_CONCENTRATION,2,OBSERVED,45.0,OBSERVED,,RIGHT_CENSORED,28,OBSERVED,1,OBSERVED,28.0,OBSERVED,1,OBSERVED,2.0,OBSERVED,2025-2026
EXIT_116,2026-03-27 23:59:59,BTC_CONCENTRATION,4,OBSERVED,42.0,OBSERVED,,RIGHT_CENSORED,30,OBSERVED,1,OBSERVED,30.0,OBSERVED,1,OBSERVED,4.0,OBSERVED,2025-2026
EXIT_117,2026-04-01 23:59:59,BTC_CONCENTRATION,1,OBSERVED,37.0,OBSERVED,,RIGHT_CENSORED,27,OBSERVED,6,OBSERVED,27.0,OBSERVED,1,OBSERVED,5.0,OBSERVED,2025-2026
EXIT_118,2026-04-12 23:59:59,BTC_CONCENTRATION,1,OBSERVED,26.0,OBSERVED,,RIGHT_CENSORED,30,OBSERVED,2,OBSERVED,30.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_119,2026-04-15 23:59:59,BTC_CONCENTRATION,1,OBSERVED,23.0,OBSERVED,,RIGHT_CENSORED,27,OBSERVED,22,OBSERVED,,NOT_REACHED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_120,2026-05-08 23:59:59,MID_CAP_ROTATION,7,OBSERVED,1.0,OBSERVED,,RIGHT_CENSORED,4,OBSERVED,6,OBSERVED,,NOT_REACHED,1,OBSERVED,7.0,OBSERVED,2025-2026
EXIT_121,2026-05-22 23:59:59,LARGE_ALT_ROTATION,1,OBSERVED,1.0,OBSERVED,,RIGHT_CENSORED,1,OBSERVED,10,OBSERVED,7.0,OBSERVED,1,OBSERVED,48.0,OBSERVED,2025-2026
EXIT_122,2026-07-11 23:59:59,MIXED_NO_CLEAR_ROUTE,7,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,15,OBSERVED,6,OBSERVED,25.0,OBSERVED,1,OBSERVED,7.0,OBSERVED,2025-2026
EXIT_123,2026-08-11 23:59:59,MIXED_NO_CLEAR_ROUTE,1,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,12,OBSERVED,6,OBSERVED,12.0,OBSERVED,1,OBSERVED,1.0,OBSERVED,2025-2026
EXIT_124,2026-08-13 23:59:59,MIXED_NO_CLEAR_ROUTE,6,OBSERVED,,RIGHT_CENSORED,,RIGHT_CENSORED,10,OBSERVED,5,OBSERVED,10.0,OBSERVED,1,OBSERVED,6.0,OBSERVED,2025-2026
