state_1,state_2,state_3,occurrences,subperiods_with_ge3,classification,subperiod_counts
LARGE_ALT_ROTATION,BTC_CONCENTRATION,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
MID_CAP_ROTATION,BTC_CONCENTRATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
BTC_CONCENTRATION,BROAD_RISK_EXPANSION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
ETH_BROADENING,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
BROAD_RISK_EXPANSION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
BTC_CONCENTRATION,MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
MID_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2023"": 1}"
MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,ETH_BROADENING,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
ETH_BROADENING,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
NARROW_LEADERSHIP,ETH_BROADENING,BROAD_RISK_EXPANSION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
BROAD_RISK_EXPANSION,ETH_BROADENING,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
MID_CAP_ROTATION,BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
MIXED_NO_CLEAR_ROUTE,MID_CAP_ROTATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
LARGE_ALT_ROTATION,MID_CAP_ROTATION,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2024"": 1}"
MIXED_NO_CLEAR_ROUTE,MIXED_NO_CLEAR_ROUTE,SMALL_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,NARROW_LEADERSHIP,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,NARROW_LEADERSHIP,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
MIXED_NO_CLEAR_ROUTE,SMALL_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,MIXED_NO_CLEAR_ROUTE,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
MIXED_NO_CLEAR_ROUTE,LARGE_ALT_ROTATION,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
ETH_BROADENING,NARROW_LEADERSHIP,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
CAPITAL_EXIT,LARGE_ALT_ROTATION,CAPITAL_EXIT,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,BTC_CONCENTRATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,STABLECOIN_PARKING,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,CAPITAL_EXIT,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
BTC_CONCENTRATION,MIXED_NO_CLEAR_ROUTE,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
BTC_CONCENTRATION,LARGE_ALT_ROTATION,MID_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,MID_CAP_ROTATION,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
CAPITAL_EXIT,LARGE_ALT_ROTATION,STABLECOIN_PARKING,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
MID_CAP_ROTATION,NARROW_LEADERSHIP,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
CAPITAL_EXIT,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
CAPITAL_EXIT,CAPITAL_EXIT,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
CAPITAL_EXIT,NARROW_LEADERSHIP,NARROW_LEADERSHIP,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
NARROW_LEADERSHIP,LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,LARGE_ALT_ROTATION,SMALL_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
LARGE_ALT_ROTATION,SMALL_CAP_ROTATION,SMALL_CAP_ROTATION,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
SMALL_CAP_ROTATION,SMALL_CAP_ROTATION,MIXED_NO_CLEAR_ROUTE,1,0,CYCLE_SPECIFIC,"{""2025-2026"": 1}"
