chain,link,driver,outcome,lead_days,corr,perm_p,n,fdr_q
Cronos,TVL_LEADS_DEX,tvl_chg7,dex_volume_change_7d,14,0.0163,0.8159,339,0.8882
Cronos,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,1,0.2787,0.005,260,0.0253
Cronos,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,3,0.0319,0.7015,260,0.8264
Cronos,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,7,-0.123,0.0846,260,0.1654
Cronos,NATIVE_LEADS_VELOCITY,improving_share,median_vel7,14,-0.0092,0.8756,253,0.9296
Cronos,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,1,0.2934,0.005,352,0.0253
Cronos,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,3,0.4084,0.005,350,0.0253
Cronos,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,7,0.4681,0.0149,346,0.0499
Cronos,TVL_LEADS_STABLECOIN,tvl_chg7,stablecoin_change_30d,14,0.4228,0.0348,339,0.0831
Cronos,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,1,0.2763,0.01,260,0.0391
Cronos,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,3,0.0944,0.1642,260,0.2648
Cronos,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,7,-0.159,0.0697,259,0.1394
Cronos,VELOCITY_LEADS_NATIVE,median_vel7,improving_share,14,-0.0668,0.3532,258,0.5063
