metric,band_a,band_b,state,state_days,lag_days,corr,perm_p,n,uncond_best_lag,uncond_best_corr,state_conditioned,workstream,fdr_q
ew_return_1d,51-100,101-200,SC_OUTFLOW,646,3,0.0073,0.806,619,-1,-0.0677,False,B,0.8686
ew_return_1d,51-100,101-200,SC_OUTFLOW,646,7,0.0051,0.8955,617,-1,-0.0677,False,B,0.931
ew_return_1d,51-100,101-200,CONC_RISING,1112,-7,0.0229,0.4478,1066,-1,-0.0677,False,B,0.5937
ew_return_1d,51-100,101-200,CONC_RISING,1112,-3,-0.0816,0.0398,1071,-1,-0.0677,False,B,0.0933
ew_return_1d,51-100,101-200,CONC_RISING,1112,-1,0.0071,0.8109,1071,-1,-0.0677,False,B,0.8686
ew_return_1d,51-100,101-200,CONC_RISING,1112,1,0.0199,0.5323,1071,-1,-0.0677,False,B,0.6612
ew_return_1d,51-100,101-200,CONC_RISING,1112,3,-0.0681,0.0299,1071,-1,-0.0677,True,B,0.0759
ew_return_1d,51-100,101-200,CONC_RISING,1112,7,0.02,0.5323,1066,-1,-0.0677,False,B,0.6612
ew_return_1d,51-100,101-200,CONC_FALLING,1077,-7,0.0203,0.5771,1042,-1,-0.0677,False,B,0.6925
ew_return_1d,51-100,101-200,CONC_FALLING,1077,-3,0.0072,0.7811,1047,-1,-0.0677,False,B,0.8561
ew_return_1d,51-100,101-200,CONC_FALLING,1077,-1,-0.1355,0.005,1048,-1,-0.0677,False,B,0.0241
ew_return_1d,51-100,101-200,CONC_FALLING,1077,1,-0.1125,0.005,1048,-1,-0.0677,False,B,0.0241
ew_return_1d,51-100,101-200,CONC_FALLING,1077,3,0.0117,0.6915,1047,-1,-0.0677,False,B,0.7858
ew_return_1d,51-100,101-200,CONC_FALLING,1077,7,0.0389,0.2139,1042,-1,-0.0677,False,B,0.3434
ew_return_1d,101-200,201-300,BTC_UP,1127,-7,-0.0429,0.1294,1084,-1,-0.0569,False,B,0.2337
ew_return_1d,101-200,201-300,BTC_UP,1127,-3,0.0025,0.9403,1089,-1,-0.0569,False,B,0.9634
ew_return_1d,101-200,201-300,BTC_UP,1127,-1,-0.0489,0.0896,1088,-1,-0.0569,False,B,0.1748
ew_return_1d,101-200,201-300,BTC_UP,1127,1,-0.0557,0.0796,1088,-1,-0.0569,False,B,0.1601
ew_return_1d,101-200,201-300,BTC_UP,1127,3,-0.027,0.4179,1089,-1,-0.0569,False,B,0.5679
ew_return_1d,101-200,201-300,BTC_UP,1127,7,-0.056,0.0697,1084,-1,-0.0569,False,B,0.1456
ew_return_1d,101-200,201-300,BTC_DOWN,962,-7,-0.0256,0.4826,926,-1,-0.0569,False,B,0.6292
ew_return_1d,101-200,201-300,BTC_DOWN,962,-3,-0.0609,0.0796,929,-1,-0.0569,False,B,0.1601
ew_return_1d,101-200,201-300,BTC_DOWN,962,-1,-0.0872,0.0199,932,-1,-0.0569,False,B,0.0566
ew_return_1d,101-200,201-300,BTC_DOWN,962,1,-0.0779,0.0299,932,-1,-0.0569,False,B,0.0759
ew_return_1d,101-200,201-300,BTC_DOWN,962,3,-0.067,0.0448,929,-1,-0.0569,True,B,0.1023
ew_return_1d,101-200,201-300,BTC_DOWN,962,7,-0.0175,0.5672,926,-1,-0.0569,False,B,0.6865
ew_return_1d,101-200,201-300,VOL_HIGH,656,-7,-0.0278,0.5721,622,-1,-0.0569,False,B,0.69
ew_return_1d,101-200,201-300,VOL_HIGH,656,-3,-0.039,0.3184,625,-1,-0.0569,False,B,0.4687
ew_return_1d,101-200,201-300,VOL_HIGH,656,-1,-0.1252,0.005,628,-1,-0.0569,False,B,0.0241
ew_return_1d,101-200,201-300,VOL_HIGH,656,1,-0.1299,0.01,628,-1,-0.0569,False,B,0.0356
ew_return_1d,101-200,201-300,VOL_HIGH,656,3,-0.0484,0.2587,625,-1,-0.0569,False,B,0.4034
ew_return_1d,101-200,201-300,VOL_HIGH,656,7,-0.0161,0.7114,622,-1,-0.0569,False,B,0.8007
ew_return_1d,101-200,201-300,VOL_LOW,864,-7,0.0127,0.6269,838,-1,-0.0569,False,B,0.7324
ew_return_1d,101-200,201-300,VOL_LOW,864,-3,0.0394,0.2736,841,-1,-0.0569,False,B,0.4211
ew_return_1d,101-200,201-300,VOL_LOW,864,-1,-0.0589,0.1045,843,-1,-0.0569,False,B,0.1973
ew_return_1d,101-200,201-300,VOL_LOW,864,1,-0.0475,0.1692,843,-1,-0.0569,False,B,0.2859
ew_return_1d,101-200,201-300,VOL_LOW,864,3,0.022,0.4627,841,-1,-0.0569,False,B,0.61
ew_return_1d,101-200,201-300,VOL_LOW,864,7,0.0031,0.8905,838,-1,-0.0569,False,B,0.9285
ew_return_1d,101-200,201-300,BREADTH_EXPANDING,715,-7,-0.0103,0.7313,690,-1,-0.0569,False,B,0.8192
ew_return_1d,101-200,201-300,BREADTH_EXPANDING,715,-3,0.0154,0.6368,694,-1,-0.0569,False,B,0.7367
ew_return_1d,101-200,201-300,BREADTH_EXPANDING,715,-1,-0.0737,0.0945,694,-1,-0.0569,False,B,0.1833
ew_return_1d,101-200,201-300,BREADTH_EXPANDING,715,1,-0.0941,0.01,694,-1,-0.0569,False,B,0.0356
ew_return_1d,101-200,201-300,BREADTH_EXPANDING,715,3,0.0064,0.8507,694,-1,-0.0569,False,B,0.8989
ew_return_1d,101-200,201-300,BREADTH_EXPANDING,715,7,-0.0083,0.791,690,-1,-0.0569,False,B,0.8642
ew_return_1d,101-200,201-300,BREADTH_CONTRACTING,1481,-7,0.005,0.8109,1425,-1,-0.0569,False,B,0.8686
ew_return_1d,101-200,201-300,BREADTH_CONTRACTING,1481,-3,-0.0385,0.1244,1429,-1,-0.0569,False,B,0.227
ew_return_1d,101-200,201-300,BREADTH_CONTRACTING,1481,-1,-0.0855,0.01,1432,-1,-0.0569,False,B,0.0356
ew_return_1d,101-200,201-300,BREADTH_CONTRACTING,1481,1,-0.077,0.01,1432,-1,-0.0569,False,B,0.0356
ew_return_1d,101-200,201-300,BREADTH_CONTRACTING,1481,3,-0.0514,0.0796,1429,-1,-0.0569,False,B,0.1601
ew_return_1d,101-200,201-300,BREADTH_CONTRACTING,1481,7,0.0105,0.6716,1425,-1,-0.0569,False,B,0.7682
ew_return_1d,101-200,201-300,SC_INFLOW,1550,-7,-0.0258,0.3383,1499,-1,-0.0569,False,B,0.4898
ew_return_1d,101-200,201-300,SC_INFLOW,1550,-3,-0.0128,0.607,1503,-1,-0.0569,False,B,0.7151
ew_return_1d,101-200,201-300,SC_INFLOW,1550,-1,-0.0528,0.0299,1505,-1,-0.0569,False,B,0.0759
ew_return_1d,101-200,201-300,SC_INFLOW,1550,1,-0.0704,0.0299,1505,-1,-0.0569,False,B,0.0759
ew_return_1d,101-200,201-300,SC_INFLOW,1550,3,-0.0242,0.3483,1503,-1,-0.0569,False,B,0.5002
ew_return_1d,101-200,201-300,SC_INFLOW,1550,7,-0.0247,0.3184,1499,-1,-0.0569,False,B,0.4687
ew_return_1d,101-200,201-300,SC_OUTFLOW,646,-7,0.0096,0.796,617,-1,-0.0569,False,B,0.867
ew_return_1d,101-200,201-300,SC_OUTFLOW,646,-3,0.0307,0.3632,619,-1,-0.0569,False,B,0.5122
ew_return_1d,101-200,201-300,SC_OUTFLOW,646,-1,-0.0734,0.0398,621,-1,-0.0569,False,B,0.0933
ew_return_1d,101-200,201-300,SC_OUTFLOW,646,1,-0.0155,0.6816,621,-1,-0.0569,False,B,0.7758
ew_return_1d,101-200,201-300,SC_OUTFLOW,646,3,0.0177,0.5323,619,-1,-0.0569,False,B,0.6612
ew_return_1d,101-200,201-300,SC_OUTFLOW,646,7,0.0057,0.8358,617,-1,-0.0569,False,B,0.8858
ew_return_1d,101-200,201-300,CONC_RISING,1112,-7,0.0169,0.5721,1066,-1,-0.0569,False,B,0.69
ew_return_1d,101-200,201-300,CONC_RISING,1112,-3,-0.0685,0.0348,1071,-1,-0.0569,False,B,0.0858
ew_return_1d,101-200,201-300,CONC_RISING,1112,-1,0.0058,0.8358,1071,-1,-0.0569,False,B,0.8858
ew_return_1d,101-200,201-300,CONC_RISING,1112,1,0.0233,0.3881,1071,-1,-0.0569,False,B,0.5377
ew_return_1d,101-200,201-300,CONC_RISING,1112,3,-0.0853,0.0249,1071,-1,-0.0569,True,B,0.0658
ew_return_1d,101-200,201-300,CONC_RISING,1112,7,0.0191,0.5174,1066,-1,-0.0569,False,B,0.6518
ew_return_1d,101-200,201-300,CONC_FALLING,1077,-7,0.037,0.2786,1042,-1,-0.0569,False,B,0.4242
ew_return_1d,101-200,201-300,CONC_FALLING,1077,-3,0.0268,0.4677,1047,-1,-0.0569,False,B,0.6155
ew_return_1d,101-200,201-300,CONC_FALLING,1077,-1,-0.1116,0.005,1048,-1,-0.0569,False,B,0.0241
ew_return_1d,101-200,201-300,CONC_FALLING,1077,1,-0.1165,0.005,1048,-1,-0.0569,False,B,0.0241
ew_return_1d,101-200,201-300,CONC_FALLING,1077,3,0.02,0.5373,1047,-1,-0.0569,False,B,0.6627
ew_return_1d,101-200,201-300,CONC_FALLING,1077,7,0.0338,0.2687,1042,-1,-0.0569,False,B,0.4145
ew_return_1d,201-300,301-500,BTC_UP,1127,-7,-0.064,0.0547,1084,-1,-0.0452,False,B,0.1199
ew_return_1d,201-300,301-500,BTC_UP,1127,-3,-0.0259,0.393,1089,-1,-0.0452,False,B,0.5434
ew_return_1d,201-300,301-500,BTC_UP,1127,-1,-0.0585,0.0448,1088,-1,-0.0452,False,B,0.1023
ew_return_1d,201-300,301-500,BTC_UP,1127,1,-0.0302,0.2488,1088,-1,-0.0452,False,B,0.3914
ew_return_1d,201-300,301-500,BTC_UP,1127,3,0.0055,0.8657,1089,-1,-0.0452,False,B,0.9094
ew_return_1d,201-300,301-500,BTC_UP,1127,7,-0.0528,0.0498,1084,-1,-0.0452,True,B,0.1116
ew_return_1d,201-300,301-500,BTC_DOWN,962,-7,-0.0171,0.5423,926,-1,-0.0452,False,B,0.6677
ew_return_1d,201-300,301-500,BTC_DOWN,962,-3,-0.0749,0.0299,929,-1,-0.0452,False,B,0.0759
ew_return_1d,201-300,301-500,BTC_DOWN,962,-1,-0.0894,0.005,932,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,BTC_DOWN,962,1,-0.0771,0.0348,932,-1,-0.0452,False,B,0.0858
ew_return_1d,201-300,301-500,BTC_DOWN,962,3,-0.0584,0.1443,929,-1,-0.0452,False,B,0.2548
ew_return_1d,201-300,301-500,BTC_DOWN,962,7,-0.0336,0.3731,926,-1,-0.0452,False,B,0.522
ew_return_1d,201-300,301-500,VOL_HIGH,656,-7,-0.0255,0.602,622,-1,-0.0452,False,B,0.7139
ew_return_1d,201-300,301-500,VOL_HIGH,656,-3,-0.0495,0.2886,625,-1,-0.0452,False,B,0.4366
ew_return_1d,201-300,301-500,VOL_HIGH,656,-1,-0.1426,0.005,628,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,VOL_HIGH,656,1,-0.1166,0.005,628,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,VOL_HIGH,656,3,-0.03,0.4428,625,-1,-0.0452,False,B,0.5882
ew_return_1d,201-300,301-500,VOL_HIGH,656,7,-0.0331,0.5075,622,-1,-0.0452,False,B,0.6451
ew_return_1d,201-300,301-500,VOL_LOW,864,-7,-0.003,0.9303,838,-1,-0.0452,False,B,0.956
ew_return_1d,201-300,301-500,VOL_LOW,864,-3,0.0228,0.4925,841,-1,-0.0452,False,B,0.6375
ew_return_1d,201-300,301-500,VOL_LOW,864,-1,-0.0524,0.1791,843,-1,-0.0452,False,B,0.2998
ew_return_1d,201-300,301-500,VOL_LOW,864,1,-0.0425,0.1642,843,-1,-0.0452,False,B,0.2815
ew_return_1d,201-300,301-500,VOL_LOW,864,3,0.0323,0.3134,841,-1,-0.0452,False,B,0.4632
ew_return_1d,201-300,301-500,VOL_LOW,864,7,0.006,0.8308,838,-1,-0.0452,False,B,0.8845
ew_return_1d,201-300,301-500,BREADTH_EXPANDING,715,-7,-0.0216,0.5771,690,-1,-0.0452,False,B,0.6925
ew_return_1d,201-300,301-500,BREADTH_EXPANDING,715,-3,0.0093,0.7811,694,-1,-0.0452,False,B,0.8561
ew_return_1d,201-300,301-500,BREADTH_EXPANDING,715,-1,-0.0975,0.005,694,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,BREADTH_EXPANDING,715,1,-0.0536,0.1692,694,-1,-0.0452,False,B,0.2859
ew_return_1d,201-300,301-500,BREADTH_EXPANDING,715,3,0.0274,0.4279,694,-1,-0.0452,False,B,0.5716
ew_return_1d,201-300,301-500,BREADTH_EXPANDING,715,7,-0.02,0.5622,690,-1,-0.0452,False,B,0.6839
ew_return_1d,201-300,301-500,BREADTH_CONTRACTING,1481,-7,0.0081,0.7761,1425,-1,-0.0452,False,B,0.8561
ew_return_1d,201-300,301-500,BREADTH_CONTRACTING,1481,-3,-0.0544,0.0348,1429,-1,-0.0452,False,B,0.0858
ew_return_1d,201-300,301-500,BREADTH_CONTRACTING,1481,-1,-0.0566,0.0249,1432,-1,-0.0452,False,B,0.0658
ew_return_1d,201-300,301-500,BREADTH_CONTRACTING,1481,1,-0.0718,0.005,1432,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,BREADTH_CONTRACTING,1481,3,-0.038,0.1592,1429,-1,-0.0452,False,B,0.2756
ew_return_1d,201-300,301-500,BREADTH_CONTRACTING,1481,7,-0.0002,0.995,1425,-1,-0.0452,False,B,0.9964
ew_return_1d,201-300,301-500,SC_INFLOW,1550,-7,-0.0229,0.4279,1499,-1,-0.0452,False,B,0.5716
ew_return_1d,201-300,301-500,SC_INFLOW,1550,-3,-0.0297,0.1891,1503,-1,-0.0452,False,B,0.3114
ew_return_1d,201-300,301-500,SC_INFLOW,1550,-1,-0.0514,0.0498,1505,-1,-0.0452,False,B,0.1116
ew_return_1d,201-300,301-500,SC_INFLOW,1550,1,-0.046,0.0896,1505,-1,-0.0452,False,B,0.1748
ew_return_1d,201-300,301-500,SC_INFLOW,1550,3,-0.009,0.7861,1503,-1,-0.0452,False,B,0.8602
ew_return_1d,201-300,301-500,SC_INFLOW,1550,7,-0.0354,0.1841,1499,-1,-0.0452,False,B,0.3045
ew_return_1d,201-300,301-500,SC_OUTFLOW,646,-7,0.019,0.5572,617,-1,-0.0452,False,B,0.6813
ew_return_1d,201-300,301-500,SC_OUTFLOW,646,-3,0.0185,0.6119,619,-1,-0.0452,False,B,0.7196
ew_return_1d,201-300,301-500,SC_OUTFLOW,646,-1,-0.0234,0.4876,621,-1,-0.0452,False,B,0.6323
ew_return_1d,201-300,301-500,SC_OUTFLOW,646,1,-0.0418,0.2488,621,-1,-0.0452,False,B,0.3914
ew_return_1d,201-300,301-500,SC_OUTFLOW,646,3,0.0347,0.3532,619,-1,-0.0452,False,B,0.5042
ew_return_1d,201-300,301-500,SC_OUTFLOW,646,7,0.0101,0.8209,617,-1,-0.0452,False,B,0.8753
ew_return_1d,201-300,301-500,CONC_RISING,1112,-7,-0.0136,0.6617,1066,-1,-0.0452,False,B,0.7605
ew_return_1d,201-300,301-500,CONC_RISING,1112,-3,-0.0924,0.005,1071,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,CONC_RISING,1112,-1,0.0231,0.4279,1071,-1,-0.0452,False,B,0.5716
ew_return_1d,201-300,301-500,CONC_RISING,1112,1,0.0072,0.8706,1071,-1,-0.0452,False,B,0.9118
ew_return_1d,201-300,301-500,CONC_RISING,1112,3,-0.0641,0.0249,1071,-1,-0.0452,True,B,0.0658
ew_return_1d,201-300,301-500,CONC_RISING,1112,7,0.0148,0.607,1066,-1,-0.0452,False,B,0.7151
ew_return_1d,201-300,301-500,CONC_FALLING,1077,-7,0.0222,0.4627,1042,-1,-0.0452,False,B,0.61
ew_return_1d,201-300,301-500,CONC_FALLING,1077,-3,0.0193,0.5274,1047,-1,-0.0452,False,B,0.6597
ew_return_1d,201-300,301-500,CONC_FALLING,1077,-1,-0.1293,0.005,1048,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,CONC_FALLING,1077,1,-0.0987,0.005,1048,-1,-0.0452,False,B,0.0241
ew_return_1d,201-300,301-500,CONC_FALLING,1077,3,0.029,0.4129,1047,-1,-0.0452,False,B,0.5633
ew_return_1d,201-300,301-500,CONC_FALLING,1077,7,0.0375,0.2537,1042,-1,-0.0452,False,B,0.3983
rank_velocity_7d,1-10,11-25,BTC_UP,1127,-7,-0.1728,0.005,1074,-7,-0.1051,False,B,0.0241
rank_velocity_7d,1-10,11-25,BTC_UP,1127,-3,0.012,0.3333,1081,-7,-0.1051,False,B,0.4886
rank_velocity_7d,1-10,11-25,BTC_UP,1127,-1,0.0204,0.1642,1083,-7,-0.1051,False,B,0.2815
rank_velocity_7d,1-10,11-25,BTC_UP,1127,1,-0.0115,0.4876,1083,-7,-0.1051,False,B,0.6323
rank_velocity_7d,1-10,11-25,BTC_UP,1127,3,0.0565,0.0498,1081,-7,-0.1051,True,B,0.1116
rank_velocity_7d,1-10,11-25,BTC_UP,1127,7,-0.0343,0.2139,1074,-7,-0.1051,False,B,0.3434
rank_velocity_7d,1-10,11-25,BTC_DOWN,962,-7,0.0463,0.1841,924,-7,-0.1051,False,B,0.3045
rank_velocity_7d,1-10,11-25,BTC_DOWN,962,-3,0.0202,0.2587,927,-7,-0.1051,False,B,0.4034
rank_velocity_7d,1-10,11-25,BTC_DOWN,962,-1,0.0727,0.0597,931,-7,-0.1051,False,B,0.1285
rank_velocity_7d,1-10,11-25,BTC_DOWN,962,1,0.0987,0.0398,931,-7,-0.1051,True,B,0.0933
rank_velocity_7d,1-10,11-25,BTC_DOWN,962,3,0.0989,0.0199,927,-7,-0.1051,True,B,0.0566
rank_velocity_7d,1-10,11-25,BTC_DOWN,962,7,-0.0066,0.8109,924,-7,-0.1051,False,B,0.8686
rank_velocity_7d,1-10,11-25,VOL_HIGH,656,-7,-0.0288,0.4279,618,-7,-0.1051,False,B,0.5716
rank_velocity_7d,1-10,11-25,VOL_HIGH,656,-3,0.0715,0.1393,621,-7,-0.1051,False,B,0.2491
rank_velocity_7d,1-10,11-25,VOL_HIGH,656,-1,0.1262,0.0448,624,-7,-0.1051,True,B,0.1023
rank_velocity_7d,1-10,11-25,VOL_HIGH,656,1,0.1254,0.0249,624,-7,-0.1051,True,B,0.0658
rank_velocity_7d,1-10,11-25,VOL_HIGH,656,3,0.1267,0.0199,621,-7,-0.1051,True,B,0.0566
rank_velocity_7d,1-10,11-25,VOL_HIGH,656,7,0.0101,0.6269,618,-7,-0.1051,False,B,0.7324
rank_velocity_7d,1-10,11-25,BREADTH_EXPANDING,715,-7,0.0015,0.9851,682,-7,-0.1051,False,B,0.9921
rank_velocity_7d,1-10,11-25,BREADTH_EXPANDING,715,-3,0.0528,0.1841,685,-7,-0.1051,False,B,0.3045
rank_velocity_7d,1-10,11-25,BREADTH_EXPANDING,715,-1,0.0429,0.1443,687,-7,-0.1051,False,B,0.2548
rank_velocity_7d,1-10,11-25,BREADTH_EXPANDING,715,1,-0.0335,0.1841,687,-7,-0.1051,False,B,0.3045
rank_velocity_7d,1-10,11-25,BREADTH_EXPANDING,715,3,0.0184,0.3632,685,-7,-0.1051,False,B,0.5122
rank_velocity_7d,1-10,11-25,BREADTH_EXPANDING,715,7,0.036,0.1692,682,-7,-0.1051,False,B,0.2859
rank_velocity_7d,1-10,11-25,BREADTH_CONTRACTING,1481,-7,-0.1657,0.01,1406,-7,-0.1051,False,B,0.0356
rank_velocity_7d,1-10,11-25,BREADTH_CONTRACTING,1481,-3,0.0096,0.4975,1416,-7,-0.1051,False,B,0.6393
rank_velocity_7d,1-10,11-25,BREADTH_CONTRACTING,1481,-1,0.0384,0.1443,1421,-7,-0.1051,False,B,0.2548
rank_velocity_7d,1-10,11-25,BREADTH_CONTRACTING,1481,1,0.0288,0.1692,1421,-7,-0.1051,False,B,0.2859
rank_velocity_7d,1-10,11-25,BREADTH_CONTRACTING,1481,3,0.0863,0.01,1416,-7,-0.1051,True,B,0.0356
rank_velocity_7d,1-10,11-25,BREADTH_CONTRACTING,1481,7,-0.0976,0.0149,1406,-7,-0.1051,True,B,0.0461
rank_velocity_7d,1-10,11-25,SC_INFLOW,1550,-7,-0.1132,0.005,1468,-7,-0.1051,False,B,0.0241
rank_velocity_7d,1-10,11-25,SC_INFLOW,1550,-3,0.0211,0.194,1479,-7,-0.1051,False,B,0.3172
rank_velocity_7d,1-10,11-25,SC_INFLOW,1550,-1,0.0419,0.0896,1484,-7,-0.1051,False,B,0.1748
rank_velocity_7d,1-10,11-25,SC_INFLOW,1550,1,0.0426,0.1144,1484,-7,-0.1051,False,B,0.212
rank_velocity_7d,1-10,11-25,SC_INFLOW,1550,3,0.036,0.1045,1479,-7,-0.1051,False,B,0.1973
rank_velocity_7d,1-10,11-25,SC_INFLOW,1550,7,-0.0818,0.0299,1468,-7,-0.1051,True,B,0.0759
rank_velocity_7d,1-10,11-25,CONC_RISING,1112,-7,0.0002,0.99,1053,-7,-0.1051,False,B,0.9942
rank_velocity_7d,1-10,11-25,CONC_RISING,1112,-3,0.0001,0.7114,1061,-7,-0.1051,False,B,0.8007
rank_velocity_7d,1-10,11-25,CONC_RISING,1112,-1,0.0119,0.209,1068,-7,-0.1051,False,B,0.3371
rank_velocity_7d,1-10,11-25,CONC_RISING,1112,1,-0.0117,0.2985,1068,-7,-0.1051,False,B,0.4487
rank_velocity_7d,1-10,11-25,CONC_RISING,1112,3,0.07,0.0896,1061,-7,-0.1051,False,B,0.1748
rank_velocity_7d,1-10,11-25,CONC_RISING,1112,7,-0.0135,0.3383,1053,-7,-0.1051,False,B,0.4898
rank_velocity_7d,1-10,11-25,CONC_FALLING,1077,-7,-0.0016,0.8159,1036,-7,-0.1051,False,B,0.8713
rank_velocity_7d,1-10,11-25,CONC_FALLING,1077,-3,0.0088,0.4776,1039,-7,-0.1051,False,B,0.625
rank_velocity_7d,1-10,11-25,CONC_FALLING,1077,-1,-0.1461,0.005,1040,-7,-0.1051,True,B,0.0241
rank_velocity_7d,1-10,11-25,CONC_FALLING,1077,1,-0.0308,0.2488,1040,-7,-0.1051,False,B,0.3914
rank_velocity_7d,1-10,11-25,CONC_FALLING,1077,3,-0.02,0.2985,1039,-7,-0.1051,False,B,0.4487
rank_velocity_7d,1-10,11-25,CONC_FALLING,1077,7,0.017,0.2985,1036,-7,-0.1051,False,B,0.4487
rank_velocity_7d,11-25,26-50,BTC_UP,1127,-7,-0.0604,0.0746,1074,1,0.1063,False,B,0.1535
rank_velocity_7d,11-25,26-50,BTC_UP,1127,-3,0.0473,0.1393,1081,1,0.1063,False,B,0.2491
rank_velocity_7d,11-25,26-50,BTC_UP,1127,-1,0.1259,0.01,1083,1,0.1063,False,B,0.0356
rank_velocity_7d,11-25,26-50,BTC_UP,1127,1,0.0762,0.0448,1083,1,0.1063,False,B,0.1023
rank_velocity_7d,11-25,26-50,BTC_UP,1127,3,0.0673,0.0846,1081,1,0.1063,False,B,0.1687
rank_velocity_7d,11-25,26-50,BTC_UP,1127,7,-0.0283,0.3632,1074,1,0.1063,False,B,0.5122
rank_velocity_7d,11-25,26-50,BTC_DOWN,962,-7,0.1272,0.0199,924,1,0.1063,True,B,0.0566
rank_velocity_7d,11-25,26-50,BTC_DOWN,962,-3,0.1535,0.0199,927,1,0.1063,True,B,0.0566
rank_velocity_7d,11-25,26-50,BTC_DOWN,962,-1,0.1977,0.005,931,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,BTC_DOWN,962,1,0.2301,0.005,931,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,BTC_DOWN,962,3,0.2129,0.005,927,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,BTC_DOWN,962,7,0.1091,0.0796,924,1,0.1063,False,B,0.1601
rank_velocity_7d,11-25,26-50,VOL_HIGH,656,-7,0.0607,0.2388,618,1,0.1063,False,B,0.3808
rank_velocity_7d,11-25,26-50,VOL_HIGH,656,-3,0.1661,0.01,621,1,0.1063,True,B,0.0356
rank_velocity_7d,11-25,26-50,VOL_HIGH,656,-1,0.2029,0.005,624,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,VOL_HIGH,656,1,0.2045,0.005,624,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,VOL_HIGH,656,3,0.1237,0.0249,621,1,0.1063,False,B,0.0658
rank_velocity_7d,11-25,26-50,VOL_HIGH,656,7,-0.0082,0.9154,618,1,0.1063,False,B,0.9434
rank_velocity_7d,11-25,26-50,VOL_LOW,864,-7,0.0621,0.0896,838,1,0.1063,False,B,0.1748
rank_velocity_7d,11-25,26-50,VOL_LOW,864,-3,0.1855,0.005,842,1,0.1063,True,B,0.0241
rank_velocity_7d,11-25,26-50,VOL_LOW,864,-1,0.2296,0.005,843,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,VOL_LOW,864,1,0.2289,0.005,843,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,VOL_LOW,864,3,0.1767,0.0149,842,1,0.1063,False,B,0.0461
rank_velocity_7d,11-25,26-50,VOL_LOW,864,7,0.0355,0.4229,838,1,0.1063,False,B,0.5714
rank_velocity_7d,11-25,26-50,BREADTH_EXPANDING,715,-7,-0.0015,0.9701,682,1,0.1063,False,B,0.9812
rank_velocity_7d,11-25,26-50,BREADTH_EXPANDING,715,-3,0.0675,0.1642,685,1,0.1063,False,B,0.2815
rank_velocity_7d,11-25,26-50,BREADTH_EXPANDING,715,-1,0.1552,0.01,687,1,0.1063,False,B,0.0356
rank_velocity_7d,11-25,26-50,BREADTH_EXPANDING,715,1,0.0962,0.0348,687,1,0.1063,False,B,0.0858
rank_velocity_7d,11-25,26-50,BREADTH_EXPANDING,715,3,0.0924,0.0746,685,1,0.1063,False,B,0.1535
rank_velocity_7d,11-25,26-50,BREADTH_EXPANDING,715,7,-0.0369,0.3781,682,1,0.1063,False,B,0.527
rank_velocity_7d,11-25,26-50,BREADTH_CONTRACTING,1481,-7,-0.1455,0.005,1406,1,0.1063,True,B,0.0241
rank_velocity_7d,11-25,26-50,BREADTH_CONTRACTING,1481,-3,0.0511,0.0597,1416,1,0.1063,False,B,0.1285
rank_velocity_7d,11-25,26-50,BREADTH_CONTRACTING,1481,-1,0.0565,0.0299,1421,1,0.1063,False,B,0.0759
rank_velocity_7d,11-25,26-50,BREADTH_CONTRACTING,1481,1,0.0958,0.01,1421,1,0.1063,False,B,0.0356
rank_velocity_7d,11-25,26-50,BREADTH_CONTRACTING,1481,3,0.0859,0.0199,1416,1,0.1063,False,B,0.0566
rank_velocity_7d,11-25,26-50,BREADTH_CONTRACTING,1481,7,-0.2093,0.01,1406,1,0.1063,True,B,0.0356
rank_velocity_7d,11-25,26-50,SC_INFLOW,1550,-7,-0.1212,0.005,1468,1,0.1063,True,B,0.0241
rank_velocity_7d,11-25,26-50,SC_INFLOW,1550,-3,0.0429,0.1294,1479,1,0.1063,False,B,0.2337
rank_velocity_7d,11-25,26-50,SC_INFLOW,1550,-1,0.0861,0.0149,1484,1,0.1063,False,B,0.0461
rank_velocity_7d,11-25,26-50,SC_INFLOW,1550,1,0.0929,0.01,1484,1,0.1063,False,B,0.0356
rank_velocity_7d,11-25,26-50,SC_INFLOW,1550,3,0.0671,0.005,1479,1,0.1063,False,B,0.0241
rank_velocity_7d,11-25,26-50,SC_INFLOW,1550,7,-0.1297,0.01,1468,1,0.1063,True,B,0.0356
rank_velocity_7d,11-25,26-50,SC_OUTFLOW,646,-7,0.0835,0.1443,620,1,0.1063,False,B,0.2548
