family,delay_h,hold_h,split,n,mean_net_bps,mean_gross_bps,win_prob,mean_cost_bps
EUR_LIQUIDATION_JPY_STRENGTH,3,4,RELATIONSHIP_CONFIRMED_OOS,540,0.3909265978706625,1.9438946344003425,0.4185185185185185,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,3,6,inner_sel,980,1.186132748549121,2.6905848033436413,0.4877551020408163,1.5044520547945208
EUR_LIQUIDATION_JPY_STRENGTH,3,6,inner_val,284,3.999141898631864,5.5035939534263845,0.5633802816901409,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,3,6,RELATIONSHIP_CONFIRMED_OOS,540,0.2303538444185064,1.734805899213027,0.4388888888888889,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,3,8,inner_sel,980,0.5382660677352382,1.994202140794599,0.486734693877551,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,3,8,inner_val,284,3.766796041459884,5.222732114519244,0.5352112676056338,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,3,8,RELATIONSHIP_CONFIRMED_OOS,540,-1.2514459261844932,0.2044901468748677,0.4055555555555555,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,3,12,inner_sel,980,-0.4621973208198887,0.8967067887691521,0.4795918367346938,1.358904109589041
EUR_LIQUIDATION_JPY_STRENGTH,3,12,inner_val,284,3.661422161660126,5.020326271249166,0.5176056338028169,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,3,12,RELATIONSHIP_CONFIRMED_OOS,540,-2.2617741435708454,-0.9028700339818057,0.4203703703703704,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,4,4,inner_sel,972,-1.8446881543751623,-0.2917201178454823,0.4300411522633744,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,4,4,inner_val,280,-1.2887018620980002,0.2642661744316804,0.4928571428571429,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,4,4,RELATIONSHIP_CONFIRMED_OOS,528,-0.8028874605287404,0.7500805760009402,0.4356060606060606,1.5529680365296803
EUR_LIQUIDATION_JPY_STRENGTH,4,6,inner_sel,972,-1.650899152503353,-0.1464470977088322,0.4516460905349794,1.5044520547945208
EUR_LIQUIDATION_JPY_STRENGTH,4,6,inner_val,280,-3.734274130839572,-2.229822076045052,0.4571428571428571,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,4,6,RELATIONSHIP_CONFIRMED_OOS,528,-2.1012827670901526,-0.5968307122956326,0.4261363636363636,1.5044520547945206
EUR_LIQUIDATION_JPY_STRENGTH,4,8,inner_sel,972,-2.598726379482676,-1.1427903064233156,0.4588477366255144,1.4559360730593605
EUR_LIQUIDATION_JPY_STRENGTH,4,8,inner_val,280,-0.8760796984417799,0.5798563746175803,0.5071428571428571,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,4,8,RELATIONSHIP_CONFIRMED_OOS,528,-2.5430489617201237,-1.0871128886607624,0.4223484848484848,1.455936073059361
EUR_LIQUIDATION_JPY_STRENGTH,4,12,inner_sel,972,-3.44698894804466,-2.0880848384556194,0.4578189300411522,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,4,12,inner_val,280,-1.075794494621524,0.2831096149675176,0.475,1.3589041095890408
EUR_LIQUIDATION_JPY_STRENGTH,4,12,RELATIONSHIP_CONFIRMED_OOS,528,-4.720961107003694,-3.362056997414653,0.4071969696969697,1.3589041095890408
JPY_LIQUIDATION_CHF_STRENGTH,0,24,inner_sel,840,1.6830316995362478,3.0720727954266587,0.4726190476190476,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,0,24,inner_val,272,8.647504169715937,10.03654526560635,0.5330882352941176,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,0,24,RELATIONSHIP_CONFIRMED_OOS,484,2.4984689430054763,3.887510038895888,0.5351239669421488,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,0,36,inner_sel,844,0.9518975396994024,2.13545918353502,0.4964454976303317,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,0,36,inner_val,272,17.350109251507575,18.533670895343192,0.5882352941176471,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,0,36,RELATIONSHIP_CONFIRMED_OOS,484,3.977153563432256,5.160715207267873,0.512396694214876,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,0,48,inner_sel,844,1.065261258979298,2.043343450760121,0.495260663507109,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,0,48,inner_val,272,21.774612590199528,22.752694781980352,0.6066176470588235,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,0,48,RELATIONSHIP_CONFIRMED_OOS,484,4.015658896802761,4.993741088583581,0.4979338842975206,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,0,60,inner_sel,860,1.149349741134887,1.9219524808609143,0.4883720930232558,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,0,60,inner_val,280,15.386568387337462,16.15917112706349,0.6,0.7726027397260276
JPY_LIQUIDATION_CHF_STRENGTH,0,60,RELATIONSHIP_CONFIRMED_OOS,492,4.95399953860399,5.72660227833002,0.5,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,0,72,inner_sel,860,0.8169256616937076,1.3840489493649395,0.4872093023255814,0.5671232876712328
JPY_LIQUIDATION_CHF_STRENGTH,0,72,inner_val,280,20.5021090402692,21.069232327940437,0.575,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,0,72,RELATIONSHIP_CONFIRMED_OOS,492,5.277272297773965,5.844395585445198,0.5203252032520326,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,1,24,inner_sel,816,0.5261836490719011,1.915224744962312,0.4571078431372549,1.3890410958904111
JPY_LIQUIDATION_CHF_STRENGTH,1,24,inner_val,268,8.725743739114712,10.11478483500512,0.5485074626865671,1.3890410958904111
JPY_LIQUIDATION_CHF_STRENGTH,1,24,RELATIONSHIP_CONFIRMED_OOS,472,1.5212008586593782,2.910241954549789,0.5169491525423728,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,1,36,inner_sel,820,0.7713842389571784,1.9549458827927948,0.4926829268292683,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,1,36,inner_val,268,17.776665255021047,18.96022689885666,0.6268656716417911,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,1,36,RELATIONSHIP_CONFIRMED_OOS,472,3.687042394185928,4.870604038021545,0.5063559322033898,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,1,48,inner_sel,820,0.633265111628396,1.611347303409219,0.4841463414634146,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,1,48,inner_val,268,21.777196072525133,22.75527826430596,0.6194029850746269,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,1,48,RELATIONSHIP_CONFIRMED_OOS,472,3.262087109275872,4.240169301056694,0.4851694915254237,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,1,60,inner_sel,860,0.314342661460167,1.086945401186195,0.4872093023255814,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,1,60,inner_val,280,16.616875920469212,17.38947866019524,0.5964285714285714,0.7726027397260276
JPY_LIQUIDATION_CHF_STRENGTH,1,60,RELATIONSHIP_CONFIRMED_OOS,492,4.543272806168674,5.315875545894702,0.5060975609756098,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,1,72,inner_sel,860,-0.0813056552928185,0.4858176323784149,0.4883720930232558,0.5671232876712328
JPY_LIQUIDATION_CHF_STRENGTH,1,72,inner_val,280,21.014731632229548,21.581854919900785,0.5857142857142857,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,1,72,RELATIONSHIP_CONFIRMED_OOS,492,5.089830599814304,5.656953887485539,0.5060975609756098,0.5671232876712329
JPY_LIQUIDATION_CHF_STRENGTH,2,24,inner_sel,804,1.4534450093741145,2.842486105264525,0.4701492537313433,1.389041095890411
JPY_LIQUIDATION_CHF_STRENGTH,2,24,inner_val,268,9.628598233852117,11.01763932974253,0.5522388059701493,1.3890410958904111
JPY_LIQUIDATION_CHF_STRENGTH,2,24,RELATIONSHIP_CONFIRMED_OOS,460,2.0368240100558275,3.425865105946239,0.5217391304347826,1.3890410958904107
JPY_LIQUIDATION_CHF_STRENGTH,2,36,inner_sel,808,1.5325015189518991,2.716063162787516,0.4826732673267326,1.1835616438356162
JPY_LIQUIDATION_CHF_STRENGTH,2,36,inner_val,268,19.11982612208976,20.303387765925383,0.6194029850746269,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,2,36,RELATIONSHIP_CONFIRMED_OOS,460,2.7535122746206784,3.937073918456295,0.4891304347826087,1.1835616438356165
JPY_LIQUIDATION_CHF_STRENGTH,2,48,inner_sel,808,1.019732648469347,1.99781484025017,0.4801980198019802,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,2,48,inner_val,268,22.05171499439125,23.02979718617208,0.6268656716417911,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,2,48,RELATIONSHIP_CONFIRMED_OOS,460,2.952686110790756,3.9307683025715767,0.4804347826086956,0.978082191780822
JPY_LIQUIDATION_CHF_STRENGTH,2,60,inner_sel,860,0.9497020928014848,1.722304832527512,0.4802325581395348,0.7726027397260277
JPY_LIQUIDATION_CHF_STRENGTH,2,60,inner_val,280,16.370096937495713,17.142699677221742,0.6071428571428571,0.7726027397260276
