conditioning,checkpoint,remaining_range_definition,n,mean,median,p10,p25,p50,p75,p90,iqr,mad,variance,condition_value
loop_count,09AM,,1,19.899999999997142,19.899999999997142,19.899999999997142,19.899999999997142,19.899999999997142,19.899999999997142,19.899999999997142,0.0,0.0,0.0,8
loop_count,09AM,,1,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,35.099999999999014,0.0,0.0,0.0,10
loop_count,09AM,,1,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,13.900000000000023,0.0,0.0,0.0,11
loop_count,09AM,,2,16.399999999999746,16.399999999999746,11.359999999999593,13.24999999999965,16.399999999999746,19.54999999999984,21.439999999999902,6.300000000000191,6.300000000000193,39.69000000000243,12
loop_count,09AM,,2,57.40000000000078,57.40000000000078,24.60000000000084,36.900000000000816,57.40000000000078,77.90000000000074,90.20000000000071,40.99999999999993,40.99999999999993,1680.9999999999939,13
loop_count,09AM,,3,10.099999999999552,8.50000000000017,7.379999999999944,7.800000000000029,8.50000000000017,11.599999999999385,13.459999999998914,3.799999999999356,1.4000000000002828,10.906666666662415,14
loop_count,09AM,,6,37.88333333333282,36.19999999999956,7.749999999999703,15.274999999999594,36.19999999999956,48.04999999999836,69.69999999999919,32.77499999999877,20.449999999999633,769.8013888888839,15
loop_count,09AM,,5,51.73999999999967,58.39999999999844,28.54000000000001,32.2,58.39999999999844,68.70000000000154,71.45999999999964,36.500000000001535,14.89999999999992,367.210399999992,16
loop_count,09AM,,12,14.766666666666076,16.099999999998893,0.6299999999992458,7.274999999998813,16.099999999998893,19.999999999998906,25.4600000000007,12.725000000000094,6.650000000000263,100.71722222222529,17
loop_count,09AM,,13,21.376923076923408,12.300000000000644,3.5199999999990794,9.40000000000163,12.300000000000644,27.999999999999133,52.60000000000044,18.599999999997504,8.699999999999264,377.64946745562725,18
loop_count,09AM,,10,14.319999999999663,3.950000000000342,0.0,0.6000000000000449,3.950000000000342,26.349999999998317,40.67000000000043,25.749999999998273,3.950000000000342,286.2075999999832,19
loop_count,09AM,,21,24.428571428571168,19.599999999999618,6.599999999998829,13.499999999999623,19.599999999999618,36.00000000000047,47.300000000001226,22.500000000000846,9.200000000000323,263.495374149663,20
loop_count,09AM,,25,32.347999999999914,31.099999999999458,3.799999999999582,13.799999999997144,31.099999999999458,38.599999999999746,52.6399999999998,24.8000000000026,16.499999999999286,787.5816960000052,21
loop_count,09AM,,19,20.352631578947474,16.89999999999969,2.200000000000202,3.800000000000466,16.89999999999969,30.549999999999187,41.20000000000033,26.74999999999872,13.199999999999878,416.70775623267036,22
loop_count,09AM,,29,25.220689655172404,27.599999999998733,5.25999999999982,11.099999999999444,27.599999999998733,34.80000000000149,41.12000000000071,23.700000000002046,12.600000000002613,312.40026159333354,23
loop_count,09AM,,25,25.4999999999999,20.500000000001073,6.66000000000011,8.799999999999919,20.500000000001073,34.199999999997566,62.120000000000175,25.399999999997647,12.000000000000895,407.6607999999904,24
loop_count,09AM,,27,30.018518518518295,21.299999999999653,6.500000000000391,12.800000000000587,21.299999999999653,36.100000000000016,68.59999999999964,23.29999999999943,10.600000000000612,797.3703978052044,25
loop_count,09AM,,27,26.83703703703711,20.20000000000133,3.179999999999069,12.400000000000189,20.20000000000133,36.500000000000426,53.140000000000406,24.100000000000236,12.199999999997765,658.5023319615998,26
loop_count,09AM,,31,30.112903225806317,23.699999999999832,1.40000000000029,9.899999999999352,23.699999999999832,39.15000000000112,62.600000000001536,29.25000000000177,14.600000000000165,786.483059313214,27
loop_count,09AM,,28,27.096428571428447,19.799999999999812,3.0800000000001964,9.450000000000292,19.799999999999812,32.974999999999525,66.1100000000001,23.52499999999923,11.09999999999944,605.7803443877555,28
loop_count,09AM,,17,41.7705882352936,38.899999999999494,4.320000000000763,12.199999999999989,38.899999999999494,56.30000000000023,71.21999999999939,44.10000000000024,23.699999999999818,1288.9879584774885,29
loop_count,09AM,,23,23.095652173912768,21.59999999999939,7.379999999999939,9.549999999999281,21.59999999999939,38.099999999999795,42.56000000000126,28.550000000000516,13.09999999999922,228.79085066162813,30
loop_count,09AM,,25,36.936000000000206,31.699999999998948,16.04000000000072,23.800000000000487,31.699999999998948,48.09999999999981,59.55999999999895,24.299999999999322,11.799999999997365,463.1831040000023,31
loop_count,09AM,,18,25.97777777777748,19.70000000000027,9.569999999998744,15.04999999999923,19.70000000000027,34.125000000000405,44.89999999999861,19.075000000001175,6.900000000000791,448.86839506172225,32
loop_count,09AM,,12,51.90000000000046,49.400000000000546,6.159999999999496,30.625000000000227,49.400000000000546,72.77500000000103,74.2600000000011,42.1500000000008,23.450000000000422,1456.8866666666934,33
loop_count,09AM,,15,30.346666666666813,24.29999999999932,12.620000000000523,14.549999999999843,24.29999999999932,26.100000000001117,66.29999999999956,11.550000000001274,8.600000000000826,824.9211555555509,34
loop_count,09AM,,9,31.28888888888885,28.60000000000084,10.420000000000762,13.799999999999372,28.60000000000084,47.8999999999985,55.03999999999953,34.09999999999913,16.899999999999686,394.0076543209811,35
loop_count,09AM,,9,35.80000000000015,25.50000000000052,11.019999999999369,13.90000000000002,25.50000000000052,50.79999999999973,66.64000000000003,36.89999999999971,21.800000000000715,645.2466666666522,36
loop_count,09AM,,3,32.73333333333387,23.50000000000074,19.42000000000066,20.95000000000069,23.50000000000074,39.90000000000049,49.74000000000034,18.9499999999998,5.100000000000101,282.02888888888197,37
