participation,sign,rank_band,horizon,state,n,n_valid,prob,assets
MULTI_BAND,UP,501-750,2D,STABILIZED,809,1866,0.43354769560557344,566
MULTI_BAND,UP,501-750,2D,1S_RECOVERY,427,1866,0.22883172561629153,331
MULTI_BAND,UP,501-750,2D,25P_GIVEBACK,623,1866,0.33386923901393356,461
MULTI_BAND,UP,501-750,2D,50P_GIVEBACK,261,1866,0.13987138263665594,229
MULTI_BAND,UP,501-750,2D,FULL_REVERSAL,1057,1866,0.5664523043944266,715
MULTI_BAND,UP,501-750,2D,NEW_EXTREME,142,1866,0.07609860664523044,129
MULTI_BAND,UP,501-750,3D,STABILIZED,801,1809,0.4427860696517413,557
MULTI_BAND,UP,501-750,3D,1S_RECOVERY,406,1809,0.2244333886124931,331
MULTI_BAND,UP,501-750,3D,25P_GIVEBACK,636,1809,0.351575456053068,481
MULTI_BAND,UP,501-750,3D,50P_GIVEBACK,318,1809,0.175787728026534,275
MULTI_BAND,UP,501-750,3D,FULL_REVERSAL,1008,1809,0.5572139303482587,690
MULTI_BAND,UP,501-750,3D,NEW_EXTREME,165,1809,0.0912106135986733,145
MULTI_BAND,UP,501-750,5D,STABILIZED,811,1834,0.44220283533260635,564
MULTI_BAND,UP,501-750,5D,1S_RECOVERY,436,1834,0.23773173391494,346
MULTI_BAND,UP,501-750,5D,25P_GIVEBACK,710,1834,0.3871319520174482,545
MULTI_BAND,UP,501-750,5D,50P_GIVEBACK,408,1834,0.22246455834242093,350
MULTI_BAND,UP,501-750,5D,FULL_REVERSAL,1023,1834,0.5577971646673937,706
MULTI_BAND,UP,501-750,5D,NEW_EXTREME,255,1834,0.1390403489640131,213
MULTI_BAND,UP,501-750,7D,STABILIZED,827,1863,0.44390767579173374,568
MULTI_BAND,UP,501-750,7D,1S_RECOVERY,433,1863,0.23242082662372518,336
MULTI_BAND,UP,501-750,7D,25P_GIVEBACK,749,1863,0.4020397208803006,558
MULTI_BAND,UP,501-750,7D,50P_GIVEBACK,474,1863,0.25442834138486314,385
MULTI_BAND,UP,501-750,7D,FULL_REVERSAL,1036,1863,0.5560923242082663,710
MULTI_BAND,UP,501-750,7D,NEW_EXTREME,309,1863,0.16586151368760063,242
MULTI_BAND,UP,501-750,10D,STABILIZED,869,1866,0.46570203644158625,595
MULTI_BAND,UP,501-750,10D,1S_RECOVERY,441,1866,0.23633440514469453,330
MULTI_BAND,UP,501-750,10D,25P_GIVEBACK,743,1866,0.39817792068595925,554
MULTI_BAND,UP,501-750,10D,50P_GIVEBACK,519,1866,0.27813504823151125,415
MULTI_BAND,UP,501-750,10D,FULL_REVERSAL,997,1866,0.5342979635584137,688
MULTI_BAND,UP,501-750,10D,NEW_EXTREME,343,1866,0.18381564844587353,258
MULTI_BAND,UP,501-750,14D,STABILIZED,889,1863,0.47718733225979604,588
MULTI_BAND,UP,501-750,14D,1S_RECOVERY,426,1863,0.2286634460547504,317
MULTI_BAND,UP,501-750,14D,25P_GIVEBACK,731,1863,0.39237788513150834,559
MULTI_BAND,UP,501-750,14D,50P_GIVEBACK,535,1863,0.2871712292002147,431
MULTI_BAND,UP,501-750,14D,FULL_REVERSAL,974,1863,0.522812667740204,683
MULTI_BAND,UP,501-750,14D,NEW_EXTREME,385,1863,0.20665593129361245,282
MULTI_BAND,UP,501-750,21D,STABILIZED,930,1866,0.4983922829581994,604
MULTI_BAND,UP,501-750,21D,1S_RECOVERY,441,1866,0.23633440514469453,329
MULTI_BAND,UP,501-750,21D,25P_GIVEBACK,744,1866,0.3987138263665595,564
MULTI_BAND,UP,501-750,21D,50P_GIVEBACK,585,1866,0.3135048231511254,460
MULTI_BAND,UP,501-750,21D,FULL_REVERSAL,936,1866,0.5016077170418006,664
MULTI_BAND,UP,501-750,21D,NEW_EXTREME,457,1866,0.24490889603429797,338
MULTI_BAND,UP,501-750,30D,STABILIZED,930,1867,0.4981253347616497,598
MULTI_BAND,UP,501-750,30D,1S_RECOVERY,459,1867,0.2458489555436529,347
MULTI_BAND,UP,501-750,30D,25P_GIVEBACK,782,1867,0.41885377611140867,588
MULTI_BAND,UP,501-750,30D,50P_GIVEBACK,641,1867,0.34333154793786824,512
MULTI_BAND,UP,501-750,30D,FULL_REVERSAL,937,1867,0.5018746652383503,677
MULTI_BAND,UP,501-750,30D,NEW_EXTREME,517,1867,0.27691483663631494,376
MULTI_BAND,UP,751-1000,1D,STABILIZED,673,1653,0.4071385359951603,517
MULTI_BAND,UP,751-1000,1D,1S_RECOVERY,324,1653,0.19600725952813067,282
MULTI_BAND,UP,751-1000,1D,25P_GIVEBACK,447,1653,0.27041742286751363,380
MULTI_BAND,UP,751-1000,1D,50P_GIVEBACK,139,1653,0.08408953418027829,130
MULTI_BAND,UP,751-1000,1D,FULL_REVERSAL,980,1653,0.5928614640048396,710
MULTI_BAND,UP,751-1000,1D,NEW_EXTREME,60,1653,0.036297640653357534,57
MULTI_BAND,UP,751-1000,2D,STABILIZED,737,1653,0.4458560193587417,553
MULTI_BAND,UP,751-1000,2D,1S_RECOVERY,356,1653,0.21536600120992136,307
MULTI_BAND,UP,751-1000,2D,25P_GIVEBACK,526,1653,0.31820931639443434,430
MULTI_BAND,UP,751-1000,2D,50P_GIVEBACK,243,1653,0.147005444646098,218
MULTI_BAND,UP,751-1000,2D,FULL_REVERSAL,916,1653,0.5541439806412584,668
MULTI_BAND,UP,751-1000,2D,NEW_EXTREME,104,1653,0.06291591046581972,99
MULTI_BAND,UP,751-1000,3D,STABILIZED,723,1619,0.44657195799876465,556
MULTI_BAND,UP,751-1000,3D,1S_RECOVERY,348,1619,0.21494749845583694,302
