dir,var,entry,sl,tp,pnl,res
LONG,INITIAL,1.1555,1.1550500000000004,1.1568100000000001,-4.5,SL
SHORT,INITIAL,1.16439,1.1647839999999998,1.16353,-3.9,SL
SHORT,INITIAL,1.16501,1.165086,1.1635900000000001,-0.8,SL
SHORT,CASCADE,1.16406,1.1640683999999997,1.1630099999999999,-0.1,SL
LONG,INITIAL,1.14731,1.147026,1.14828,-2.8,SL
LONG,CASCADE,1.14379,1.1436747999999997,1.1455899999999999,-1.2,SL
SHORT,CASCADE,1.1461000000000001,1.1465808000000002,1.1448,-4.8,SL
LONG,INITIAL,1.1558,1.1556879999999996,1.15692,-1.1,SL
SHORT,CASCADE,1.15684,1.1569156000000005,1.15579,-0.8,SL
LONG,INITIAL,1.15158,1.1515360000000003,1.1529,-0.4,SL
SHORT,INITIAL,1.15453,1.1547119999999997,1.15326,-1.8,SL
LONG,CASCADE,1.155,1.1544796000000004,1.15579,-5.2,SL
SHORT,INITIAL,1.17008,1.1708619999999998,1.16952,5.6,TP
SHORT,INITIAL,1.16891,1.1690359999999997,1.16743,-1.3,SL
LONG,INITIAL,1.17844,1.1780980000000003,1.17933,-3.4,SL
SHORT,CASCADE,1.17935,1.1794912000000002,1.1785,-1.4,SL
SHORT,INITIAL,1.18048,1.180692,1.17913,-2.1,SL
SHORT,INITIAL,1.17672,1.1768940000000003,1.17575,-1.7,SL
LONG,INITIAL,1.16869,1.1686060000000005,1.16975,-0.8,SL
SHORT,INITIAL,1.1708,1.1709500000000004,1.16941,-1.5,SL
SHORT,INITIAL,1.17359,1.1736219999999995,1.1724999999999999,-0.3,SL
LONG,INITIAL,1.174,1.1734440000000002,1.17483,-5.6,SL
SHORT,INITIAL,1.17592,1.1763419999999998,1.17346,-4.2,SL
SHORT,INITIAL,1.1761,1.176952,1.17561,-8.5,SL
SHORT,INITIAL,1.17565,1.1759179999999996,1.1743999999999999,-2.7,SL
SHORT,INITIAL,1.17834,1.1786379999999999,1.17723,-3.0,SL
LONG,INITIAL,1.17408,1.1734300000000002,1.17453,4.5,TP
LONG,INITIAL,1.17,1.1699239999999997,1.17098,-0.8,SL
LONG,INITIAL,1.16187,1.1617220000000001,1.16357,17.0,TP
LONG,INITIAL,1.1584699999999999,1.1582680000000003,1.15972,-2.0,SL
LONG,INITIAL,1.15978,1.1596339999999998,1.1609099999999999,-1.5,SL
