date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier
2025-01-17,-1,1.02839,1.027515,8.249999999999591,tp2_ar50,signal2,T1
2025-01-22,1,1.04361,1.043218,-4.4199999999994795,sl_80pct_body,signal1,T2
2025-01-22,1,1.04361,1.043218,-4.4199999999994795,sl_80pct_body,signal2,T2
2025-01-22,1,1.04387,1.0442225,3.0249999999997783,tp1_ar25,cascade_2,T2
2025-01-22,1,1.04465,1.044835,1.349999999998797,tp2_ar50,cascade_3,T2
2025-01-24,1,1.04676,1.046008,-8.019999999998639,sl_80pct_body,signal1,T1
2025-01-24,1,1.04676,1.046008,-8.019999999998639,sl_80pct_body,signal2,T1
2025-01-24,1,1.04583,1.0471949999999999,13.149999999998386,tp1_ar25,cascade_2,T1
2025-01-24,1,1.047,1.0476299999999998,5.799999999999084,tp2_ar50,cascade_3,T1
2025-01-28,1,1.04405,1.0437219999999998,-3.78000000000106,sl_80pct_body,signal1,T1
2025-01-28,1,1.04405,1.0437219999999998,-3.78000000000106,sl_80pct_body,signal2,T1
2025-01-28,1,1.04398,1.0431903999999999,-8.39600000000057,sl_80pct_body,cascade_2,T1
2025-01-29,-1,1.04145,1.0407775,6.225000000000758,tp1_ar25,signal1,T2
2025-01-29,-1,1.04145,1.040105,12.949999999999296,tp2_ar50,signal2,T2
2025-01-31,1,1.04034,1.0402884,-1.0160000000015152,kill_switch_132,signal1,T1
2025-01-31,1,1.04034,1.0402884,-1.0160000000015152,kill_switch_132,signal2,T1
2025-01-31,1,1.04023,1.0402884,0.08399999999902974,kill_switch_132,cascade_2,T1
2025-01-31,1,1.03976,1.0386512,-11.587999999999099,sl_80pct_body,cascade_3,T1
2025-02-05,1,1.0407,1.039836,-9.139999999999759,sl_80pct_body,signal1,T3
2025-02-05,1,1.0407,1.039836,-9.139999999999759,sl_80pct_body,signal2,T3
2025-02-06,-1,1.03741,1.0368575,5.024999999999558,tp1_ar25,signal1,T2
2025-02-06,-1,1.03741,1.036305,10.549999999999116,tp2_ar50,signal2,T2
2025-02-06,-1,1.0365,1.03713,-6.800000000001305,hard_exit_12pm,cascade_2,T2
