lens,rank_band,label,n,mean,std,tstat,pvalue,sig_bh5
chain,1001-1500,-,12554,-inf,,,,False
chain,1001-1500,A,3948,-inf,,,,False
chain,1001-1500,ADA,2926,-inf,,,,False
chain,1001-1500,ALGO,675,-inf,,,,False
chain,1001-1500,APT,1017,-inf,,,,False
chain,1001-1500,ARB,4854,-inf,,,,False
chain,1001-1500,ARBITRUM,740,-inf,,,,False
chain,1001-1500,AVAX,5635,-inf,,,,False
chain,1001-1500,BCH,819,-inf,,,,False
chain,1001-1500,BITCI,916,-inf,,,,False
chain,1001-1500,BNB,120299,-inf,,,,False
chain,1001-1500,BTC,1392,-inf,,,,False
chain,1001-1500,CELO,670,-inf,,,,False
chain,1001-1500,CHZ,583,-inf,,,,False
chain,1001-1500,CRO,1619,-inf,,,,False
chain,1001-1500,DOT,1293,-inf,,,,False
chain,1001-1500,EGLD,411,-inf,,,,False
chain,1001-1500,ETH,522961,-inf,,,,False
chain,1001-1500,FTM,1021,-inf,,,,False
chain,1001-1500,GRAM,2851,-inf,,,,False
chain,1001-1500,ICP,1450,-inf,,,,False
chain,1001-1500,KAIA,6558,-inf,,,,False
chain,1001-1500,LINEA,331,-inf,,,,False
chain,1001-1500,LUNC,477,-inf,,,,False
chain,1001-1500,MNT,490,-inf,,,,False
chain,1001-1500,NEO,2900,-inf,,,,False
chain,1001-1500,OKB,394,-inf,,,,False
chain,1001-1500,OP,385,-inf,,,,False
chain,1001-1500,OSMO,2253,-inf,,,,False
chain,1001-1500,POL,14067,-inf,,,,False
chain,1001-1500,SDN,347,-inf,,,,False
chain,1001-1500,SOL,66401,-inf,,,,False
chain,1001-1500,SUI,3388,-inf,,,,False
chain,1001-1500,TRX,4411,-inf,,,,False
chain,1001-1500,VET,365,-inf,,,,False
chain,1001-1500,WAN,771,-inf,,,,False
chain,1001-1500,WAVES,782,-inf,,,,False
chain,1001-1500,XDC,892,-inf,,,,False
chain,1001-1500,XLM,402,-inf,,,,False
chain,1001-1500,XRP,1112,-inf,,,,False
chain,1001-1500,ZK,970,-inf,,,,False
chain,1501-2000,,226309,-inf,,,,False
chain,1501-2000,-,11602,-inf,,,,False
chain,1501-2000,A,2905,-inf,,,,False
chain,1501-2000,ADA,2063,-inf,,,,False
chain,1501-2000,ALGO,500,-inf,,,,False
chain,1501-2000,APT,540,-inf,,,,False
chain,1501-2000,ARB,4742,-inf,,,,False
chain,1501-2000,ARBITRUM,474,-inf,,,,False
chain,1501-2000,AVAX,5403,-inf,,,,False
chain,1501-2000,BITCI,669,-inf,,,,False
chain,1501-2000,BNB,129533,-inf,,,,False
chain,1501-2000,BTC,1264,-inf,,,,False
chain,1501-2000,CELO,616,-inf,,,,False
chain,1501-2000,CHZ,1234,-inf,,,,False
chain,1501-2000,CRO,753,-inf,,,,False
chain,1501-2000,DOT,395,-inf,,,,False
chain,1501-2000,EGLD,1014,-inf,,,,False
chain,1501-2000,ETH,500852,-inf,,,,False
chain,1501-2000,FTM,750,-inf,,,,False
chain,1501-2000,GLMR,869,-inf,,,,False
chain,1501-2000,GRAM,2414,-inf,,,,False
chain,1501-2000,HBAR,567,-inf,,,,False
chain,1501-2000,HT,805,-inf,,,,False
chain,1501-2000,ICP,1193,-inf,,,,False
chain,1501-2000,KAIA,3604,-inf,,,,False
chain,1501-2000,LINEA,559,-inf,,,,False
chain,1501-2000,NEO,1680,-inf,,,,False
chain,1501-2000,OKB,359,-inf,,,,False
chain,1501-2000,OP,613,-inf,,,,False
chain,1501-2000,OSMO,1899,-inf,,,,False
chain,1501-2000,POL,16400,-inf,,,,False
chain,1501-2000,SOL,70719,-inf,,,,False
chain,1501-2000,SUI,2051,-inf,,,,False
chain,1501-2000,TRX,3986,-inf,,,,False
chain,1501-2000,VET,819,-inf,,,,False
chain,1501-2000,WAVES,1461,-inf,,,,False
chain,1501-2000,XDC,460,-inf,,,,False
chain,1501-2000,XLM,486,-inf,,,,False
chain,1501-2000,XOR,349,-inf,,,,False
chain,1501-2000,XRP,732,-inf,,,,False
chain,1501-2000,ZK,1510,-inf,,,,False
