lens,value,rank_band,n,n_assets,p_ge1s,p_ge2s,p_ge3s,p_ge4s,med_z,p90_z,p95_z,p99_z,baseline_ge3s,zstat,pvalue,sig_bh5,lift_ge3s
chain,BTC,1501-2000,1264,8,0.189873417721519,0.06645569620253164,0.028481012658227847,0.015031645569620253,0.34072690235045633,1.5706235513981373,2.1936411766957504,4.640374796812685,0.02247902167737205,1.44,0.15000378619896734,False,0.006001990980855798
chain,CELO,1501-2000,616,2,0.18506493506493507,0.07142857142857142,0.03409090909090909,0.017857142857142856,0.3629410042604222,1.5672781684677957,2.359090508214071,4.769006838479915,0.02247902167737205,1.944,0.05187107480718012,False,0.01161188741353704
chain,CHZ,1501-2000,1234,4,0.18638573743922204,0.046191247974068074,0.019448946515397084,0.007293354943273906,0.3439815859229356,1.413107921143907,1.9501110118573532,3.253450972278462,0.02247902167737205,-0.718,0.4727218211577925,False,-0.003030075161974965
chain,CRO,1501-2000,753,4,0.19389110225763612,0.055776892430278883,0.027888446215139442,0.014608233731739707,0.38731282272242445,1.4972490600467083,2.091875561415985,4.592391609592219,0.02247902167737205,1.001,0.3166454747842675,False,0.005409424537767393
chain,DOGE,1501-2000,261,2,0.05747126436781609,0.03065134099616858,0.019157088122605363,0.01532567049808429,0.0,0.5315758964964789,1.0480987369551227,4.517556289232587,0.02247902167737205,-0.362,0.7173203374513937,False,-0.0033219335547666866
chain,DOT,1501-2000,395,2,0.25316455696202533,0.06835443037974684,0.02278481012658228,0.007594936708860759,0.5355450208948662,1.6675847530876144,2.2365794883352295,3.211790287568973,0.02247902167737205,0.041,0.9672970984313957,False,0.0003057884492102293
chain,EGLD,1501-2000,1014,5,0.27613412228796846,0.04930966469428008,0.01282051282051282,0.004930966469428008,0.5619744683284316,1.6485617299214872,1.9725666116535998,3.2614126412013658,0.02247902167737205,-2.075,0.038004598737859926,False,-0.009658508856859229
chain,ETH,1501-2000,500852,2731,0.1924460718934935,0.0586620398840376,0.024280625813613604,0.012760256522885004,0.34838236601372097,1.515596263217108,2.16076690509666,4.470706840317592,0.02247902167737205,8.601,7.884217621799621e-18,True,0.0018016041362415545
chain,EVER,1501-2000,257,1,0.0311284046692607,0.0038910505836575876,0.0,0.0,0.03277481214787505,0.4921278097301017,0.8351008512765375,1.669028373740226,0.02247902167737205,-2.431,0.015055525168554669,False,-0.02247902167737205
chain,FTM,1501-2000,750,4,0.24533333333333332,0.07466666666666667,0.034666666666666665,0.02266666666666667,0.441088565040024,1.660076908452501,2.4141669331364954,5.628934921951212,0.02247902167737205,2.252,0.02434512115705944,False,0.012187644989294616
chain,GLMR,1501-2000,869,3,0.2002301495972382,0.05638665132336018,0.023014959723820484,0.011507479861910242,0.44356292236921374,1.555446161087624,2.0836971680380603,4.0647648271709125,0.02247902167737205,0.107,0.9151227670778093,False,0.0005359380464484351
chain,GRAM,1501-2000,2414,26,0.19386909693454846,0.048467274233637114,0.020298260149130075,0.009942004971002486,0.43324942047854215,1.453586052786649,1.982987862082197,3.96097889391714,0.02247902167737205,-0.723,0.46979569088823725,False,-0.0021807615282419743
chain,HBAR,1501-2000,567,3,0.21516754850088182,0.05291005291005291,0.015873015873015872,0.008818342151675485,0.4235280669074354,1.5046879610592676,2.0221678566972727,3.36918715315353,0.02247902167737205,-1.061,0.2886195667412471,False,-0.006606005804356177
chain,HT,1501-2000,805,4,0.1701863354037267,0.05962732919254658,0.02608695652173913,0.017391304347826087,0.32817973907081405,1.475583104458681,2.160385513176745,5.560620691383835,0.02247902167737205,0.691,0.48983863222823465,False,0.00360793484436708
chain,ICP,1501-2000,1193,7,0.2154233025984912,0.06370494551550712,0.027661357921207042,0.012573344509639563,0.4657398350882147,1.5616701535430313,2.3266593323370017,4.43308948550177,0.02247902167737205,1.208,0.22723223575720597,False,0.005182336243834993
chain,KAIA,1501-2000,3604,23,0.2400110987791343,0.07547169811320754,0.029689234184239733,0.015260821309655937,0.4173253220700775,1.7121266803232942,2.3511833173275165,4.612426575042942,0.02247902167737205,2.92,0.003499871468416505,True,0.007210212506867684
chain,LINEA,1501-2000,559,4,0.17173524150268335,0.0626118067978533,0.026833631484794274,0.014311270125223614,0.43554090968832737,1.4897946451695678,2.1826262309206568,5.199909601421671,0.02247902167737205,0.695,0.48733746791730725,False,0.004354609807422225
chain,LUNC,1501-2000,257,2,0.23346303501945526,0.07392996108949416,0.0311284046692607,0.011673151750972763,0.4908172229160803,1.7915919939161336,2.23152956683022,4.474032699712884,0.02247902167737205,0.935,0.3495793367062553,False,0.008649382991888652
chain,MNT,1501-2000,248,2,0.10887096774193548,0.04838709677419355,0.03225806451612903,0.012096774193548387,0.2654473374685028,1.0530492028643421,1.8631732560267582,4.199195305214654,0.02247902167737205,1.039,0.2988549220627562,False,0.009779042838756982
chain,MON,1501-2000,214,2,0.2336448598130841,0.03271028037383177,0.009345794392523364,0.009345794392523364,0.5517742297168711,1.5074591953049583,1.8638004114202305,2.6673284540320914,0.02247902167737205,-1.296,0.19495327913584382,False,-0.013133227284848685
chain,NEO,1501-2000,1680,16,0.15654761904761905,0.05714285714285714,0.034523809523809526,0.017857142857142856,0.2678521197102055,1.3289067778755306,2.282444283878335,5.409809719314047,0.02247902167737205,3.33,0.0008670780833420481,True,0.012044787846437477
chain,OKB,1501-2000,359,4,0.25069637883008355,0.052924791086350974,0.022284122562674095,0.013927576601671309,0.5239947595818506,1.4749075841190293,2.010517618871176,4.203199483298123,0.02247902167737205,-0.025,0.9801253043273007,False,-0.00019489911469795437
chain,OP,1501-2000,613,2,0.21533442088091354,0.052202283849918436,0.01957585644371941,0.008156606851549755,0.4306319238019046,1.4684359666384041,2.037767599622719,3.743299921921656,0.02247902167737205,-0.485,0.6277488179684847,False,-0.002903165233652638
chain,OSMO,1501-2000,1899,14,0.22274881516587677,0.05634544497103739,0.018430753027909426,0.011058451816745656,0.4625051478680516,1.4641937528754674,2.1951459190835148,4.012434009049688,0.02247902167737205,-1.19,0.2340107452226079,False,-0.004048268649462623
chain,POL,1501-2000,16400,86,0.20085365853658538,0.06329268292682927,0.02652439024390244,0.015182926829268292,0.3757529407899822,1.5501704811117831,2.2338316814599026,4.865834196080623,0.02247902167737205,3.495,0.00047433206860813507,True,0.004045368566530389
chain,S,1501-2000,238,4,0.18907563025210083,0.058823529411764705,0.01680672268907563,0.01680672268907563,0.42502921757030765,1.4824833713388723,2.2012765515875756,4.241390442009519,0.02247902167737205,-0.59,0.5549685259697722,False,-0.00567229898829642
chain,SEI,1501-2000,227,2,0.23348017621145375,0.05726872246696035,0.01762114537444934,0.0,0.4508812709526358,1.5594592537215561,2.0872583101908746,3.15028232934637,0.02247902167737205,-0.494,0.6214823265697721,False,-0.004857876302922708
chain,SGB,1501-2000,212,1,0.2971698113207547,0.10849056603773585,0.02830188679245283,0.009433962264150943,0.6622311722049052,2.045932021731131,2.555127078161045,3.877759171312024,0.02247902167737205,0.572,0.5673604440569576,False,0.005822865115080782
chain,SOL,1501-2000,70719,595,0.20765282314512365,0.0535782462987316,0.020772352550234026,0.010633634525375076,0.43316784506613787,1.5057834070127365,2.061271575920187,4.092505177371409,0.02247902167737205,-3.062,0.0022006832218174873,True,-0.0017066691271380233
chain,STX,1501-2000,235,2,0.20425531914893616,0.03829787234042553,0.01276595744680851,0.00425531914893617,0.3839872202593662,1.4646109311379392,1.844378425313329,3.0398423753066086,0.02247902167737205,-1.004,0.3151504806956219,False,-0.00971306423056354
chain,SUI,1501-2000,2051,21,0.2052657240370551,0.06387128230131643,0.022915650901999023,0.010726474890297415,0.43220626280361985,1.592436379922644,2.1900868288330724,4.103362539724882,0.02247902167737205,0.133,0.8938799469370773,False,0.00043662922462697415
chain,TRX,1501-2000,3986,45,0.1635725037631711,0.05469141996989463,0.025338685398896138,0.01630707476166583,0.2614742711051961,1.4193400357297572,2.0630067502042366,4.956148458434947,0.02247902167737205,1.218,0.22324040859708705,False,0.002859663721524089
chain,VET,1501-2000,819,2,0.26373626373626374,0.05860805860805861,0.018315018315018316,0.007326007326007326,0.6173306998589942,1.6431749010564418,2.1188123191426915,3.7290094181458793,0.02247902167737205,-0.804,0.4214555346325173,False,-0.004164003362353733
chain,WAN,1501-2000,292,2,0.25,0.08904109589041095,0.03767123287671233,0.02054794520547945,0.503321245796472,1.7896249021152495,2.353181284556316,4.509795270110183,0.02247902167737205,1.751,0.07989416371759797,False,0.015192211199340278
chain,WAVES,1501-2000,1461,4,0.20670773442847365,0.055441478439425054,0.022587268993839837,0.014373716632443531,0.3946284266159182,1.5470961711418738,2.052346981586453,4.336833022327156,0.02247902167737205,0.028,0.9777323609361336,False,0.00010824731646778829
chain,XDC,1501-2000,460,3,0.1826086956521739,0.05652173913043478,0.03260869565217391,0.010869565217391304,0.35293133054365655,1.5812107525563226,2.1005414121638557,4.174261849452502,0.02247902167737205,1.466,0.14275068552575318,False,0.010129673974801863
chain,XLM,1501-2000,486,2,0.1934156378600823,0.06995884773662552,0.037037037037037035,0.026748971193415638,0.37782680056918416,1.5208120986185818,2.281789104758924,5.913482548018319,0.02247902167737205,2.165,0.03038361549848828,False,0.014558015359664986
