band,atom,streak_len,date,subperiod,tail_after,revert
501-750,LOWER_DISPERSION,2,2026-02-05,2025-2026,False,True
501-750,LOWER_DISPERSION,2,2026-06-04,2025-2026,False,False
501-750,LOWER_DISPERSION,4,2026-08-19,2025-2026,,
501-750,RANK_DETERIORATION,4,2020-11-20,2020-2021,False,False
501-750,RANK_DETERIORATION,7,2020-12-01,2020-2021,False,False
501-750,RANK_DETERIORATION,8,2020-12-11,2020-2021,True,False
501-750,RANK_DETERIORATION,2,2020-12-25,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2020-12-29,2020-2021,False,False
501-750,RANK_DETERIORATION,7,2021-01-28,2020-2021,False,True
501-750,RANK_DETERIORATION,8,2021-02-05,2020-2021,False,False
501-750,RANK_DETERIORATION,4,2021-02-14,2020-2021,False,False
501-750,RANK_DETERIORATION,4,2021-02-19,2020-2021,False,False
501-750,RANK_DETERIORATION,8,2021-02-24,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2021-03-13,2020-2021,False,False
501-750,RANK_DETERIORATION,5,2021-04-02,2020-2021,False,True
501-750,RANK_DETERIORATION,9,2021-04-28,2020-2021,False,False
501-750,RANK_DETERIORATION,2,2021-05-11,2020-2021,False,False
501-750,RANK_DETERIORATION,2,2021-05-21,2020-2021,True,False
501-750,RANK_DETERIORATION,4,2021-06-05,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2021-06-23,2020-2021,False,True
501-750,RANK_DETERIORATION,5,2021-07-04,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2021-07-24,2020-2021,False,False
501-750,RANK_DETERIORATION,11,2021-07-27,2020-2021,False,False
501-750,RANK_DETERIORATION,3,2021-08-08,2020-2021,False,True
501-750,RANK_DETERIORATION,21,2021-08-16,2020-2021,False,False
501-750,RANK_DETERIORATION,3,2021-09-09,2020-2021,False,False
501-750,RANK_DETERIORATION,2,2021-09-14,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2021-09-29,2020-2021,False,False
501-750,RANK_DETERIORATION,3,2021-10-02,2020-2021,False,True
501-750,RANK_DETERIORATION,13,2021-10-09,2020-2021,False,False
501-750,RANK_DETERIORATION,18,2021-10-23,2020-2021,False,False
501-750,RANK_DETERIORATION,12,2021-11-11,2020-2021,False,True
501-750,RANK_DETERIORATION,3,2021-12-06,2020-2021,False,True
501-750,RANK_DETERIORATION,3,2021-12-10,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2021-12-18,2020-2021,False,False
501-750,RANK_DETERIORATION,6,2021-12-29,2020-2021,False,True
501-750,RANK_DETERIORATION,2,2022-02-01,2022,False,False
501-750,RANK_DETERIORATION,4,2022-05-07,2022,True,True
501-750,RANK_DETERIORATION,2,2022-06-06,2022,True,False
501-750,RANK_DETERIORATION,3,2022-07-06,2022,False,True
501-750,RANK_DETERIORATION,2,2022-07-28,2022,False,True
501-750,RANK_DETERIORATION,8,2022-08-06,2022,False,
501-750,RANK_DETERIORATION,10,2022-08-19,2022,False,True
501-750,RANK_DETERIORATION,2,2022-08-30,2022,False,True
501-750,RANK_DETERIORATION,3,2022-09-03,2022,False,False
501-750,RANK_DETERIORATION,11,2022-09-11,2022,False,True
501-750,RANK_DETERIORATION,3,2022-09-28,2022,False,False
501-750,RANK_DETERIORATION,11,2022-10-02,2022,False,True
501-750,RANK_DETERIORATION,5,2022-11-04,2022,True,False
501-750,RANK_DETERIORATION,15,2022-11-11,2022,False,True
501-750,RANK_DETERIORATION,4,2022-12-03,2022,False,False
501-750,RANK_DETERIORATION,11,2022-12-08,2022,False,False
501-750,RANK_DETERIORATION,2,2022-12-20,2022,False,False
501-750,RANK_DETERIORATION,4,2023-01-07,2023,False,False
501-750,RANK_DETERIORATION,6,2023-01-12,2023,False,True
501-750,RANK_DETERIORATION,2,2023-01-25,2023,False,False
501-750,RANK_DETERIORATION,17,2023-01-28,2023,False,True
501-750,RANK_DETERIORATION,7,2023-02-15,2023,False,False
501-750,RANK_DETERIORATION,2,2023-02-23,2023,False,False
501-750,RANK_DETERIORATION,12,2023-03-16,2023,False,True
501-750,RANK_DETERIORATION,2,2023-05-03,2023,False,True
501-750,RANK_DETERIORATION,5,2023-05-10,2023,False,True
501-750,RANK_DETERIORATION,11,2023-05-17,2023,False,False
501-750,RANK_DETERIORATION,2,2023-06-28,2023,False,False
501-750,RANK_DETERIORATION,2,2023-07-03,2023,False,False
501-750,RANK_DETERIORATION,19,2023-08-04,2023,False,True
501-750,RANK_DETERIORATION,2,2023-08-30,2023,False,True
501-750,RANK_DETERIORATION,3,2023-09-04,2023,False,True
501-750,RANK_DETERIORATION,3,2023-09-08,2023,False,False
501-750,RANK_DETERIORATION,2,2023-10-02,2023,False,False
501-750,RANK_DETERIORATION,55,2023-10-26,2023,False,True
501-750,RANK_DETERIORATION,7,2024-01-04,2024,False,True
501-750,RANK_DETERIORATION,2,2024-01-20,2024,False,True
501-750,RANK_DETERIORATION,2,2024-01-24,2024,False,True
501-750,RANK_DETERIORATION,5,2024-01-27,2024,False,True
501-750,RANK_DETERIORATION,11,2024-02-08,2024,False,False
501-750,RANK_DETERIORATION,7,2024-02-22,2024,False,False
501-750,RANK_DETERIORATION,5,2024-03-06,2024,True,True
501-750,RANK_DETERIORATION,3,2024-03-19,2024,False,False
501-750,RANK_DETERIORATION,3,2024-03-28,2024,False,True
501-750,RANK_DETERIORATION,3,2024-04-01,2024,False,True
501-750,RANK_DETERIORATION,2,2024-04-17,2024,False,False
501-750,RANK_DETERIORATION,10,2024-05-03,2024,False,False
501-750,RANK_DETERIORATION,10,2024-05-21,2024,False,False
501-750,RANK_DETERIORATION,2,2024-06-16,2024,False,False
501-750,RANK_DETERIORATION,3,2024-07-17,2024,False,True
501-750,RANK_DETERIORATION,3,2024-07-25,2024,False,False
501-750,RANK_DETERIORATION,4,2024-08-18,2024,False,False
501-750,RANK_DETERIORATION,2,2024-08-23,2024,False,True
501-750,RANK_DETERIORATION,2,2024-08-30,2024,False,False
501-750,RANK_DETERIORATION,2,2024-09-07,2024,False,False
501-750,RANK_DETERIORATION,8,2024-09-10,2024,False,False
501-750,RANK_DETERIORATION,2,2024-10-03,2024,False,True
501-750,RANK_DETERIORATION,4,2024-10-06,2024,False,False
501-750,RANK_DETERIORATION,5,2024-10-11,2024,False,False
501-750,RANK_DETERIORATION,2,2024-10-23,2024,False,True
501-750,RANK_DETERIORATION,5,2024-11-05,2024,True,False
501-750,RANK_DETERIORATION,3,2024-11-11,2024,False,False
501-750,RANK_DETERIORATION,2,2024-11-23,2024,True,True
501-750,RANK_DETERIORATION,2,2024-12-05,2024,False,True
501-750,RANK_DETERIORATION,4,2024-12-09,2024,False,False
501-750,RANK_DETERIORATION,2,2024-12-22,2024,False,False
501-750,RANK_DETERIORATION,4,2024-12-26,2024,False,False
501-750,RANK_DETERIORATION,2,2024-12-31,2024,False,False
501-750,RANK_DETERIORATION,2,2025-01-03,2025-2026,False,True
501-750,RANK_DETERIORATION,4,2025-01-06,2025-2026,False,True
501-750,RANK_DETERIORATION,7,2025-01-11,2025-2026,False,True
501-750,RANK_DETERIORATION,7,2025-01-25,2025-2026,False,False
501-750,RANK_DETERIORATION,8,2025-02-19,2025-2026,False,True
501-750,RANK_DETERIORATION,7,2025-03-19,2025-2026,False,True
501-750,RANK_DETERIORATION,7,2025-03-31,2025-2026,False,True
501-750,RANK_DETERIORATION,2,2025-04-14,2025-2026,False,False
501-750,RANK_DETERIORATION,2,2025-04-17,2025-2026,False,False
501-750,RANK_DETERIORATION,2,2025-04-27,2025-2026,False,True
501-750,RANK_DETERIORATION,5,2025-04-30,2025-2026,True,False
501-750,RANK_DETERIORATION,6,2025-05-19,2025-2026,False,True
501-750,RANK_DETERIORATION,2,2025-05-27,2025-2026,False,False
501-750,RANK_DETERIORATION,3,2025-05-31,2025-2026,False,True
501-750,RANK_DETERIORATION,3,2025-06-17,2025-2026,False,False
501-750,RANK_DETERIORATION,2,2025-06-22,2025-2026,False,False
501-750,RANK_DETERIORATION,2,2025-06-26,2025-2026,False,False
501-750,RANK_DETERIORATION,3,2025-07-02,2025-2026,False,False
501-750,RANK_DETERIORATION,8,2025-07-17,2025-2026,False,True
501-750,RANK_DETERIORATION,4,2025-07-26,2025-2026,False,False
501-750,RANK_DETERIORATION,6,2025-08-03,2025-2026,False,False
501-750,RANK_DETERIORATION,2,2025-08-10,2025-2026,False,True
501-750,RANK_DETERIORATION,2,2025-08-13,2025-2026,False,False
501-750,RANK_DETERIORATION,5,2025-08-23,2025-2026,False,True
501-750,RANK_DETERIORATION,9,2025-09-15,2025-2026,False,True
501-750,RANK_DETERIORATION,17,2025-09-25,2025-2026,True,True
501-750,RANK_DETERIORATION,4,2025-10-27,2025-2026,True,True
501-750,RANK_DETERIORATION,2,2025-11-02,2025-2026,True,False
501-750,RANK_DETERIORATION,3,2025-11-07,2025-2026,False,False
501-750,RANK_DETERIORATION,3,2025-11-11,2025-2026,False,False
501-750,RANK_DETERIORATION,8,2025-12-16,2025-2026,False,True
501-750,RANK_DETERIORATION,2,2026-01-03,2025-2026,False,False
501-750,RANK_DETERIORATION,5,2026-01-08,2025-2026,False,True
501-750,RANK_DETERIORATION,5,2026-01-14,2025-2026,False,False
501-750,RANK_DETERIORATION,7,2026-01-20,2025-2026,True,False
501-750,RANK_DETERIORATION,3,2026-01-30,2025-2026,True,True
501-750,RANK_DETERIORATION,2,2026-02-05,2025-2026,False,True
501-750,RANK_DETERIORATION,4,2026-02-08,2025-2026,False,True
501-750,RANK_DETERIORATION,3,2026-02-22,2025-2026,False,True
501-750,RANK_DETERIORATION,7,2026-03-04,2025-2026,False,False
501-750,RANK_DETERIORATION,7,2026-03-24,2025-2026,False,False
501-750,RANK_DETERIORATION,2,2026-04-24,2025-2026,False,
501-750,RANK_DETERIORATION,16,2026-04-29,2025-2026,False,True
501-750,RANK_DETERIORATION,15,2026-05-29,2025-2026,False,True
501-750,RANK_DETERIORATION,5,2026-06-19,2025-2026,False,False
501-750,RANK_DETERIORATION,3,2026-07-17,2025-2026,False,
501-750,RANK_DETERIORATION,2,2026-07-28,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2020-10-05,2020-2021,False,True
751-1000,VOL_EXPANSION,3,2020-10-20,2020-2021,True,True
751-1000,VOL_EXPANSION,11,2020-10-27,2020-2021,False,False
751-1000,VOL_EXPANSION,5,2020-11-29,2020-2021,False,True
751-1000,VOL_EXPANSION,3,2020-12-16,2020-2021,False,False
751-1000,VOL_EXPANSION,8,2020-12-21,2020-2021,True,True
751-1000,VOL_EXPANSION,19,2021-01-02,2020-2021,False,True
751-1000,VOL_EXPANSION,31,2021-01-27,2020-2021,False,True
751-1000,VOL_EXPANSION,4,2021-02-28,2020-2021,False,True
751-1000,VOL_EXPANSION,46,2021-03-09,2020-2021,False,False
751-1000,VOL_EXPANSION,3,2021-04-26,2020-2021,False,False
751-1000,VOL_EXPANSION,2,2021-04-30,2020-2021,False,True
751-1000,VOL_EXPANSION,4,2021-05-05,2020-2021,False,True
751-1000,VOL_EXPANSION,5,2021-05-10,2020-2021,False,True
751-1000,VOL_EXPANSION,8,2021-05-19,2020-2021,False,True
751-1000,VOL_EXPANSION,2,2021-05-31,2020-2021,False,False
751-1000,VOL_EXPANSION,2,2021-06-21,2020-2021,False,True
751-1000,VOL_EXPANSION,2,2021-10-20,2020-2021,False,False
751-1000,VOL_EXPANSION,2,2021-10-27,2020-2021,False,False
751-1000,VOL_EXPANSION,2,2021-11-07,2020-2021,False,True
751-1000,VOL_EXPANSION,3,2021-11-18,2020-2021,False,True
751-1000,VOL_EXPANSION,2,2021-11-22,2020-2021,False,True
751-1000,VOL_EXPANSION,2,2021-11-25,2020-2021,False,True
751-1000,VOL_EXPANSION,3,2021-12-03,2020-2021,False,False
751-1000,VOL_EXPANSION,2,2021-12-09,2020-2021,False,True
751-1000,VOL_EXPANSION,2,2021-12-13,2020-2021,False,True
751-1000,VOL_EXPANSION,2,2022-02-24,2022,False,False
751-1000,VOL_EXPANSION,2,2022-05-04,2022,True,False
751-1000,VOL_EXPANSION,9,2022-05-11,2022,False,True
751-1000,VOL_EXPANSION,7,2022-06-10,2022,False,True
751-1000,VOL_EXPANSION,2,2022-06-18,2022,False,False
751-1000,VOL_EXPANSION,2,2022-06-23,2022,False,True
751-1000,VOL_EXPANSION,2,2022-07-27,2022,False,False
751-1000,VOL_EXPANSION,3,2022-09-13,2022,False,False
751-1000,VOL_EXPANSION,2,2022-09-18,2022,False,True
751-1000,VOL_EXPANSION,2,2022-10-25,2022,False,True
751-1000,VOL_EXPANSION,9,2022-11-08,2022,False,False
751-1000,VOL_EXPANSION,4,2022-11-20,2022,False,False
751-1000,VOL_EXPANSION,2,2022-11-29,2022,False,True
751-1000,VOL_EXPANSION,2,2022-12-19,2022,False,True
751-1000,VOL_EXPANSION,4,2023-01-11,2023,False,True
751-1000,VOL_EXPANSION,3,2023-01-16,2023,False,True
751-1000,VOL_EXPANSION,4,2023-01-22,2023,False,True
751-1000,VOL_EXPANSION,6,2023-01-29,2023,False,False
751-1000,VOL_EXPANSION,5,2023-02-05,2023,False,False
751-1000,VOL_EXPANSION,9,2023-02-13,2023,False,False
751-1000,VOL_EXPANSION,3,2023-02-23,2023,False,True
751-1000,VOL_EXPANSION,2,2023-03-02,2023,False,False
751-1000,VOL_EXPANSION,12,2023-03-07,2023,False,True
751-1000,VOL_EXPANSION,5,2023-03-20,2023,False,False
751-1000,VOL_EXPANSION,2,2023-03-29,2023,False,True
751-1000,VOL_EXPANSION,2,2023-04-10,2023,False,False
751-1000,VOL_EXPANSION,2,2023-04-13,2023,False,True
751-1000,VOL_EXPANSION,2,2023-05-01,2023,False,
751-1000,VOL_EXPANSION,2,2023-05-05,2023,False,False
751-1000,VOL_EXPANSION,2,2023-05-10,2023,False,False
751-1000,VOL_EXPANSION,2,2023-06-06,2023,True,True
751-1000,VOL_EXPANSION,2,2023-06-13,2023,False,True
751-1000,VOL_EXPANSION,2,2023-07-13,2023,False,False
751-1000,VOL_EXPANSION,3,2023-08-16,2023,False,True
751-1000,VOL_EXPANSION,3,2023-09-11,2023,False,False
751-1000,VOL_EXPANSION,2,2023-10-16,2023,False,False
751-1000,VOL_EXPANSION,4,2023-10-22,2023,False,True
751-1000,VOL_EXPANSION,4,2023-10-30,2023,True,False
751-1000,VOL_EXPANSION,8,2023-11-08,2023,False,False
751-1000,VOL_EXPANSION,55,2023-11-19,2023,False,True
751-1000,VOL_EXPANSION,2,2024-01-22,2024,False,True
751-1000,VOL_EXPANSION,2,2024-01-25,2024,False,False
751-1000,VOL_EXPANSION,2,2024-01-31,2024,False,
751-1000,VOL_EXPANSION,3,2024-02-07,2024,False,True
751-1000,VOL_EXPANSION,67,2024-02-12,2024,False,True
751-1000,VOL_EXPANSION,2,2024-04-23,2024,False,False
751-1000,VOL_EXPANSION,2,2024-05-14,2024,False,True
751-1000,VOL_EXPANSION,2,2024-05-20,2024,False,
751-1000,VOL_EXPANSION,4,2024-06-10,2024,False,False
751-1000,VOL_EXPANSION,3,2024-06-17,2024,False,True
751-1000,VOL_EXPANSION,2,2024-06-24,2024,False,True
751-1000,VOL_EXPANSION,6,2024-07-03,2024,False,False
751-1000,VOL_EXPANSION,7,2024-08-02,2024,False,True
751-1000,VOL_EXPANSION,2,2024-08-16,2024,False,False
751-1000,VOL_EXPANSION,2,2024-08-26,2024,False,False
751-1000,VOL_EXPANSION,2,2024-09-19,2024,False,False
751-1000,VOL_EXPANSION,2,2024-09-30,2024,False,False
751-1000,VOL_EXPANSION,2,2024-10-03,2024,False,True
751-1000,VOL_EXPANSION,4,2024-10-14,2024,False,True
751-1000,VOL_EXPANSION,4,2024-10-28,2024,True,False
751-1000,VOL_EXPANSION,3,2024-11-05,2024,False,False
751-1000,VOL_EXPANSION,46,2024-11-09,2024,False,True
751-1000,VOL_EXPANSION,4,2024-12-26,2024,False,False
751-1000,VOL_EXPANSION,2,2025-01-02,2025-2026,False,False
751-1000,VOL_EXPANSION,5,2025-01-06,2025-2026,False,True
751-1000,VOL_EXPANSION,14,2025-01-15,2025-2026,False,True
751-1000,VOL_EXPANSION,6,2025-02-01,2025-2026,False,False
751-1000,VOL_EXPANSION,4,2025-02-10,2025-2026,False,True
751-1000,VOL_EXPANSION,3,2025-02-24,2025-2026,False,False
751-1000,VOL_EXPANSION,4,2025-03-01,2025-2026,False,True
751-1000,VOL_EXPANSION,4,2025-03-09,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2025-03-16,2025-2026,False,True
751-1000,VOL_EXPANSION,8,2025-04-06,2025-2026,False,True
751-1000,VOL_EXPANSION,4,2025-04-22,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2025-04-27,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2025-05-03,2025-2026,True,False
751-1000,VOL_EXPANSION,3,2025-05-08,2025-2026,False,True
751-1000,VOL_EXPANSION,4,2025-05-12,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2025-05-22,2025-2026,False,False
751-1000,VOL_EXPANSION,4,2025-06-20,2025-2026,False,False
751-1000,VOL_EXPANSION,3,2025-07-15,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2025-08-11,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2025-09-25,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2025-10-01,2025-2026,False,False
751-1000,VOL_EXPANSION,10,2025-10-08,2025-2026,False,True
751-1000,VOL_EXPANSION,5,2025-11-03,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2025-11-13,2025-2026,False,True
751-1000,VOL_EXPANSION,3,2025-11-19,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2025-12-01,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2025-12-14,2025-2026,False,False
751-1000,VOL_EXPANSION,3,2025-12-17,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2026-01-01,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2026-01-15,2025-2026,False,True
751-1000,VOL_EXPANSION,3,2026-01-18,2025-2026,False,True
751-1000,VOL_EXPANSION,3,2026-01-31,2025-2026,True,True
751-1000,VOL_EXPANSION,2,2026-02-05,2025-2026,False,True
751-1000,VOL_EXPANSION,3,2026-02-13,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2026-03-26,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2026-04-07,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2026-04-12,2025-2026,False,True
751-1000,VOL_EXPANSION,5,2026-04-16,2025-2026,False,True
751-1000,VOL_EXPANSION,2,2026-05-12,2025-2026,False,True
751-1000,VOL_EXPANSION,3,2026-05-15,2025-2026,False,False
751-1000,VOL_EXPANSION,3,2026-05-26,2025-2026,True,True
751-1000,VOL_EXPANSION,4,2026-06-02,2025-2026,False,False
751-1000,VOL_EXPANSION,3,2026-06-23,2025-2026,False,True
751-1000,VOL_EXPANSION,4,2026-06-30,2025-2026,False,False
751-1000,VOL_EXPANSION,2,2026-08-08,2025-2026,False,
751-1000,VOL_EXPANSION,2,2026-08-11,2025-2026,True,True
751-1000,VOL_EXPANSION,5,2026-08-18,2025-2026,,
751-1000,BAND_RISK_ON,2,2020-09-06,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2020-09-09,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2020-09-24,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2020-10-03,2020-2021,False,True
751-1000,BAND_RISK_ON,6,2020-10-07,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2020-10-17,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-10-21,2020-2021,True,True
751-1000,BAND_RISK_ON,3,2020-10-27,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-11-20,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-11-23,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-11-28,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-12-02,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-12-05,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2020-12-12,2020-2021,False,True
751-1000,BAND_RISK_ON,5,2020-12-15,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2020-12-24,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-01-01,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2021-01-05,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-01-13,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-01-18,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-01-28,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-02-01,2020-2021,True,True
751-1000,BAND_RISK_ON,6,2021-02-08,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-02-16,2020-2021,False,True
751-1000,BAND_RISK_ON,5,2021-03-05,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-03-16,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-03-19,2020-2021,False,True
751-1000,BAND_RISK_ON,8,2021-03-26,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-04-04,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-04-26,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-04-30,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2021-05-30,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-06-13,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-06-23,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-06-27,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-07-02,2020-2021,False,True
751-1000,BAND_RISK_ON,11,2021-07-21,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2021-08-04,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-08-19,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-08-31,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2021-09-03,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-09-11,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-09-14,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-09-22,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2021-09-30,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-10-05,2020-2021,False,True
751-1000,BAND_RISK_ON,4,2021-10-13,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-10-19,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-10-28,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-11-01,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-11-06,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-11-19,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-12-07,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2021-12-11,2020-2021,False,True
751-1000,BAND_RISK_ON,3,2021-12-21,2020-2021,False,True
751-1000,BAND_RISK_ON,2,2022-01-28,2022,False,True
751-1000,BAND_RISK_ON,2,2022-01-31,2022,False,True
751-1000,BAND_RISK_ON,4,2022-02-04,2022,False,True
751-1000,BAND_RISK_ON,2,2022-02-25,2022,False,True
751-1000,BAND_RISK_ON,2,2022-02-28,2022,False,True
751-1000,BAND_RISK_ON,2,2022-03-08,2022,False,True
751-1000,BAND_RISK_ON,4,2022-03-16,2022,False,True
751-1000,BAND_RISK_ON,2,2022-03-21,2022,False,True
751-1000,BAND_RISK_ON,7,2022-03-24,2022,False,True
751-1000,BAND_RISK_ON,3,2022-04-01,2022,False,True
751-1000,BAND_RISK_ON,2,2022-04-12,2022,False,True
751-1000,BAND_RISK_ON,2,2022-04-27,2022,False,True
751-1000,BAND_RISK_ON,3,2022-05-13,2022,False,True
751-1000,BAND_RISK_ON,2,2022-05-21,2022,False,True
751-1000,BAND_RISK_ON,3,2022-05-28,2022,False,True
751-1000,BAND_RISK_ON,2,2022-06-14,2022,False,True
751-1000,BAND_RISK_ON,3,2022-06-19,2022,False,True
751-1000,BAND_RISK_ON,2,2022-06-23,2022,False,True
751-1000,BAND_RISK_ON,3,2022-07-02,2022,False,True
751-1000,BAND_RISK_ON,2,2022-07-06,2022,False,True
751-1000,BAND_RISK_ON,4,2022-07-13,2022,False,True
751-1000,BAND_RISK_ON,2,2022-07-18,2022,False,True
751-1000,BAND_RISK_ON,3,2022-07-27,2022,False,True
751-1000,BAND_RISK_ON,3,2022-08-03,2022,False,True
751-1000,BAND_RISK_ON,2,2022-08-07,2022,False,True
751-1000,BAND_RISK_ON,2,2022-08-12,2022,False,True
751-1000,BAND_RISK_ON,2,2022-09-09,2022,False,True
751-1000,BAND_RISK_ON,2,2022-10-03,2022,False,True
751-1000,BAND_RISK_ON,2,2022-10-16,2022,False,True
751-1000,BAND_RISK_ON,3,2022-10-21,2022,False,True
751-1000,BAND_RISK_ON,2,2022-10-25,2022,False,True
751-1000,BAND_RISK_ON,2,2022-10-28,2022,False,True
751-1000,BAND_RISK_ON,3,2022-11-03,2022,True,True
751-1000,BAND_RISK_ON,2,2022-11-14,2022,False,True
751-1000,BAND_RISK_ON,3,2022-11-22,2022,False,True
751-1000,BAND_RISK_ON,2,2022-11-29,2022,False,True
751-1000,BAND_RISK_ON,3,2022-12-22,2022,False,True
751-1000,BAND_RISK_ON,9,2023-01-06,2023,False,True
751-1000,BAND_RISK_ON,2,2023-01-19,2023,False,True
751-1000,BAND_RISK_ON,5,2023-01-31,2023,False,True
751-1000,BAND_RISK_ON,2,2023-02-14,2023,False,True
751-1000,BAND_RISK_ON,2,2023-02-17,2023,False,True
751-1000,BAND_RISK_ON,3,2023-03-12,2023,False,True
751-1000,BAND_RISK_ON,2,2023-03-16,2023,False,True
751-1000,BAND_RISK_ON,2,2023-03-28,2023,False,True
751-1000,BAND_RISK_ON,2,2023-04-04,2023,False,True
751-1000,BAND_RISK_ON,2,2023-04-09,2023,False,True
751-1000,BAND_RISK_ON,2,2023-04-13,2023,False,True
751-1000,BAND_RISK_ON,2,2023-05-19,2023,False,True
751-1000,BAND_RISK_ON,3,2023-06-15,2023,False,True
751-1000,BAND_RISK_ON,3,2023-06-19,2023,False,True
751-1000,BAND_RISK_ON,2,2023-07-02,2023,False,True
751-1000,BAND_RISK_ON,2,2023-08-19,2023,False,True
751-1000,BAND_RISK_ON,3,2023-09-12,2023,False,True
751-1000,BAND_RISK_ON,4,2023-09-28,2023,False,True
751-1000,BAND_RISK_ON,2,2023-10-13,2023,False,True
751-1000,BAND_RISK_ON,6,2023-10-20,2023,False,True
751-1000,BAND_RISK_ON,3,2023-10-28,2023,False,True
751-1000,BAND_RISK_ON,3,2023-11-04,2023,True,True
751-1000,BAND_RISK_ON,3,2023-11-08,2023,False,True
751-1000,BAND_RISK_ON,2,2023-11-19,2023,False,True
751-1000,BAND_RISK_ON,3,2023-11-22,2023,False,True
751-1000,BAND_RISK_ON,4,2023-11-30,2023,True,True
751-1000,BAND_RISK_ON,4,2023-12-05,2023,True,True
751-1000,BAND_RISK_ON,2,2023-12-13,2023,False,True
751-1000,BAND_RISK_ON,3,2023-12-20,2023,False,True
751-1000,BAND_RISK_ON,2,2024-01-10,2024,False,True
751-1000,BAND_RISK_ON,2,2024-01-26,2024,False,True
751-1000,BAND_RISK_ON,4,2024-02-06,2024,False,True
751-1000,BAND_RISK_ON,2,2024-02-14,2024,False,True
751-1000,BAND_RISK_ON,2,2024-02-18,2024,False,True
751-1000,BAND_RISK_ON,5,2024-02-24,2024,False,True
751-1000,BAND_RISK_ON,4,2024-03-01,2024,False,True
751-1000,BAND_RISK_ON,6,2024-03-06,2024,True,True
751-1000,BAND_RISK_ON,3,2024-03-23,2024,False,True
