scheme,f_pct,n_paths,cagr_p5,cagr_p25,cagr_p50,cagr_p75,cagr_p90,cagr_p95,cagr_p99,max_dd_p5,max_dd_p25,max_dd_p50,max_dd_p75,max_dd_p90,max_dd_p95,max_dd_p99,terminal_p5,terminal_p25,terminal_p50,terminal_p75,terminal_p90,terminal_p95,terminal_p99,min_eq_p5,min_eq_p25,min_eq_p50,min_eq_p75,min_eq_p90,min_eq_p95,min_eq_p99,dur_trades_p5,dur_trades_p25,dur_trades_p50,dur_trades_p75,dur_trades_p90,dur_trades_p95,dur_trades_p99,exp_cagr,exp_max_dd,median_terminal,P_dd_ge_10,P_dd_ge_15,P_dd_ge_20,P_dd_ge_30,P_dd_ge_40,P_dd_ge_50,P_technical_ruin,P_capital_impairment_50
block,0.6,10000,0.6697065807480262,0.8009683118379891,0.9018107996696773,1.010824672357192,1.1116834552890418,1.1701859391326674,1.286172419186597,0.04689279319759985,0.05577076698922724,0.061059902462343926,0.07163302645657671,0.0842086711687865,0.0928771597218058,0.11140577837810585,4.342830470635388,5.394115676320585,6.305216621697291,7.396782612836631,8.509981463892014,9.202926224590753,10.683170580612494,0.958890848997042,0.9853115498761358,0.9955843368630164,1.0027259780103102,1.0078179017316462,1.0108135341720548,1.0163380414025076,28.0,40.0,51.0,66.0,86.0,101.0,135.01000000000022,0.9084812527305025,0.0651668121428717,6.305216621697291,0.0002449438202247191,1.1235955056179776e-07,0.0,0.0,0.0,0.0,0.0,0.0
block,0.75,10000,0.892504188619355,1.0805464891547178,1.226907343327607,1.3875701593784182,1.5380725167372877,1.626573354271552,1.8023200061534204,0.058365500016688686,0.06931511395339948,0.07594405986071504,0.08895830667586213,0.10441553151504764,0.11515976404396254,0.13767243664194953,6.217232616943706,8.155451617032226,9.90887284562244,12.09733092154016,14.412468674917536,15.899346058717455,19.140576548377172,0.948668320451354,0.9816221976195004,0.9944753920938185,1.0034032569761127,1.0097723771645577,1.0134792446460388,1.0204225517531347,28.0,40.0,51.0,67.0,86.0,101.0,136.0,1.2389715194820354,0.08096305273943946,9.90887284562244,0.0014055056179775281,2.101123595505618e-05,0.0,0.0,0.0,0.0,0.0,0.0
block,1.0,10000,1.3268522282536364,1.639611531474602,1.8896517283935463,2.1704012051259056,2.4395194606712582,2.6011361992161675,2.9259638747666337,0.07726646353589035,0.09154172499527197,0.10045654486265473,0.11735314741632016,0.1372557302848461,0.15127542751918144,0.18039140736234693,11.236793966030145,16.126477529940082,20.89939113862174,27.25756322957126,34.422816239454995,39.261909782051255,50.28204170964023,0.9318699259387945,0.9754426481942065,0.9926286838796515,1.004536935793635,1.0130298362194101,1.0177793176251901,1.0272300690041793,29.0,40.0,51.0,67.0,87.10000000000036,103.0,138.0,1.9169942875664485,0.10685717805807217,20.89939113862174,0.007036741573033708,0.0005239325842696629,1.4719101123595506e-05,0.0,0.0,0.0,0.0,0.0
block,1.25,10000,1.8523911145837944,2.3383225242268426,2.7379330264775175,3.1957557979926197,3.6466883637571192,3.921399874346862,4.480324304447659,0.09589414646620036,0.11353898601930995,0.12459190784495244,0.14517847078139018,0.16949811952435434,0.18630232563672738,0.22192763202346802,20.136666376542856,31.600514566937793,43.687257208276336,60.82696827313402,81.48788435684325,96.0617649759638,130.73063424910532,0.9153734667296685,0.9690731705916921,0.9907547497026772,1.0056100036292692,1.0162872952742628,1.022218864649091,1.0340375862552242,29.0,40.0,51.0,68.0,88.0,104.0,139.0,2.792585655424618,0.1322162472501302,43.687257208276336,0.021007640449438203,0.002480674157303371,0.00025179775280898876,0.0,0.0,0.0,0.0,0.0
block,1.5,10000,2.4847214755169507,3.2077535567070186,3.820944472376263,4.535632840113869,5.257161024622332,5.704244123432752,6.624510689603882,0.11425084295982744,0.1352417492684205,0.14823720688510195,0.17241808317522034,0.20074176375836092,0.22014611108525575,0.26184293327127467,35.734646311896874,61.326548893908274,90.55111091666221,134.54572232942988,191.11505896823894,232.89159705710412,336.64800384484363,0.8987930642057937,0.9621362399980582,0.9888700171351695,1.0066336125175062,1.0195447543291152,1.0266626375789092,1.0408451035062691,29.0,41.0,52.0,68.0,89.0,105.0,139.01000000000022,3.921008165404177,0.15704664863451295,90.55111091666221,0.04238831460674157,0.00659438202247191,0.001119438202247191,6.179775280898876e-06,0.0,0.0,0.0,0.0
block,2.0,10000,4.151088072392511,5.628156224493079,6.935887981826831,8.545252005696188,10.236815809783366,11.325118487424707,13.613592734038688,0.15016045637713368,0.17773549896995228,0.19434714658562235,0.22519296453724802,0.2609944898187866,0.28517912202801166,0.3365308785490252,109.47098255559972,225.39994122263084,377.54853232044195,640.7515126226788,1022.4984747214811,1332.5079190540187,2170.460172112995,0.8662676260144891,0.9488053436334364,0.9850841273142179,1.008627981099434,1.0260596724388202,1.0355501834385457,1.054460138008359,29.0,41.0,53.0,69.0,90.0,107.0,142.0,7.235141708558949,0.20514449251248756,377.54853232044195,0.07913955056179775,0.02675438202247191,0.00617561797752809,0.0003133707865168539,2.1348314606741574e-06,0.0,0.0,0.0
block,2.5,10000,6.5272752451730565,9.31069298896265,11.907063963191785,15.26850740316684,18.935916339650177,21.382655295489975,26.660998370537566,0.18501366597074265,0.21884593617346085,0.2388826772054113,0.2753913877074083,0.31796915738629467,0.34550457990628203,0.40535970923743525,324.49519689352644,799.1986284818568,1520.7777927813593,2951.3118112049297,5283.545824572183,7361.12034033669,13500.84358484439,0.8313646052834062,0.9359330815622533,0.9809590149597084,1.0102530218217876,1.0323209570068268,1.0444377292981821,1.0680751725104487,30.0,42.0,54.0,71.0,92.0,109.0,146.0,12.671942406244916,0.25120318159423405,1520.7777927813593,0.1192161797752809,0.054364606741573035,0.019377415730337078,0.0017885393258426966,9.47191011235955e-05,2.247191011235955e-07,0.0,2.247191011235955e-07
block,3.0,10000,9.870678331167863,14.843502731416567,19.732429805884536,26.379817993303604,33.93068190251773,39.133434167081006,50.67404524418335,0.21882883263592998,0.2585903479620093,0.2817788602340402,0.3236140104499347,0.3717413072276511,0.40189045387641836,0.46858499454729696,929.9314501627138,2735.787204428107,5911.036192190182,13111.424085124097,26342.454915675185,39209.28562801506,80876.80399258334,0.7972437666363397,0.9230187228597133,0.9770604730173605,1.0121802308656485,1.038437637069943,1.053133120655328,1.0816902070125383,30.0,43.0,55.0,72.0,94.0,111.0,149.0,21.520163640258165,0.29527337781701535,5911.036192190182,0.16416550561797752,0.08008202247191011,0.039872022471910115,0.005251910112359551,0.0005921348314606742,2.292134831460674e-05,0.0,2.292134831460674e-05
block,4.0,10000,20.81642267471853,35.09839360243087,50.70042967586315,73.77995047936116,102.35598561548161,123.56465869468897,172.52790243905318,0.2834184270921628,0.33443502481137566,0.36258754821908895,0.4129880687477704,0.4705131875834881,0.5044388207794618,0.5797512695987059,6840.164814869095,28944.424333346848,80995.14891359219,233145.55356303474,589178.1657066614,1005652.8356876674,2599417.2455892554,0.7324779751058327,0.8952413557896752,0.9686414216895611,1.015870767095009,1.051206952925729,1.0698558947958474,1.1089202760167178,31.0,44.0,56.0,75.0,97.0,115.0,155.0,58.695776450927184,0.3776937725988069,80995.14891359219,0.24453101123595505,0.1346611235955056,0.08020471910112359,0.02290191011235955,0.004311348314606741,0.0006597752808988765,0.0,0.0006597752808988765
block,5.0,10000,40.754857209934386,77.31344665302831,121.74411387560346,193.6656748067593,290.17665921510405,367.7861695941613,555.3880320236306,0.34407580495981405,0.4059246833485055,0.43709521965451037,0.4942550243359639,0.5568352311364033,0.594061684636379,0.6704392842212507,43919.94996102022,266112.6652156759,964120.7089603109,3613071.234887193,11449839.105280833,22529846.055816345,73178416.94714344,0.6708042732361786,0.8658140937638215,0.9587221280596253,1.0180895592084096,1.0634292544706516,1.0870404434342043,1.1361503450208972,32.0,45.0,58.0,77.0,101.0,120.0,161.0,152.4760524822327,0.45284369467423513,964120.7089603109,0.3134131460674157,0.19823157303370786,0.12047775280898876,0.053492134831460675,0.014100786516853932,0.0033591011235955055,0.0,0.0033591011235955055
