alloc_id,heat_id,edge,scheme,f_from,f_to,d_median_cagr,d_p95_dd,d_p99_dd,d_P_dd_ge_10,d_P_dd_ge_20,d_median_dur,inc_ret_per_p95_dd,inc_ret_per_p95_dd_flag,inc_ret_per_p99_dd,inc_ret_per_p99_dd_flag
A0_50_50,H0,0.5,episode,0.25,0.5,0.006266345821451691,0.058773824700678046,0.07239777054101589,0.1303,0.0003,3.0,0.10661796902557881,OK,0.08655440318982731,OK
A0_50_50,H0,0.5,episode,0.5,0.75,0.005889211154810892,0.05553667238949371,0.0673283164852767,0.2962,0.0203,3.0,0.1060418440901223,OK,0.08747004918946308,OK
A0_50_50,H0,0.5,episode,0.75,1.0,0.005559890085870656,0.052573370639774186,0.06275087426587789,0.27259999999999995,0.0889,3.0,0.10575487206187122,OK,0.08860259161192219,OK
A0_50_50,H0,0.5,episode,1.0,1.5,0.010061858298148652,0.09671766275508942,0.11242301232398133,0.25680000000000003,0.2821,7.0,0.10403330696304676,OK,0.08949998839341118,OK
A0_50_50,H0,0.5,episode,1.5,2.0,0.008597777098018344,0.0872184997197405,0.09661241841808371,0.03849999999999998,0.27699999999999997,6.0,0.0985774477392481,OK,0.08899246327539431,OK
A0_50_50,H0,0.5,episode,2.0,3.0,0.0125119052338033,0.14621596122691677,0.15377298862580535,0.0046000000000000485,0.2785000000000001,12.0,0.08557140498762453,OK,0.08136607960615275,OK
A0_50_50,H0,0.5,iid,0.25,0.5,0.00727326356932867,0.05539883011267326,0.0669397151494658,0.086,0.0005,4.5,0.13128911846217503,OK,0.1086539366516368,OK
A0_50_50,H0,0.5,iid,0.5,0.75,0.006955685193522632,0.053008434866832196,0.06316804760097341,0.26449999999999996,0.011,3.5,0.13121846006200155,OK,0.1101139810028804,OK
A0_50_50,H0,0.5,iid,0.75,1.0,0.006641476480849118,0.05039773713369952,0.059450615219533015,0.28350000000000003,0.059,3.0,0.13178124373382138,OK,0.11171417581339012,OK
A0_50_50,H0,0.5,iid,1.0,1.5,0.012202363111201375,0.09331417167351189,0.108200888018668,0.28900000000000003,0.2445,6.5,0.1307664515728122,OK,0.11277507361211388,OK
A0_50_50,H0,0.5,iid,1.5,2.0,0.010740264147758527,0.0850807745556652,0.09386491511312933,0.06999999999999995,0.284,4.5,0.12623608804515019,OK,0.11442256283739222,OK
A0_50_50,H0,0.5,iid,2.0,3.0,0.01701874629039879,0.1425073148423971,0.15119509622751104,0.006000000000000005,0.30900000000000005,12.5,0.11942366824622516,OK,0.11256149647069114,OK
