alloc_id,heat_id,f_pct,edge,scheme,p95_dd_ci_lo,p95_dd_ci_hi,p99_dd_ci_lo,p99_dd_ci_hi,median_cagr_ci_lo,median_cagr_ci_hi
A2_100_0_A,H1-1.00-REJ,0.5,0.25,block,0.268284004556672,0.2713440851255625,0.29707046330605996,0.30771647515438166,-0.06668642886811856,-0.06571531780118767
A2_100_0_A,H1-1.00-REJ,0.75,1.0,block,0.06574918000258895,0.0666622251207039,0.0763082213130891,0.07840574449895983,0.49827268582305273,0.5027259954990475
A2_100_0_A,H1-1.00-REJ,0.75,0.75,block,0.08134425729148607,0.08326355460900782,0.09983096222421607,0.10399193361432424,0.2653994881721275,0.2684102063780542
A2_100_0_A,H1-1.00-REJ,0.75,0.5,block,0.13572917417052954,0.138983771206208,0.16774726094251577,0.17780287006189616,0.06832093322629859,0.07036541348130858
A2_100_0_A,H1-1.00-REJ,0.75,0.25,block,0.3753064710412321,0.37938536820434393,0.4119925274216296,0.4252147317400726,-0.09892088829896822,-0.0974968790465336
A2_100_0_A,H1-1.00-REJ,1.0,1.0,block,0.0869692745875222,0.08822729407872161,0.10089741990483853,0.1037796003884297,0.709578275510255,0.7163854586270644
A2_100_0_A,H1-1.00-REJ,1.0,0.75,block,0.10760414737047622,0.10999903214375183,0.13182590320991888,0.13761401945954452,0.36611515583000287,0.3704504248536695
A2_100_0_A,H1-1.00-REJ,1.0,0.5,block,0.1780981066898766,0.18217714113367325,0.21849240703322104,0.23179897486850687,0.09080589824416187,0.09352954046944473
A2_100_0_A,H1-1.00-REJ,1.0,0.25,block,0.4676429913466926,0.4721963609806799,0.5088341453586377,0.5236151999556637,-0.1303979044651164,-0.12856508817115095
A2_100_0_A,H1-1.00-REJ,1.5,1.0,block,0.1288065744598224,0.1303894541765632,0.148836307584748,0.15309409052986125,1.2166930651736836,1.2299373350626797
A2_100_0_A,H1-1.00-REJ,1.5,0.75,block,0.1587847342405714,0.16218737699095517,0.19296050585913738,0.2016133945071426,0.587977814127993,0.5955778621928626
A2_100_0_A,H1-1.00-REJ,1.5,0.5,block,0.2586590387029385,0.2637988136292647,0.3137808139747865,0.3300372799786765,0.13491630391343412,0.13921305120214514
A2_100_0_A,H1-1.00-REJ,1.5,0.25,block,0.6149529197877278,0.6198315069261869,0.6588369687397563,0.6739854394784123,-0.19112219544077413,-0.18854153081890837
A2_100_0_A,H1-1.00-REJ,2.0,1.0,block,0.1694818059299883,0.17184649681758823,0.19536685318882654,0.20145216181777978,1.8588795068144084,1.881202580552302
A2_100_0_A,H1-1.00-REJ,2.0,0.75,block,0.20808598116540386,0.2123820338677652,0.2516031827873333,0.26147180591147934,0.8391409560912207,0.8504932587154955
A2_100_0_A,H1-1.00-REJ,2.0,0.5,block,0.33346301292540065,0.34028476645617456,0.39999360958189517,0.41794779531066756,0.17780982013341914,0.1839893730027268
A2_100_0_A,H1-1.00-REJ,2.0,0.25,block,0.7230098405158021,0.7277370498197759,0.7646945720626707,0.7781356373628477,-0.24892072156405293,-0.24571415347734016
A2_100_0_A,H1-1.00-REJ,3.0,1.0,block,0.24720704357032577,0.25144757869374057,0.28388241872128667,0.29202332753650584,3.677248300771729,3.734376985325658
A2_100_0_A,H1-1.00-REJ,3.0,0.75,block,0.3012051374568507,0.30653353499037805,0.3592138361178128,0.374596985569319,1.4384380356128257,1.4612411527053304
A2_100_0_A,H1-1.00-REJ,3.0,0.5,block,0.4670885017039667,0.476832499201236,0.5490363325292071,0.5671117544019751,0.2587985047097205,0.2688881190309926
A2_100_0_A,H1-1.00-REJ,3.0,0.25,block,0.8593396947212939,0.8630424089611378,0.8901171975587239,0.8995239046475223,-0.3560911948716198,-0.3517043164368423
A0_50_50,H0,0.25,1.0,episode,0.021063108176446157,0.02162275741559769,0.025599458369460024,0.026976539122991867,0.14426654027645233,0.14532788191199936
