atom_a,atom_b,n_both,p_A_before_B,p_B_before_A,p_same_window,preferred,preferred_p,n_subperiods,stable_direction_count,edge_class
PROPAGATION_CONFIRMS,TAIL_UP_ACTIVATES,826,0.009685230024213076,0.3704600484261501,0.6198547215496368,B,0.3704600484261501,5,0,NO_ORDER
PROPAGATION_CONFIRMS,TAIL_DOWN_ACTIVATES,826,0.06779661016949153,0.3619854721549637,0.5702179176755447,B,0.3619854721549637,5,0,NO_ORDER
TAIL_DOWN_ACTIVATES,TAIL_UP_ACTIVATES,2155,0.010672853828306265,0.10626450116009281,0.8830626450116009,B,0.10626450116009281,5,0,NO_ORDER
BREADTH_EXPANDS,RANK_RECRUITS,1903,0.3583815028901734,0.32947976878612717,0.31213872832369943,A,0.3583815028901734,5,0,EXCHANGEABLE
CONCENTRATION_RELEASES,RANK_RECRUITS,1586,0.32471626733921816,0.30390920554854983,0.371374527112232,A,0.32471626733921816,5,0,EXCHANGEABLE
DISPERSION_EXPANDS,RANK_RECRUITS,1906,0.3483735571878279,0.33263378803777544,0.31899265477439664,A,0.3483735571878279,5,0,EXCHANGEABLE
RANK_RECRUITS,TAIL_UP_ACTIVATES,1914,0.015151515151515152,0.47126436781609193,0.5135841170323929,B,0.47126436781609193,5,0,NO_ORDER
RANK_RECRUITS,TAIL_DOWN_ACTIVATES,1914,0.06583072100313479,0.4498432601880878,0.4843260188087774,B,0.4498432601880878,5,0,NO_ORDER
RANK_DECAYS,RANK_RECRUITS,1739,0.5008625646923519,0.4991374353076481,0.0,A,0.5008625646923519,5,0,EXCHANGEABLE
RANK_RECRUITS,VOL_CONTRACTS,1834,0.2998909487459106,0.3495092693565976,0.3505997818974918,B,0.3495092693565976,5,0,EXCHANGEABLE
RANK_RECRUITS,STABLECOIN_ACTIVITY_UP,1598,0.14518147684605756,0.41364205256570713,0.4411764705882353,B,0.41364205256570713,5,0,NO_ORDER
RANK_RECRUITS,TVL_VELOCITY_UP,1628,0.2714987714987715,0.371007371007371,0.3574938574938575,B,0.371007371007371,5,0,EXCHANGEABLE
PROPAGATION_CONFIRMS,RANK_RECRUITS,744,0.3481182795698925,0.2567204301075269,0.3951612903225806,A,0.3481182795698925,5,0,EXCHANGEABLE
BREADTH_CONTRACTS,RANK_RECRUITS,1904,0.3629201680672269,0.296218487394958,0.34086134453781514,A,0.3629201680672269,5,0,EXCHANGEABLE
RANK_RECRUITS,VOL_EXPANDS,1861,0.3444384739387426,0.3412144008597528,0.31434712520150454,A,0.3444384739387426,5,0,EXCHANGEABLE
DISPERSION_CONTRACTS,RANK_RECRUITS,1903,0.34366789280084076,0.3173935890698896,0.33893851812926956,A,0.34366789280084076,5,0,EXCHANGEABLE
CONCENTRATION_REBUILDS,TAIL_UP_ACTIVATES,1755,0.016524216524216526,0.36923076923076925,0.6142450142450142,B,0.36923076923076925,5,0,NO_ORDER
CONCENTRATION_REBUILDS,TAIL_DOWN_ACTIVATES,1755,0.07749287749287749,0.358974358974359,0.5635327635327635,B,0.358974358974359,5,0,NO_ORDER
CONCENTRATION_REBUILDS,RANK_RECRUITS,1585,0.3350157728706625,0.30977917981072556,0.35520504731861197,A,0.3350157728706625,5,0,EXCHANGEABLE
STATE_EXIT,TAIL_UP_ACTIVATES,1104,0.009057971014492754,0.6983695652173914,0.29257246376811596,B,0.6983695652173914,5,-5,REQUIRED_ORDER
STATE_EXIT,TAIL_DOWN_ACTIVATES,1104,0.04528985507246377,0.6838768115942029,0.2708333333333333,B,0.6838768115942029,5,-5,REQUIRED_ORDER
RANK_RECRUITS,STATE_EXIT,1012,0.5187747035573123,0.25889328063241107,0.22233201581027667,A,0.5187747035573123,5,1,EXCHANGEABLE
BREADTH_CONTRACTS,STATE_REENTRY,982,0.3380855397148676,0.37474541751527496,0.28716904276985744,B,0.37474541751527496,5,0,EXCHANGEABLE
CONCENTRATION_RELEASES,STATE_REENTRY,710,0.3056338028169014,0.4563380281690141,0.2380281690140845,B,0.4563380281690141,5,-1,EXCHANGEABLE
DISPERSION_EXPANDS,STATE_REENTRY,979,0.31971399387129723,0.3289070480081716,0.35137895812053116,B,0.3289070480081716,5,0,EXCHANGEABLE
STATE_REENTRY,TAIL_UP_ACTIVATES,989,0.0020222446916076846,0.42264914054600605,0.5753286147623863,B,0.42264914054600605,5,0,NO_ORDER
STATE_REENTRY,TAIL_DOWN_ACTIVATES,989,0.05864509605662285,0.4115267947421638,0.5298281092012134,B,0.4115267947421638,5,0,NO_ORDER
RANK_RECRUITS,STATE_REENTRY,892,0.3015695067264574,0.34977578475336324,0.3486547085201794,B,0.34977578475336324,5,0,EXCHANGEABLE
STATE_REENTRY,VOL_CONTRACTS,936,0.30128205128205127,0.358974358974359,0.33974358974358976,B,0.358974358974359,5,0,EXCHANGEABLE
STABLECOIN_ACTIVITY_UP,STATE_REENTRY,867,0.3806228373702422,0.16493656286043828,0.4544405997693195,A,0.3806228373702422,5,0,NO_ORDER
STATE_REENTRY,TVL_VELOCITY_UP,871,0.2847301951779564,0.27898966704936856,0.4362801377726751,A,0.2847301951779564,5,0,EXCHANGEABLE
DISPERSION_CONTRACTS,STATE_REENTRY,983,0.3051881993896236,0.3713123092573754,0.323499491353001,B,0.3713123092573754,5,0,EXCHANGEABLE
RANK_DECAYS,STATE_REENTRY,912,0.2982456140350877,0.3475877192982456,0.3541666666666667,B,0.3475877192982456,5,0,EXCHANGEABLE
BREADTH_EXPANDS,STATE_REENTRY,986,0.332657200811359,0.2839756592292089,0.38336713995943206,A,0.332657200811359,5,0,EXCHANGEABLE
STATE_REENTRY,VOL_EXPANDS,957,0.3375130616509927,0.3187042842215256,0.3437826541274817,A,0.3375130616509927,5,0,EXCHANGEABLE
CONCENTRATION_REBUILDS,STATE_REENTRY,912,0.3508771929824561,0.15679824561403508,0.4923245614035088,A,0.3508771929824561,5,0,NO_ORDER
STATE_EXIT,STATE_REENTRY,640,0.259375,0.5,0.240625,B,0.5,5,-1,EXCHANGEABLE
PROPAGATION_CONFIRMS,STATE_REENTRY,206,0.41262135922330095,0.587378640776699,0.0,B,0.587378640776699,5,-2,PREFERRED_ORDER
