entry_z,age_min,z_lo,z_hi,model,n,p_eventual_convergence,p_timeout,p_stop,e_remaining_pnl,median_remaining_pnl,remaining_mfe,future_mae,capital_hours_remaining
3.0,60,2.5,3.0,TB-C-2.5%,33,33.33333333333333,66.66666666666666,0.0,22.24511130796469,20.415595052788856,25.959892465645407,-8.634347310996885,2.9065656565656566
3.0,60,2.5,3.0,TB-C-5%,33,33.33333333333333,66.66666666666666,0.0,21.60905037041949,19.740865083448494,25.310029258104798,-8.619254671959672,2.9065656565656566
3.0,60,2.5,3.0,TB-C-10%,33,33.33333333333333,66.66666666666666,0.0,20.237551407713728,19.679457110579925,23.965731472510125,-8.630732391225061,2.9065656565656566
3.0,60,3.0,3.5,TB-B,18,55.55555555555556,44.44444444444444,0.0,39.06065256637585,34.41387724244056,41.45874700537998,-3.7885835660858707,3.1759259259259256
3.0,60,3.0,3.5,TB-C-2.5%,18,55.55555555555556,44.44444444444444,0.0,38.068410627029564,33.72196864395313,40.5380703508351,-3.8663952537701087,3.1759259259259256
3.0,60,3.0,3.5,TB-C-5%,18,55.55555555555556,44.44444444444444,0.0,37.084646930888766,32.50242927117724,39.62548974853446,-3.9435518054012513,3.1759259259259256
3.0,60,3.0,3.5,TB-C-10%,18,55.55555555555556,44.44444444444444,0.0,35.10256939782764,31.193838283208894,37.78720555707568,-4.130082498333732,3.1759259259259256
3.0,90,2.5,3.0,TB-B,25,48.0,52.0,0.0,37.981550436243886,25.491054201086936,39.419700126186186,-4.712511556864772,2.5366666666666666
3.0,90,2.5,3.0,TB-C-2.5%,25,48.0,52.0,0.0,37.22129492279721,25.011522566194994,38.66404323820477,-4.690850641591033,2.5366666666666666
3.0,90,2.5,3.0,TB-C-5%,25,48.0,52.0,0.0,36.4443072083478,24.517080937478053,37.890543691263254,-4.703396486015998,2.5366666666666666
3.0,90,2.5,3.0,TB-C-10%,25,48.0,52.0,0.0,34.88724275414234,23.528197680044183,36.380581910396124,-4.7081483967921285,2.5366666666666666
3.0,120,2.5,3.0,TB-B,11,27.27272727272727,72.72727272727273,0.0,41.530119208442756,39.781943715071584,49.913065683638,-13.626958237876382,3.4015151515151514
3.0,120,2.5,3.0,TB-C-2.5%,11,27.27272727272727,72.72727272727273,0.0,40.258040150699294,38.51056757939141,48.852437394396816,-13.600536337065863,3.4015151515151514
3.0,120,2.5,3.0,TB-C-5%,11,27.27272727272727,72.72727272727273,0.0,38.92723410533625,37.24497376502148,47.734213703722205,-13.568261923695456,3.4015151515151514
3.0,120,2.5,3.0,TB-C-10%,11,27.27272727272727,72.72727272727273,0.0,36.15099599555884,34.7137861362816,45.42911520083569,-13.608763931802782,3.4015151515151514
