entry_z,model,result,best_pnl,final_pnl,giveback,capture_ratio,conv_min,speed,prev_profitable_loser
2.5,TB-C-5%,TP_HIT,27.553913846766573,27.44806417434098,0.10584967242559173,0.9961584523703513,135.0,early,False
2.5,TB-C-10%,TP_HIT,26.561525044416786,26.46607000837216,0.09545503604462624,0.9964062667378848,135.0,early,False
2.5,TB-B,TP_HIT,22.1033263823082,22.092973857771806,0.010352524536394014,0.9995316304723854,45.0,early,False
2.5,TB-C-2.5%,TP_HIT,22.10916341839386,22.099650409216796,0.00951300917706277,0.9995697255026326,45.0,early,False
2.5,TB-C-5%,TP_HIT,22.139274439625414,22.13058614298915,0.008688296636265136,0.9996075618168988,45.0,early,False
2.5,TB-C-10%,TP_HIT,22.199496482088517,22.192457610533832,0.0070388715546840785,0.9996829265222136,45.0,early,False
2.5,TB-B,TP_HIT,45.49706762705817,45.66079807170479,-0.16373044464661746,1.0035987032392664,255.0,slow,False
2.5,TB-C-2.5%,TP_HIT,43.180868772175955,43.339917753563014,-0.15904898138705903,1.0036833205516593,255.0,slow,False
2.5,TB-C-5%,TP_HIT,40.756701472618374,40.91086621801827,-0.15416474539989622,1.0037825618813503,255.0,slow,False
2.5,TB-C-10%,TP_HIT,35.908366873503226,36.05276314692878,-0.1443962734255564,1.0040212431251532,255.0,slow,False
2.5,TB-B,TP_HIT,41.30467585972569,41.369309706116,-0.06463384639030778,1.001564807011434,200.0,slow,False
2.5,TB-C-2.5%,TP_HIT,40.32704981319026,40.38992563453577,-0.06287582134551428,1.0015591475606764,200.0,slow,False
2.5,TB-C-5%,TP_HIT,39.2879280268007,39.348969712370874,-0.06104168557017431,1.00155370080928,200.0,slow,False
2.5,TB-C-10%,TP_HIT,37.20968445402161,37.26705786804111,-0.05737341401949436,1.0015418946669754,200.0,slow,False
2.5,TB-B,TP_HIT,30.937099874203053,30.98919119109763,-0.05209131689457536,1.0016837815149575,95.0,early,False
2.5,TB-C-2.5%,TP_HIT,30.488738656210902,30.539209749637056,-0.05047109342615386,1.0016554011628773,95.0,early,False
2.5,TB-C-5%,TP_HIT,29.958981157450186,30.007743547238984,-0.048762389788798544,1.0016276384544764,95.0,early,False
2.5,TB-C-10%,TP_HIT,28.899466159928682,28.944811142442784,-0.04534498251410213,1.001569059520448,95.0,early,False
2.5,TB-B,TIMEOUT,4.486855140982355,-0.16053786270909498,4.64739300369145,-0.03577959565548772,340.0,slow,True
2.5,TB-C-2.5%,TIMEOUT,2.805325326389852,-1.6852401233736742,4.490565449763526,-0.600728944882266,340.0,slow,True
2.5,TB-C-5%,TIMEOUT,1.2059784705920258,-3.208346795915233,4.414325266507259,-2.660368218961841,340.0,slow,True
2.5,TB-C-10%,TIMEOUT,0.299157081915423,-6.254560140998336,6.553717222913759,-20.907277544466123,340.0,slow,True
2.5,TB-B,TP_HIT,33.384739593412746,33.426243550072144,-0.041503956659397545,1.0012432014496704,205.0,slow,False
2.5,TB-C-2.5%,TP_HIT,33.70303432317614,33.74142831552126,-0.038393992345120864,1.0011391850352986,205.0,slow,False
2.5,TB-C-5%,TP_HIT,33.95584232429475,33.99102014007006,-0.03517781577531309,1.0010359871340946,205.0,slow,False
2.5,TB-C-10%,TP_HIT,34.4614583265319,34.49020378916755,-0.028745462635654917,1.0008341336679163,205.0,slow,False
2.5,TB-B,TP_HIT,33.25143159314598,33.204720941476296,0.046710651669684466,0.9985952288538664,130.0,early,False
2.5,TB-C-2.5%,TP_HIT,32.119652319344794,32.074278524253515,0.04537379509127959,0.9985873509887293,130.0,early,False
2.5,TB-C-5%,TP_HIT,31.031424580050153,30.987339406360814,0.044085173689339285,0.9985793377427576,130.0,early,False
2.5,TB-C-10%,TP_HIT,28.8549691014609,28.813461170575426,0.04150793088547289,0.9985614979957345,130.0,early,False
2.5,TB-B,TIMEOUT,5.183628072719637,5.0197438990569765,0.16388417366266061,0.9683842722966277,140.0,early,False
2.5,TB-C-2.5%,TIMEOUT,3.075297470465001,2.9224665229086106,0.15283094755639048,0.9503036863834569,140.0,early,False
2.5,TB-C-5%,TIMEOUT,1.3192959281863086,1.175917309713597,0.1433786184727115,0.891321866906828,140.0,early,False
2.5,TB-C-10%,TIMEOUT,-2.1927071563708793,-2.317181116676201,0.12447396030532154,,140.0,early,False
2.5,TB-B,TP_HIT,38.062231750292355,37.979580480809815,0.08265126948253965,0.9978285227722647,65.0,early,False
2.5,TB-C-2.5%,TP_HIT,39.89238242438691,39.80640484139791,0.0859775829890026,0.9978447618877623,65.0,early,False
2.5,TB-C-5%,TP_HIT,41.76270771979624,41.67337650051192,0.08933121928431831,0.9978609811441423,65.0,early,False
2.5,TB-C-10%,TP_HIT,45.50335831061486,45.40731981873988,0.09603849187497815,0.9978894196947091,65.0,early,False
2.5,TB-B,TP_HIT,18.710933154272094,18.624789381041435,0.0861437732306598,0.9953960728457313,135.0,early,False
2.5,TB-C-2.5%,TP_HIT,18.71018058443112,18.62540517921784,0.08477540521328208,0.9954690226088024,135.0,early,False
2.5,TB-C-5%,TP_HIT,18.831672822590225,18.748043521085272,0.08362930150495274,0.9955591145676325,135.0,early,False
2.5,TB-C-10%,TP_HIT,19.074657298908374,18.99332020482015,0.08133709408822298,0.9957358555483522,135.0,early,False
2.5,TB-B,TIMEOUT,-1.643559204062539,-1.6439664792349475,0.0004072751724084611,,65.0,early,False
2.5,TB-C-2.5%,TIMEOUT,-1.885544360940532,-1.885936416767061,0.00039205582652890314,,65.0,early,False
2.5,TB-C-5%,TIMEOUT,-2.1253649902826055,-2.125742912803629,0.0003779225210234216,,65.0,early,False
