policy_id,kind,cap_mult,treatment,w_A_pct,w_B_pct,partition_type,partition,N,N_rejected,reject_rate,mean_admitted_f,within_partition_max_dd,worst_episode_R,partition_net_R
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,year,2023,150,1,0.006666666666666667,0.5,1.0085607855589738,-2.749008184280776,17.304569696092226
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,year,2024,311,4,0.012861736334405145,0.5,523.3670987060415,-3.0685232166139733,63.626591230540896
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,year,2025,311,5,0.01607717041800643,0.5,7.400588834534234,-1.8936078132111276,60.7548533103385
H4-3.00-REJ,H4,3.0,REJECT,50.0,50.0,year,2026,118,0,0.0,0.5,6.293751875035538,-1.967268405161442,13.470055517086498
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,51,0.18214285714285713,0.5,3.6510688786817473,-1.967268405161442,33.41111616014037
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,split,inner_sel,461,87,0.18872017353579176,0.5,1.0033656829073883,-2.523088290993595,64.54669780302797
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,split,inner_val,149,42,0.28187919463087246,0.5,303.24480268572717,-1.468947760058391,25.59690420707971
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,year,2023,150,25,0.16666666666666666,0.5,1.0033656829073883,-2.523088290993595,13.325181457707721
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,year,2024,311,62,0.19935691318327975,0.5,201.5980670766982,-1.8485291535685522,51.22151634532025
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,year,2025,311,72,0.2315112540192926,0.5,303.24480268572717,-1.468947760058391,49.45824598465303
H4-1.00-SCA,H4,1.0,SCALE,50.0,50.0,year,2026,118,21,0.17796610169491525,0.5,3.6510688786817482,-1.967268405161442,9.549774382567046
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,split,RELATIONSHIP_CONFIRMED_OOS,280,20,0.07142857142857142,0.5,2.1305906734112043,-1.967268405161442,42.82455249157104
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,split,inner_sel,461,41,0.08893709327548807,0.5,1.0047247506461041,-3.0685232166139733,69.39205275567446
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,split,inner_val,149,23,0.15436241610738255,0.5,350.63302616201014,-1.8936078132111276,25.962214416185322
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,year,2023,150,12,0.08,0.5,1.0047247506461041,-2.749008184280776,15.072206068836717
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,year,2024,311,29,0.0932475884244373,0.5,656.5363568475072,-3.0685232166139733,54.31984668683774
H4-1.50-SCA,H4,1.5,SCALE,50.0,50.0,year,2025,311,31,0.09967845659163987,0.5,350.63302616201014,-1.8936078132111276,57.56164913369595
