regime,policy_id,f_pct,return,risk,status
historical_50,H5-2.00-SCA,1.5,1.2321615194078865,0.07693624801504641,NON_DOMINATED
historical_50,H0,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H1-1.00-REJ,2.0,1.8813564198706323,0.10169539210315703,DOMINATED
historical_50,H1-1.50-REJ,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H1-2.00-REJ,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H1-3.00-REJ,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H1-1.00-SCA,2.0,1.8813564198706323,0.10169539210315703,DOMINATED
historical_50,H1-1.50-SCA,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H1-2.00-SCA,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H2-1.00-REJ,2.0,1.8794895449841524,0.10169539210316005,DOMINATED
historical_50,H2-1.50-REJ,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H2-2.00-REJ,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H2-1.00-SCA,2.0,1.8794895449841524,0.10169539210316005,DOMINATED
historical_50,H2-1.50-SCA,2.0,1.9031117903356587,0.10169539210315688,NON_DOMINATED
historical_50,H3-0.50-REJ,2.0,1.6293590451797098,0.10140689412024083,DOMINATED
historical_50,H3-0.75-REJ,2.0,1.6293590451797098,0.10140689412024083,DOMINATED
historical_50,H3-1.00-REJ,2.0,1.8866296259839146,0.10169539210315806,DOMINATED
historical_50,H3-0.50-SCA,2.0,1.6293590451797098,0.10140689412024083,DOMINATED
historical_50,H3-0.75-SCA,2.0,1.756001343810739,0.10140689412024173,NON_DOMINATED
historical_50,H4-1.00-REJ,2.0,1.3337662299075972,0.10676964944088999,DOMINATED
historical_50,H4-1.50-REJ,2.0,1.5790399748698216,0.10216209426559833,DOMINATED
historical_50,H4-2.00-REJ,2.0,1.719146782665843,0.1014068941202413,DOMINATED
historical_50,H4-3.00-REJ,2.0,1.898062836851401,0.10169539210315785,DOMINATED
historical_50,H4-1.00-SCA,2.0,1.3337662299075972,0.10676964944088999,DOMINATED
historical_50,H4-1.50-SCA,2.0,1.5790399748698216,0.10216209426559833,DOMINATED
historical_50,H5-1.50-REJ,2.0,1.8794895449841524,0.10169539210316005,DOMINATED
