Sunday_Date,Asian_Open,Asian_High,Asian_Low,Asian_Close,Asian_Range,Asian_Direction,Next_Monday_Direction,Correlation
2025-03-02,2226.84,2233.44,2188.5,2220.37,44.940000000000055,Bearish,Bearish,True
2025-03-09,2213.77,2215.45,2169.43,2177.29,46.01999999999998,Bearish,Bullish,False
2025-03-16,1941.49,1955.5,1913.88,1929.66,41.61999999999989,Bearish,Bullish,False
2025-03-23,1990.9,2006.33,1972.66,1997.37,33.669999999999845,Bullish,Bullish,True
2025-03-30,1815.19,1844.39,1809.16,1835.69,35.23000000000002,Bullish,Bearish,False
2025-04-06,1788.13,1814.86,1782.17,1808.94,32.68999999999983,Bullish,Bearish,False
2025-04-13,1646.9,1654.06,1595.22,1607.06,58.83999999999992,Bearish,Bullish,False
2025-04-20,1611.73,1620.13,1605.81,1607.67,14.320000000000164,Bearish,Bearish,True
2025-04-27,1803.53,1855.24,1787.38,1796.23,67.8599999999999,Bearish,Bullish,False
2025-05-04,1836.53,1847.75,1823.88,1843.49,23.86999999999989,Bullish,Bearish,False
2025-05-11,2488.33,2605.47,2488.33,2552.17,117.13999999999987,Bullish,Bullish,True
2025-05-18,2486.55,2512.41,2450.45,2509.84,61.960000000000036,Bullish,Bullish,True
2025-05-25,2549.65,2550.22,2473.0,2510.22,77.2199999999998,Bearish,Bearish,True
2025-06-01,2539.45,2548.48,2487.02,2515.95,61.460000000000036,Bearish,Bearish,True
2025-06-08,2519.25,2541.98,2505.75,2508.98,36.23000000000002,Bearish,Bullish,False
2025-06-15,2506.56,2550.34,2503.42,2548.53,46.92000000000007,Bullish,Bullish,True
2025-06-22,2401.04,2403.25,2213.85,2286.17,189.4000000000001,Bearish,Bullish,False
2025-06-29,2427.06,2440.17,2421.65,2431.06,18.519999999999982,Bullish,Bearish,False
2025-07-06,2503.7,2519.64,2503.23,2508.3,16.409999999999854,Bullish,Bearish,False
2025-07-13,2914.08,2960.49,2912.04,2947.76,48.44999999999982,Bullish,Bullish,True
2025-07-20,3561.59,3693.02,3536.72,3644.96,156.30000000000018,Bullish,Bullish,True
2025-07-27,3742.15,3808.77,3727.68,3788.33,81.09000000000015,Bullish,Bearish,False
