relationship,state,state_days,kind,uncond_best_lag,uncond_corr,uncond_p,cond_corr,cond_p,corr_delta,n,classification,workstream,fdr_q
VEL 101-200->201-300,BREADTH_CONTRACTING,1481,BAND,7,-0.0727,0.0448,-0.1008,0.0448,-0.0281,1406,SAME_SIGN,D,0.093
VEL 101-200->201-300,CONC_RISING,1112,BAND,7,-0.0727,0.0448,-0.007,0.6368,0.0657,1053,LOST,D,0.7005
VEL 101-200->201-300,CONC_FALLING,1077,BAND,7,-0.0727,0.0448,-0.0097,0.801,0.063,1036,LOST,D,0.8312
VEL 101-200->201-300,SC_INFLOW,1550,BAND,7,-0.0727,0.0448,-0.0746,0.0199,-0.002,1468,SAME_SIGN,D,0.0521
VEL 101-200->201-300,SC_OUTFLOW,646,BAND,7,-0.0727,0.0448,0.0483,0.3582,0.121,620,REVERSED,D,0.4636
VEL 101-200->201-300,CHAIN_EXPANDING,1203,BAND,7,-0.0727,0.0448,0.0329,0.2886,0.1056,1141,REVERSED,D,0.407
VEL 101-200->201-300,CHAIN_CONTRACTING,993,BAND,7,-0.0727,0.0448,-0.0002,0.9701,0.0724,944,LOST,D,0.9701
VEL 101-200->201-300,RISK_ON,1197,BAND,7,-0.0727,0.0448,-0.0925,0.0249,-0.0198,1142,SAME_SIGN,D,0.0637
VEL 101-200->201-300,RISK_OFF,969,BAND,7,-0.0727,0.0448,-0.0434,0.2537,0.0293,924,LOST,D,0.3672
VEL 201-300->301-500,BTC_UP,1127,BAND,7,-0.4027,0.005,-0.3116,0.005,0.0911,1074,SAME_SIGN,D,0.0239
VEL 201-300->301-500,BTC_DOWN,962,BAND,7,-0.4027,0.005,-0.1885,0.005,0.2142,924,GAINED,D,0.0239
VEL 201-300->301-500,ETH_STRONG,947,BAND,7,-0.4027,0.005,-0.2775,0.005,0.1252,919,SAME_SIGN,D,0.0239
VEL 201-300->301-500,ETH_WEAK,1142,BAND,7,-0.4027,0.005,-0.3091,0.005,0.0936,1079,SAME_SIGN,D,0.0239
VEL 201-300->301-500,VOL_HIGH,656,BAND,7,-0.4027,0.005,-0.1184,0.0647,0.2842,618,LOST,D,0.1227
VEL 201-300->301-500,VOL_LOW,864,BAND,7,-0.4027,0.005,-0.1778,0.01,0.2248,838,GAINED,D,0.0324
VEL 201-300->301-500,BREADTH_EXPANDING,715,BAND,7,-0.4027,0.005,-0.3207,0.005,0.082,682,SAME_SIGN,D,0.0239
VEL 201-300->301-500,BREADTH_CONTRACTING,1481,BAND,7,-0.4027,0.005,-0.3881,0.005,0.0146,1406,SAME_SIGN,D,0.0239
VEL 201-300->301-500,CONC_RISING,1112,BAND,7,-0.4027,0.005,0.1739,0.0896,0.5765,1053,REVERSED,D,0.1671
VEL 201-300->301-500,CONC_FALLING,1077,BAND,7,-0.4027,0.005,0.2393,0.01,0.6419,1036,REVERSED,D,0.0324
VEL 201-300->301-500,SC_INFLOW,1550,BAND,7,-0.4027,0.005,-0.4003,0.005,0.0024,1468,SAME_SIGN,D,0.0239
VEL 201-300->301-500,SC_OUTFLOW,646,BAND,7,-0.4027,0.005,0.0456,0.3532,0.4483,620,REVERSED,D,0.4625
VEL 201-300->301-500,CHAIN_EXPANDING,1203,BAND,7,-0.4027,0.005,-0.0548,0.1144,0.3479,1141,LOST,D,0.1966
VEL 201-300->301-500,CHAIN_CONTRACTING,993,BAND,7,-0.4027,0.005,-0.0513,0.1443,0.3514,944,LOST,D,0.2268
VEL 201-300->301-500,RISK_ON,1197,BAND,7,-0.4027,0.005,-0.3724,0.005,0.0303,1142,SAME_SIGN,D,0.0239
VEL 201-300->301-500,RISK_OFF,969,BAND,7,-0.4027,0.005,-0.1345,0.01,0.2682,924,GAINED,D,0.0324
STABLECOIN->BREADTH,BTC_UP,1127,FLOW,1,0.1954,0.0547,0.1856,0.1144,-0.0098,1126,LOST,D,0.1966
STABLECOIN->BREADTH,BTC_DOWN,962,FLOW,1,0.1954,0.0547,0.2963,0.0647,0.1009,961,LOST,D,0.1227
STABLECOIN->BREADTH,ETH_STRONG,947,FLOW,1,0.1954,0.0547,0.1487,0.1294,-0.0467,946,LOST,D,0.2124
STABLECOIN->BREADTH,ETH_WEAK,1142,FLOW,1,0.1954,0.0547,0.2409,0.1095,0.0455,1141,LOST,D,0.1966
STABLECOIN->BREADTH,VOL_HIGH,656,FLOW,1,0.1954,0.0547,0.3875,0.0597,0.1922,655,LOST,D,0.1173
STABLECOIN->BREADTH,VOL_LOW,864,FLOW,1,0.1954,0.0547,0.1645,0.2587,-0.0309,863,LOST,D,0.3696
STABLECOIN->BREADTH,BREADTH_EXPANDING,715,FLOW,1,0.1954,0.0547,-0.0963,0.5572,-0.2917,714,REVERSED,D,0.6452
STABLECOIN->BREADTH,BREADTH_CONTRACTING,1481,FLOW,1,0.1954,0.0547,0.0361,0.7214,-0.1593,1480,LOST,D,0.778
STABLECOIN->BREADTH,CONC_RISING,1112,FLOW,1,0.1954,0.0547,0.0739,0.3781,-0.1215,1111,LOST,D,0.4781
STABLECOIN->BREADTH,CONC_FALLING,1077,FLOW,1,0.1954,0.0547,0.2414,0.0597,0.0461,1076,LOST,D,0.1173
STABLECOIN->BREADTH,SC_INFLOW,1550,FLOW,1,0.1954,0.0547,0.1245,0.3333,-0.0709,1549,LOST,D,0.4471
STABLECOIN->BREADTH,SC_OUTFLOW,646,FLOW,1,0.1954,0.0547,0.2442,0.1144,0.0488,645,LOST,D,0.1966
STABLECOIN->BREADTH,CHAIN_EXPANDING,1203,FLOW,1,0.1954,0.0547,0.1364,0.209,-0.059,1202,LOST,D,0.3193
STABLECOIN->BREADTH,CHAIN_CONTRACTING,993,FLOW,1,0.1954,0.0547,0.0808,0.4129,-0.1146,992,LOST,D,0.5103
STABLECOIN->BREADTH,RISK_ON,1197,FLOW,1,0.1954,0.0547,0.0843,0.5373,-0.1111,1196,LOST,D,0.6288
STABLECOIN->BREADTH,RISK_OFF,969,FLOW,1,0.1954,0.0547,0.0217,0.8806,-0.1737,968,LOST,D,0.8969
