axis,lattice,seq,n_events,expected,lift,lift_ci5,lift_ci95,n_subperiods,sp_2020-2021,sp_2022,sp_2023,sp_2024,sp_2025-2026,p_success,p_reentry,p_mixed,chi2,p_raw,p_fdr,significant_fdr
micro,0-7-14,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,4,4.64,0.862,0.215,1.724,3,1,1,0,0,2,0.25,0.25,0.0,0.089,0.765826,0.976776,False
micro,0-7-14,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,4,5.06,0.79,0.197,1.58,1,0,0,0,0,4,0.5,0.5,0.0,0.223,0.636441,0.946276,False
micro,0-7-14,BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,3,0.95,3.16,1.053,6.32,3,0,0,1,1,1,0.0,0.333,0.667,4.429,0.035338,0.242131,False
micro,0-7-14,BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,3,1.33,2.262,0.754,4.524,3,1,1,0,1,0,1.0,0.0,0.0,2.113,0.146098,0.599951,False
micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,8,7.24,1.104,0.552,1.801,4,0,1,4,1,2,0.125,0.5,0.375,0.079,0.778985,0.976776,False
micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,8,7.9,1.012,0.506,1.645,5,1,1,2,3,1,0.0,0.375,0.625,0.001,0.972541,0.99905,False
micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,3,0.99,3.037,0.0,6.073,2,1,0,0,2,0,0.0,1.0,0.0,4.098,0.042931,0.283651,False
micro,0-7-14,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,7,6.47,1.081,0.463,1.707,4,1,0,1,2,3,0.0,0.571,0.429,0.043,0.836198,0.979193,False
micro,0-7-14,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,8,7.06,1.133,0.566,1.841,3,0,2,3,3,0,0.125,0.625,0.25,0.124,0.724249,0.976776,False
micro,0-7-14,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,3,1.32,2.265,0.0,4.531,2,0,0,0,2,1,0.0,0.667,0.333,2.121,0.145319,0.599951,False
micro,0-7-14,BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_EXPANSION,4,1.7,2.359,0.59,4.128,2,0,1,0,0,3,0.0,0.25,0.75,3.132,0.076769,0.417714,False
micro,0-7-14,BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,3,2.02,1.487,0.496,2.973,2,0,0,0,2,1,0.333,0.333,0.333,0.478,0.489308,0.946276,False
micro,0-7-14,CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,3,1.6,1.876,0.0,4.378,2,0,0,1,0,2,0.0,0.667,0.333,1.227,0.267914,0.854553,False
micro,0-7-14,RANK_RECRUITMENT->BREADTH_FADE->BREADTH_FADE,3,1.47,2.047,0.0,4.093,2,0,0,0,1,2,0.0,0.333,0.667,1.606,0.205082,0.707622,False
rank,0-1-3,RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING,8,2.91,2.753,1.376,4.146,4,1,1,2,4,0,0.25,0.375,0.375,8.929,0.002807,0.043275,True
rank,0-1-3,RANK_DETERIORATING->RANK_DETERIORATING->RANK_RECRUITING,3,0.74,4.035,0.0,8.071,2,0,1,0,2,0,0.667,0.333,0.0,6.85,0.008866,0.086327,False
rank,0-1-3,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,7,4.8,1.459,0.625,2.292,3,0,0,3,1,3,0.429,0.143,0.429,1.01,0.314887,0.882638,False
rank,0-1-3,RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING,4,7.45,0.537,0.134,0.94,2,0,2,0,2,0,0.0,0.25,0.75,1.595,0.206549,0.707622,False
rank,0-1-3,RANK_DETERIORATING->RANK_STALL->RANK_STALL,10,12.3,0.813,0.484,1.22,4,3,0,1,2,4,0.0,0.4,0.6,0.429,0.512604,0.946276,False
rank,0-1-3,RANK_RECRUITING->RANK_STALL->RANK_DETERIORATING,4,2.48,1.611,0.403,3.223,3,0,0,1,2,1,0.25,0.5,0.25,0.928,0.335402,0.904232,False
rank,0-1-3,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,8,7.13,1.122,0.561,1.682,3,0,1,4,0,3,0.625,0.25,0.125,0.105,0.74552,0.976776,False
rank,0-1-3,RANK_STALL->RANK_DETERIORATING->RANK_STALL,6,11.78,0.509,0.17,0.849,3,0,0,1,3,2,0.0,1.0,0.0,2.835,0.092255,0.477814,False
rank,0-1-3,RANK_STALL->RANK_RECRUITING->RANK_STALL,4,4.05,0.988,0.247,1.741,3,2,0,0,1,1,0.25,0.75,0.0,0.001,0.980689,0.99905,False
rank,0-1-3,RANK_STALL->RANK_STALL->RANK_DETERIORATING,16,18.28,0.875,0.492,1.258,5,2,2,2,5,5,0.125,0.562,0.312,0.284,0.594032,0.946276,False
rank,0-1-3,RANK_STALL->RANK_STALL->RANK_RECRUITING,4,4.68,0.855,0.214,1.711,3,1,0,1,2,0,0.5,0.5,0.0,0.098,0.754584,0.976776,False
rank,0-1-3,RANK_STALL->RANK_STALL->RANK_STALL,42,30.18,1.392,1.127,1.658,5,2,3,5,8,24,0.071,0.405,0.476,4.628,0.031452,0.242131,False
rank,0-14-30,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,10,6.54,1.528,0.764,2.292,4,0,2,2,3,3,0.2,0.2,0.6,1.826,0.176655,0.680858,False
rank,0-14-30,RANK_DETERIORATING->RANK_RECRUITING->RANK_RECRUITING,3,0.55,5.458,1.728,9.096,2,1,0,2,0,0,1.0,0.0,0.0,10.923,0.00095,0.021969,True
rank,0-14-30,RANK_DETERIORATING->RANK_STALL->RANK_STALL,13,11.29,1.152,0.62,1.683,5,1,1,2,5,4,0.154,0.385,0.462,0.26,0.610343,0.946276,False
rank,0-14-30,RANK_RECRUITING->RANK_RECRUITING->RANK_STALL,3,0.76,3.93,1.31,7.859,2,0,2,0,1,0,1.0,0.0,0.0,6.552,0.010475,0.096894,False
rank,0-14-30,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,7,6.27,1.117,0.479,1.755,3,0,2,0,3,2,0.0,0.571,0.286,0.086,0.769386,0.976776,False
rank,0-14-30,RANK_STALL->RANK_DETERIORATING->RANK_RECRUITING,5,3.76,1.33,0.532,2.394,3,1,0,0,1,3,0.2,0.6,0.2,0.409,0.52238,0.946276,False
rank,0-14-30,RANK_STALL->RANK_DETERIORATING->RANK_STALL,12,15.67,0.766,0.447,1.088,5,2,1,1,5,3,0.167,0.5,0.25,0.858,0.354416,0.910652,False
rank,0-14-30,RANK_STALL->RANK_RECRUITING->RANK_DETERIORATING,3,2.19,1.368,0.433,2.736,1,0,0,0,0,3,0.0,0.667,0.333,0.297,0.585866,0.946276,False
rank,0-14-30,RANK_STALL->RANK_RECRUITING->RANK_STALL,3,5.48,0.547,0.182,1.094,2,0,0,0,1,2,0.0,0.667,0.333,1.124,0.288988,0.872732,False
rank,0-14-30,RANK_STALL->RANK_STALL->RANK_DETERIORATING,13,10.81,1.203,0.648,1.758,4,0,1,4,3,5,0.154,0.385,0.462,0.444,0.50515,0.946276,False
rank,0-14-30,RANK_STALL->RANK_STALL->RANK_RECRUITING,6,6.49,0.925,0.308,1.542,4,1,0,1,1,3,0.333,0.333,0.333,0.036,0.848829,0.984299,False
rank,0-14-30,RANK_STALL->RANK_STALL->RANK_STALL,30,27.02,1.11,0.851,1.443,5,3,2,7,5,13,0.2,0.533,0.267,0.328,0.566807,0.946276,False
rank,0-3-7,RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING,4,2.91,1.376,0.344,2.409,2,0,2,0,2,0,0.0,0.5,0.5,0.412,0.521083,0.946276,False
rank,0-3-7,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,8,7.36,1.088,0.544,1.767,4,2,1,2,3,0,0.25,0.25,0.5,0.056,0.812339,0.976776,False
rank,0-3-7,RANK_DETERIORATING->RANK_STALL->RANK_STALL,13,12.15,1.07,0.659,1.564,4,2,0,2,2,7,0.0,0.308,0.692,0.06,0.806449,0.976776,False
rank,0-3-7,RANK_RECRUITING->RANK_DETERIORATING->RANK_RECRUITING,4,0.36,11.011,2.753,22.023,2,0,0,2,2,0,0.75,0.25,0.0,24.5,1e-06,0.000185,True
rank,0-3-7,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,8,7.13,1.122,0.561,1.963,5,1,1,2,1,3,0.375,0.375,0.25,0.105,0.74552,0.976776,False
rank,0-3-7,RANK_STALL->RANK_DETERIORATING->RANK_STALL,16,18.06,0.886,0.554,1.218,5,1,2,4,4,5,0.25,0.5,0.25,0.234,0.628511,0.946276,False
rank,0-3-7,RANK_STALL->RANK_RECRUITING->RANK_STALL,3,4.62,0.649,0.0,1.299,3,1,0,1,1,0,0.333,0.667,0.0,0.567,0.451277,0.946276,False
rank,0-3-7,RANK_STALL->RANK_STALL->RANK_DETERIORATING,15,11.78,1.274,0.764,1.698,5,1,1,3,3,7,0.067,0.733,0.133,0.881,0.347823,0.906299,False
rank,0-3-7,RANK_STALL->RANK_STALL->RANK_STALL,35,29.81,1.174,0.938,1.444,5,2,2,3,9,19,0.057,0.4,0.514,0.902,0.342142,0.904232,False
rank,0-7-14,RANK_DETERIORATING->RANK_RECRUITING->RANK_STALL,3,1.81,1.661,0.554,3.876,2,0,1,0,2,0,0.667,0.0,0.333,0.789,0.374321,0.930126,False
rank,0-7-14,RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING,11,6.89,1.596,1.016,2.329,5,1,1,2,4,3,0.182,0.273,0.545,2.447,0.117715,0.544432,False
rank,0-7-14,RANK_DETERIORATING->RANK_STALL->RANK_STALL,11,11.89,0.925,0.505,1.43,4,2,0,2,3,4,0.0,0.364,0.636,0.067,0.796336,0.976776,False
rank,0-7-14,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,5,6.68,0.748,0.299,1.347,3,0,2,0,1,2,0.0,0.8,0.0,0.424,0.514844,0.946276,False
rank,0-7-14,RANK_STALL->RANK_DETERIORATING->RANK_STALL,18,11.53,1.561,1.036,2.086,4,2,0,5,3,8,0.222,0.556,0.222,3.631,0.056709,0.361764,False
rank,0-7-14,RANK_STALL->RANK_STALL->RANK_DETERIORATING,17,16.5,1.03,0.606,1.394,5,2,1,1,7,6,0.059,0.529,0.353,0.015,0.902185,0.984299,False
rank,0-7-14,RANK_STALL->RANK_STALL->RANK_RECRUITING,5,5.78,0.866,0.346,1.558,2,0,0,0,1,4,0.0,0.6,0.4,0.104,0.746998,0.976776,False
rank,0-7-14,RANK_STALL->RANK_STALL->RANK_STALL,30,28.46,1.054,0.773,1.335,5,2,3,7,6,12,0.2,0.4,0.4,0.083,0.773395,0.976776,False
