seq_id,sample,axis,lattice,seq,n_effective,n_subperiods,lift,p_fdr,p_success,p_reentry,trivial_persistence,classification
E:canonical:0-7-14:MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,EVENT,canonical,0-7-14,MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE->MIXED_NO_CLEAR_ROUTE,18,4,1.657,0.242131,0.0,0.222,1,DESCRIPTIVE_SEQUENCE
E:micro:0-1-3:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-1-3,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,13,5,3.126,0.000694,0.385,0.231,1,DESCRIPTIVE_SEQUENCE
E:micro:0-1-3:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-1-3,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,9,4,1.348,0.930126,0.222,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-1-3,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,8,4,1.079,0.979193,0.25,0.625,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-1-3,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,9,4,1.523,0.707622,0.222,0.667,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-1-3,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,3,2,0.316,0.242131,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-1-3,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,5,3,0.761,0.946276,0.0,0.8,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-1-3,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,20,5,1.897,0.04498,0.0,0.35,1,DESCRIPTIVE_SEQUENCE
E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,EVENT,micro,0-1-3,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,3,3,2.48,0.504101,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_FADE->BREADTH_FADE->RANK_RECRUITMENT,EVENT,micro,0-1-3,BREADTH_FADE->BREADTH_FADE->RANK_RECRUITMENT,3,2,1.578,0.946276,0.333,0.667,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,EVENT,micro,0-1-3,BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,3,2,1.294,0.946276,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:micro:0-1-3:CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-1-3,CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,3,1,1.182,0.976776,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-14-30,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,3,3,0.734,0.946276,0.0,0.333,1,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-14-30,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,4,3,0.77,0.946276,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_EXPANSION->RANK_RECRUITMENT,EVENT,micro,0-14-30,BREADTH_EXPANSION->BREADTH_EXPANSION->RANK_RECRUITMENT,6,3,3.016,0.051569,0.5,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-14-30,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,4,3,0.897,0.979193,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-14-30,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,7,4,1.235,0.946276,0.571,0.286,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,6,4,1.052,0.984299,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,6,3,0.828,0.946276,0.0,0.5,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,EVENT,micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_REBUILD,3,2,2.433,0.529309,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,EVENT,micro,0-14-30,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,3,2,1.622,0.946276,0.333,0.667,0,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-14-30,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,10,4,1.607,0.585836,0.0,0.6,0,DESCRIPTIVE_SEQUENCE
E:micro:0-14-30:BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-14-30,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,8,4,1.012,0.99905,0.25,0.25,1,LOW_SAMPLE_CURIOSITY
E:micro:0-14-30:RANK_RECRUITMENT->RANK_RECRUITMENT->BREADTH_FADE,EVENT,micro,0-14-30,RANK_RECRUITMENT->RANK_RECRUITMENT->BREADTH_FADE,3,2,6.271,0.010756,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-3-7,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,8,5,1.767,0.504101,0.375,0.25,1,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-3-7,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,3,3,0.773,0.946276,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-3-7,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,7,4,0.963,0.984299,0.286,0.429,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-3-7,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,7,3,1.123,0.976776,0.286,0.429,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,EVENT,micro,0-3-7,BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,3,1,1.838,0.872732,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-3-7,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,8,4,1.243,0.946276,0.0,0.875,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-3-7,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,4,3,0.725,0.946276,0.25,0.75,0,LOW_SAMPLE_CURIOSITY
E:micro:0-3-7:BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-3-7,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,12,5,1.162,0.946276,0.0,0.333,0,DESCRIPTIVE_SEQUENCE
E:micro:0-3-7:BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-3-7,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,12,5,1.355,0.872732,0.0,0.5,1,DESCRIPTIVE_SEQUENCE
E:micro:0-3-7:BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,EVENT,micro,0-3-7,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,3,2,1.779,0.882638,0.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-7-14,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_EXPANSION,4,3,0.77,0.946276,0.75,0.25,1,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-7-14,BREADTH_EXPANSION->BREADTH_EXPANSION->BREADTH_FADE,6,5,1.059,0.984299,0.333,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-7-14,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,4,3,0.862,0.976776,0.25,0.25,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-7-14,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_FADE,4,1,0.79,0.946276,0.5,0.5,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,EVENT,micro,0-7-14,BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,3,3,3.16,0.242131,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,EVENT,micro,0-7-14,BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,3,3,2.262,0.599951,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,EVENT,micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_EXPANSION,8,4,1.104,0.976776,0.125,0.5,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,EVENT,micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,8,5,1.012,0.99905,0.0,0.375,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,EVENT,micro,0-7-14,BREADTH_FADE->BREADTH_EXPANSION->CONCENTRATION_RELEASE,3,2,3.037,0.283651,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,EVENT,micro,0-7-14,BREADTH_FADE->BREADTH_FADE->BREADTH_EXPANSION,7,4,1.081,0.979193,0.0,0.571,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-7-14,BREADTH_FADE->BREADTH_FADE->BREADTH_FADE,8,3,1.133,0.976776,0.125,0.625,1,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,EVENT,micro,0-7-14,BREADTH_FADE->BREADTH_FADE->CONCENTRATION_REBUILD,3,2,2.265,0.599951,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_EXPANSION,EVENT,micro,0-7-14,BREADTH_FADE->CONCENTRATION_RELEASE->BREADTH_EXPANSION,4,2,2.359,0.417714,0.0,0.25,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,EVENT,micro,0-7-14,BREADTH_FADE->RANK_RECRUITMENT->BREADTH_FADE,3,2,1.487,0.946276,0.333,0.333,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-7-14,CONCENTRATION_RELEASE->BREADTH_FADE->BREADTH_FADE,3,2,1.876,0.854553,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:micro:0-7-14:RANK_RECRUITMENT->BREADTH_FADE->BREADTH_FADE,EVENT,micro,0-7-14,RANK_RECRUITMENT->BREADTH_FADE->BREADTH_FADE,3,2,2.047,0.707622,0.0,0.333,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING,EVENT,rank,0-1-3,RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING,8,4,2.753,0.043275,0.25,0.375,1,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_DETERIORATING->RANK_DETERIORATING->RANK_RECRUITING,EVENT,rank,0-1-3,RANK_DETERIORATING->RANK_DETERIORATING->RANK_RECRUITING,3,2,4.035,0.086327,0.667,0.333,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-1-3,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,7,3,1.459,0.882638,0.429,0.143,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-1-3,RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING,4,2,0.537,0.707622,0.0,0.25,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_DETERIORATING->RANK_STALL->RANK_STALL,EVENT,rank,0-1-3,RANK_DETERIORATING->RANK_STALL->RANK_STALL,10,4,0.813,0.946276,0.0,0.4,0,DESCRIPTIVE_SEQUENCE
E:rank:0-1-3:RANK_RECRUITING->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-1-3,RANK_RECRUITING->RANK_STALL->RANK_DETERIORATING,4,3,1.611,0.904232,0.25,0.5,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,EVENT,rank,0-1-3,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,8,3,1.122,0.976776,0.625,0.25,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_STALL->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-1-3,RANK_STALL->RANK_DETERIORATING->RANK_STALL,6,3,0.509,0.477814,0.0,1.0,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_STALL->RANK_RECRUITING->RANK_STALL,EVENT,rank,0-1-3,RANK_STALL->RANK_RECRUITING->RANK_STALL,4,3,0.988,0.99905,0.25,0.75,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_STALL->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-1-3,RANK_STALL->RANK_STALL->RANK_DETERIORATING,16,5,0.875,0.946276,0.125,0.562,0,DESCRIPTIVE_SEQUENCE
E:rank:0-1-3:RANK_STALL->RANK_STALL->RANK_RECRUITING,EVENT,rank,0-1-3,RANK_STALL->RANK_STALL->RANK_RECRUITING,4,3,0.855,0.976776,0.5,0.5,0,LOW_SAMPLE_CURIOSITY
E:rank:0-1-3:RANK_STALL->RANK_STALL->RANK_STALL,EVENT,rank,0-1-3,RANK_STALL->RANK_STALL->RANK_STALL,42,5,1.392,0.242131,0.071,0.405,1,DESCRIPTIVE_SEQUENCE
E:rank:0-14-30:RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-14-30,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,10,4,1.528,0.680858,0.2,0.2,0,DESCRIPTIVE_SEQUENCE
E:rank:0-14-30:RANK_DETERIORATING->RANK_RECRUITING->RANK_RECRUITING,EVENT,rank,0-14-30,RANK_DETERIORATING->RANK_RECRUITING->RANK_RECRUITING,3,2,5.458,0.021969,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_DETERIORATING->RANK_STALL->RANK_STALL,EVENT,rank,0-14-30,RANK_DETERIORATING->RANK_STALL->RANK_STALL,13,5,1.152,0.946276,0.154,0.385,0,DESCRIPTIVE_SEQUENCE
E:rank:0-14-30:RANK_RECRUITING->RANK_RECRUITING->RANK_STALL,EVENT,rank,0-14-30,RANK_RECRUITING->RANK_RECRUITING->RANK_STALL,3,2,3.93,0.096894,1.0,0.0,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,EVENT,rank,0-14-30,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,7,3,1.117,0.976776,0.0,0.571,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_STALL->RANK_DETERIORATING->RANK_RECRUITING,EVENT,rank,0-14-30,RANK_STALL->RANK_DETERIORATING->RANK_RECRUITING,5,3,1.33,0.946276,0.2,0.6,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_STALL->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-14-30,RANK_STALL->RANK_DETERIORATING->RANK_STALL,12,5,0.766,0.910652,0.167,0.5,0,DESCRIPTIVE_SEQUENCE
E:rank:0-14-30:RANK_STALL->RANK_RECRUITING->RANK_DETERIORATING,EVENT,rank,0-14-30,RANK_STALL->RANK_RECRUITING->RANK_DETERIORATING,3,1,1.368,0.946276,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_STALL->RANK_RECRUITING->RANK_STALL,EVENT,rank,0-14-30,RANK_STALL->RANK_RECRUITING->RANK_STALL,3,2,0.547,0.872732,0.0,0.667,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_STALL->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-14-30,RANK_STALL->RANK_STALL->RANK_DETERIORATING,13,4,1.203,0.946276,0.154,0.385,0,DESCRIPTIVE_SEQUENCE
E:rank:0-14-30:RANK_STALL->RANK_STALL->RANK_RECRUITING,EVENT,rank,0-14-30,RANK_STALL->RANK_STALL->RANK_RECRUITING,6,4,0.925,0.984299,0.333,0.333,0,LOW_SAMPLE_CURIOSITY
E:rank:0-14-30:RANK_STALL->RANK_STALL->RANK_STALL,EVENT,rank,0-14-30,RANK_STALL->RANK_STALL->RANK_STALL,30,5,1.11,0.946276,0.2,0.533,1,DESCRIPTIVE_SEQUENCE
E:rank:0-3-7:RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING,EVENT,rank,0-3-7,RANK_DETERIORATING->RANK_DETERIORATING->RANK_DETERIORATING,4,2,1.376,0.946276,0.0,0.5,1,LOW_SAMPLE_CURIOSITY
E:rank:0-3-7:RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-3-7,RANK_DETERIORATING->RANK_DETERIORATING->RANK_STALL,8,4,1.088,0.976776,0.25,0.25,0,LOW_SAMPLE_CURIOSITY
E:rank:0-3-7:RANK_DETERIORATING->RANK_STALL->RANK_STALL,EVENT,rank,0-3-7,RANK_DETERIORATING->RANK_STALL->RANK_STALL,13,4,1.07,0.976776,0.0,0.308,0,DESCRIPTIVE_SEQUENCE
E:rank:0-3-7:RANK_RECRUITING->RANK_DETERIORATING->RANK_RECRUITING,EVENT,rank,0-3-7,RANK_RECRUITING->RANK_DETERIORATING->RANK_RECRUITING,4,2,11.011,0.000185,0.75,0.25,0,LOW_SAMPLE_CURIOSITY
E:rank:0-3-7:RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,EVENT,rank,0-3-7,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,8,5,1.122,0.976776,0.375,0.375,0,LOW_SAMPLE_CURIOSITY
E:rank:0-3-7:RANK_STALL->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-3-7,RANK_STALL->RANK_DETERIORATING->RANK_STALL,16,5,0.886,0.946276,0.25,0.5,0,DESCRIPTIVE_SEQUENCE
E:rank:0-3-7:RANK_STALL->RANK_RECRUITING->RANK_STALL,EVENT,rank,0-3-7,RANK_STALL->RANK_RECRUITING->RANK_STALL,3,3,0.649,0.946276,0.333,0.667,0,LOW_SAMPLE_CURIOSITY
E:rank:0-3-7:RANK_STALL->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-3-7,RANK_STALL->RANK_STALL->RANK_DETERIORATING,15,5,1.274,0.906299,0.067,0.733,0,DESCRIPTIVE_SEQUENCE
E:rank:0-3-7:RANK_STALL->RANK_STALL->RANK_STALL,EVENT,rank,0-3-7,RANK_STALL->RANK_STALL->RANK_STALL,35,5,1.174,0.904232,0.057,0.4,1,DESCRIPTIVE_SEQUENCE
E:rank:0-7-14:RANK_DETERIORATING->RANK_RECRUITING->RANK_STALL,EVENT,rank,0-7-14,RANK_DETERIORATING->RANK_RECRUITING->RANK_STALL,3,2,1.661,0.930126,0.667,0.0,0,LOW_SAMPLE_CURIOSITY
E:rank:0-7-14:RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-7-14,RANK_DETERIORATING->RANK_STALL->RANK_DETERIORATING,11,5,1.596,0.544432,0.182,0.273,0,DESCRIPTIVE_SEQUENCE
E:rank:0-7-14:RANK_DETERIORATING->RANK_STALL->RANK_STALL,EVENT,rank,0-7-14,RANK_DETERIORATING->RANK_STALL->RANK_STALL,11,4,0.925,0.976776,0.0,0.364,0,DESCRIPTIVE_SEQUENCE
E:rank:0-7-14:RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,EVENT,rank,0-7-14,RANK_STALL->RANK_DETERIORATING->RANK_DETERIORATING,5,3,0.748,0.946276,0.0,0.8,0,LOW_SAMPLE_CURIOSITY
E:rank:0-7-14:RANK_STALL->RANK_DETERIORATING->RANK_STALL,EVENT,rank,0-7-14,RANK_STALL->RANK_DETERIORATING->RANK_STALL,18,4,1.561,0.361764,0.222,0.556,0,DESCRIPTIVE_SEQUENCE
E:rank:0-7-14:RANK_STALL->RANK_STALL->RANK_DETERIORATING,EVENT,rank,0-7-14,RANK_STALL->RANK_STALL->RANK_DETERIORATING,17,5,1.03,0.984299,0.059,0.529,0,DESCRIPTIVE_SEQUENCE
E:rank:0-7-14:RANK_STALL->RANK_STALL->RANK_RECRUITING,EVENT,rank,0-7-14,RANK_STALL->RANK_STALL->RANK_RECRUITING,5,2,0.866,0.976776,0.0,0.6,0,LOW_SAMPLE_CURIOSITY
E:rank:0-7-14:RANK_STALL->RANK_STALL->RANK_STALL,EVENT,rank,0-7-14,RANK_STALL->RANK_STALL->RANK_STALL,30,5,1.054,0.976776,0.2,0.4,1,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_EXPANSION->BREADTH_FADE->BREADTH_EXPANSION,56,5,2.805,0.0,0.164,0.295,0,LOCAL_SEQUENCE
P:BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,PANEL,micro,path,BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_REBUILD,11,5,1.071,0.894662,0.182,0.455,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,PANEL,micro,path,BREADTH_EXPANSION->BREADTH_FADE->CONCENTRATION_RELEASE,17,5,1.643,0.078557,0.176,0.176,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->BREADTH_FADE->RANK_RECRUITMENT,PANEL,micro,path,BREADTH_EXPANSION->BREADTH_FADE->RANK_RECRUITMENT,11,4,1.361,0.449881,0.273,0.091,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->CONCENTRATION_REBUILD->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_EXPANSION->CONCENTRATION_REBUILD->BREADTH_EXPANSION,24,5,2.467,1.5e-05,0.346,0.192,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->CONCENTRATION_REBUILD->BREADTH_FADE,PANEL,micro,path,BREADTH_EXPANSION->CONCENTRATION_REBUILD->BREADTH_FADE,23,5,2.24,0.000322,0.087,0.478,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->CONCENTRATION_REBUILD->CONCENTRATION_RELEASE,PANEL,micro,path,BREADTH_EXPANSION->CONCENTRATION_REBUILD->CONCENTRATION_RELEASE,6,4,1.196,0.747259,0.167,0.167,0,LOW_SAMPLE_CURIOSITY
P:BREADTH_EXPANSION->CONCENTRATION_RELEASE->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_EXPANSION->CONCENTRATION_RELEASE->BREADTH_EXPANSION,18,5,1.775,0.026564,0.263,0.263,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->CONCENTRATION_RELEASE->BREADTH_FADE,PANEL,micro,path,BREADTH_EXPANSION->CONCENTRATION_RELEASE->BREADTH_FADE,22,4,2.11,0.001177,0.182,0.136,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->CONCENTRATION_RELEASE->RANK_RECRUITMENT,PANEL,micro,path,BREADTH_EXPANSION->CONCENTRATION_RELEASE->RANK_RECRUITMENT,4,2,1.005,0.99798,0.75,0.0,0,LOW_SAMPLE_CURIOSITY
P:BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,PANEL,micro,path,BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_EXPANSION,28,5,3.374,0.0,0.357,0.214,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_FADE,PANEL,micro,path,BREADTH_EXPANSION->RANK_RECRUITMENT->BREADTH_FADE,17,5,2.103,0.00481,0.235,0.118,0,DESCRIPTIVE_SEQUENCE
P:BREADTH_EXPANSION->RANK_RECRUITMENT->CONCENTRATION_RELEASE,PANEL,micro,path,BREADTH_EXPANSION->RANK_RECRUITMENT->CONCENTRATION_RELEASE,3,3,0.76,0.747259,0.333,0.333,0,LOW_SAMPLE_CURIOSITY
P:BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,PANEL,micro,path,BREADTH_FADE->BREADTH_EXPANSION->BREADTH_FADE,51,5,2.654,0.0,0.125,0.268,0,LOCAL_SEQUENCE
