symbol,gap_start,gap_end,gap_hours,classification
EURJPY,2024-12-24 19:00:00+00:00,2024-12-25 18:00:00+00:00,24,small_gap
EURJPY,2024-12-27 19:00:00+00:00,2024-12-27 19:00:00+00:00,1,minor_gap
EURJPY,2024-12-31 19:00:00+00:00,2025-01-01 18:00:00+00:00,24,small_gap
EURJPY,2025-01-03 19:00:00+00:00,2025-01-03 19:00:00+00:00,1,minor_gap
EURJPY,2025-01-10 19:00:00+00:00,2025-01-10 19:00:00+00:00,1,minor_gap
EURJPY,2025-01-17 19:00:00+00:00,2025-01-17 19:00:00+00:00,1,minor_gap
EURJPY,2025-01-24 19:00:00+00:00,2025-01-24 19:00:00+00:00,1,minor_gap
EURJPY,2025-01-31 19:00:00+00:00,2025-01-31 19:00:00+00:00,1,minor_gap
EURJPY,2025-02-07 19:00:00+00:00,2025-02-07 19:00:00+00:00,1,minor_gap
EURJPY,2025-02-14 19:00:00+00:00,2025-02-14 19:00:00+00:00,1,minor_gap
EURJPY,2025-02-21 19:00:00+00:00,2025-02-21 19:00:00+00:00,1,minor_gap
EURJPY,2025-02-28 19:00:00+00:00,2025-02-28 19:00:00+00:00,1,minor_gap
EURJPY,2025-03-07 19:00:00+00:00,2025-03-07 19:00:00+00:00,1,minor_gap
EURJPY,2025-04-28 14:00:00+00:00,2025-04-28 14:00:00+00:00,1,minor_gap
EURJPY,2025-11-07 19:00:00+00:00,2025-11-07 19:00:00+00:00,1,minor_gap
EURJPY,2025-11-14 19:00:00+00:00,2025-11-14 19:00:00+00:00,1,minor_gap
EURJPY,2025-11-21 19:00:00+00:00,2025-11-21 19:00:00+00:00,1,minor_gap
EURJPY,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,1,minor_gap
EURJPY,2025-12-05 19:00:00+00:00,2025-12-05 19:00:00+00:00,1,minor_gap
EURJPY,2025-12-12 19:00:00+00:00,2025-12-12 19:00:00+00:00,1,minor_gap
EURJPY,2025-12-19 19:00:00+00:00,2025-12-19 19:00:00+00:00,1,minor_gap
EURJPY,2025-12-24 19:00:00+00:00,2025-12-25 18:00:00+00:00,24,small_gap
EURJPY,2025-12-26 19:00:00+00:00,2025-12-26 19:00:00+00:00,1,minor_gap
EURJPY,2025-12-31 19:00:00+00:00,2026-01-01 18:00:00+00:00,24,small_gap
EURJPY,2026-01-02 19:00:00+00:00,2026-01-02 19:00:00+00:00,1,minor_gap
EURJPY,2026-01-09 19:00:00+00:00,2026-01-09 19:00:00+00:00,1,minor_gap
EURJPY,2026-01-16 19:00:00+00:00,2026-01-16 19:00:00+00:00,1,minor_gap
EURJPY,2026-01-23 19:00:00+00:00,2026-01-23 19:00:00+00:00,1,minor_gap
EURJPY,2026-01-30 19:00:00+00:00,2026-01-30 19:00:00+00:00,1,minor_gap
EURJPY,2026-02-06 19:00:00+00:00,2026-02-06 19:00:00+00:00,1,minor_gap
EURJPY,2026-02-13 19:00:00+00:00,2026-02-13 19:00:00+00:00,1,minor_gap
EURJPY,2026-02-20 19:00:00+00:00,2026-02-20 19:00:00+00:00,1,minor_gap
EURJPY,2026-02-27 19:00:00+00:00,2026-02-27 19:00:00+00:00,1,minor_gap
EURJPY,2026-03-06 19:00:00+00:00,2026-03-06 19:00:00+00:00,1,minor_gap
GBPJPY,2023-12-25 11:00:00+00:00,2023-12-25 18:00:00+00:00,8,small_gap
GBPJPY,2024-01-01 00:00:00+00:00,2024-01-01 19:00:00+00:00,20,small_gap
GBPJPY,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
GBPJPY,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
GBPJPY,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
GBPJPY,2025-04-28 18:00:00+00:00,2025-04-28 18:00:00+00:00,1,minor_gap
GBPJPY,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
GBPJPY,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
CHFJPY,2023-12-25 00:00:00+00:00,2023-12-25 00:00:00+00:00,1,minor_gap
CHFJPY,2023-12-25 10:00:00+00:00,2023-12-25 22:00:00+00:00,13,small_gap
CHFJPY,2024-01-01 00:00:00+00:00,2024-01-01 19:00:00+00:00,20,small_gap
CHFJPY,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
CHFJPY,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
CHFJPY,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
CHFJPY,2025-04-28 18:00:00+00:00,2025-04-28 18:00:00+00:00,1,minor_gap
CHFJPY,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
CHFJPY,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
EURCHF,2023-11-10 19:00:00+00:00,2023-11-10 19:00:00+00:00,1,minor_gap
EURCHF,2023-11-17 19:00:00+00:00,2023-11-17 19:00:00+00:00,1,minor_gap
EURCHF,2023-11-24 19:00:00+00:00,2023-11-24 19:00:00+00:00,1,minor_gap
EURCHF,2023-12-01 19:00:00+00:00,2023-12-01 19:00:00+00:00,1,minor_gap
EURCHF,2023-12-08 19:00:00+00:00,2023-12-08 19:00:00+00:00,1,minor_gap
EURCHF,2023-12-15 19:00:00+00:00,2023-12-15 19:00:00+00:00,1,minor_gap
EURCHF,2023-12-22 19:00:00+00:00,2023-12-22 19:00:00+00:00,1,minor_gap
EURCHF,2023-12-25 06:00:00+00:00,2023-12-25 13:00:00+00:00,8,small_gap
EURCHF,2023-12-29 19:00:00+00:00,2023-12-29 19:00:00+00:00,1,minor_gap
EURCHF,2024-01-01 00:00:00+00:00,2024-01-01 13:00:00+00:00,14,small_gap
EURCHF,2024-01-05 19:00:00+00:00,2024-01-05 19:00:00+00:00,1,minor_gap
EURCHF,2024-01-12 19:00:00+00:00,2024-01-12 19:00:00+00:00,1,minor_gap
EURCHF,2024-01-19 19:00:00+00:00,2024-01-19 19:00:00+00:00,1,minor_gap
EURCHF,2024-01-26 19:00:00+00:00,2024-01-26 19:00:00+00:00,1,minor_gap
EURCHF,2024-02-02 19:00:00+00:00,2024-02-02 19:00:00+00:00,1,minor_gap
EURCHF,2024-02-09 19:00:00+00:00,2024-02-09 19:00:00+00:00,1,minor_gap
EURCHF,2024-02-16 19:00:00+00:00,2024-02-16 19:00:00+00:00,1,minor_gap
EURCHF,2024-02-23 19:00:00+00:00,2024-02-23 19:00:00+00:00,1,minor_gap
EURCHF,2024-03-01 19:00:00+00:00,2024-03-01 19:00:00+00:00,1,minor_gap
EURCHF,2024-03-08 19:00:00+00:00,2024-03-08 19:00:00+00:00,1,minor_gap
EURCHF,2024-09-10 03:00:00+00:00,2024-09-10 06:00:00+00:00,4,small_gap
EURCHF,2024-11-08 19:00:00+00:00,2024-11-08 19:00:00+00:00,1,minor_gap
EURCHF,2024-11-15 19:00:00+00:00,2024-11-15 19:00:00+00:00,1,minor_gap
EURCHF,2024-11-22 19:00:00+00:00,2024-11-22 19:00:00+00:00,1,minor_gap
EURCHF,2024-11-29 19:00:00+00:00,2024-11-29 19:00:00+00:00,1,minor_gap
EURCHF,2024-12-06 19:00:00+00:00,2024-12-06 19:00:00+00:00,1,minor_gap
EURCHF,2024-12-13 19:00:00+00:00,2024-12-13 19:00:00+00:00,1,minor_gap
EURCHF,2024-12-20 19:00:00+00:00,2024-12-20 19:00:00+00:00,1,minor_gap
EURCHF,2024-12-24 19:00:00+00:00,2024-12-25 18:00:00+00:00,24,small_gap
EURCHF,2024-12-27 19:00:00+00:00,2024-12-27 19:00:00+00:00,1,minor_gap
EURCHF,2024-12-31 19:00:00+00:00,2025-01-01 18:00:00+00:00,24,small_gap
EURCHF,2025-01-03 19:00:00+00:00,2025-01-03 19:00:00+00:00,1,minor_gap
EURCHF,2025-01-10 19:00:00+00:00,2025-01-10 19:00:00+00:00,1,minor_gap
EURCHF,2025-01-17 19:00:00+00:00,2025-01-17 19:00:00+00:00,1,minor_gap
EURCHF,2025-01-24 19:00:00+00:00,2025-01-24 19:00:00+00:00,1,minor_gap
EURCHF,2025-01-31 19:00:00+00:00,2025-01-31 19:00:00+00:00,1,minor_gap
EURCHF,2025-02-07 19:00:00+00:00,2025-02-07 19:00:00+00:00,1,minor_gap
EURCHF,2025-02-14 19:00:00+00:00,2025-02-14 19:00:00+00:00,1,minor_gap
EURCHF,2025-02-21 19:00:00+00:00,2025-02-21 19:00:00+00:00,1,minor_gap
EURCHF,2025-02-28 19:00:00+00:00,2025-02-28 19:00:00+00:00,1,minor_gap
EURCHF,2025-03-07 19:00:00+00:00,2025-03-07 19:00:00+00:00,1,minor_gap
EURCHF,2025-04-28 14:00:00+00:00,2025-04-28 14:00:00+00:00,1,minor_gap
EURCHF,2025-11-07 19:00:00+00:00,2025-11-07 19:00:00+00:00,1,minor_gap
EURCHF,2025-11-14 19:00:00+00:00,2025-11-14 19:00:00+00:00,1,minor_gap
EURCHF,2025-11-21 19:00:00+00:00,2025-11-21 19:00:00+00:00,1,minor_gap
EURCHF,2025-11-28 19:00:00+00:00,2025-11-28 19:00:00+00:00,1,minor_gap
EURCHF,2025-12-05 19:00:00+00:00,2025-12-05 19:00:00+00:00,1,minor_gap
EURCHF,2025-12-12 19:00:00+00:00,2025-12-12 19:00:00+00:00,1,minor_gap
EURCHF,2025-12-19 19:00:00+00:00,2025-12-19 19:00:00+00:00,1,minor_gap
EURCHF,2025-12-24 19:00:00+00:00,2025-12-25 18:00:00+00:00,24,small_gap
EURCHF,2025-12-26 19:00:00+00:00,2025-12-26 19:00:00+00:00,1,minor_gap
EURCHF,2025-12-31 19:00:00+00:00,2026-01-01 18:00:00+00:00,24,small_gap
EURCHF,2026-01-02 19:00:00+00:00,2026-01-02 19:00:00+00:00,1,minor_gap
EURCHF,2026-01-09 19:00:00+00:00,2026-01-09 19:00:00+00:00,1,minor_gap
EURCHF,2026-01-16 19:00:00+00:00,2026-01-16 19:00:00+00:00,1,minor_gap
EURCHF,2026-01-23 19:00:00+00:00,2026-01-23 19:00:00+00:00,1,minor_gap
EURCHF,2026-01-30 19:00:00+00:00,2026-01-30 19:00:00+00:00,1,minor_gap
EURCHF,2026-02-06 19:00:00+00:00,2026-02-06 19:00:00+00:00,1,minor_gap
EURCHF,2026-02-13 19:00:00+00:00,2026-02-13 19:00:00+00:00,1,minor_gap
EURCHF,2026-02-20 19:00:00+00:00,2026-02-20 19:00:00+00:00,1,minor_gap
EURCHF,2026-02-27 19:00:00+00:00,2026-02-27 19:00:00+00:00,1,minor_gap
EURCHF,2026-03-06 19:00:00+00:00,2026-03-06 19:00:00+00:00,1,minor_gap
GBPCHF,2024-01-01 00:00:00+00:00,2024-01-01 19:00:00+00:00,20,small_gap
GBPCHF,2024-09-10 07:00:00+00:00,2024-09-10 10:00:00+00:00,4,small_gap
GBPCHF,2024-12-25 00:00:00+00:00,2024-12-25 23:00:00+00:00,24,small_gap
GBPCHF,2025-01-01 00:00:00+00:00,2025-01-01 23:00:00+00:00,24,small_gap
GBPCHF,2025-04-28 18:00:00+00:00,2025-04-28 18:00:00+00:00,1,minor_gap
GBPCHF,2025-12-25 00:00:00+00:00,2025-12-25 23:00:00+00:00,24,small_gap
GBPCHF,2026-01-01 00:00:00+00:00,2026-01-01 23:00:00+00:00,24,small_gap
