episode_type,source,raw_episodes,effective_clusters
SECTOR,trustswap-launchpad,39,17
SECTOR,unichain-ecosystem,34,14
SECTOR,us-strategic-crypto-reserve,8,8
SECTOR,usd-stablecoin,147,61
SECTOR,usv-portfolio,129,65
SECTOR,vbc-ventures-portfolio,220,68
SECTOR,vechain-ecosystem,5,4
SECTOR,vector-smart-chain-ecosystem,9,6
SECTOR,velas-ecosystem,38,14
SECTOR,venom-ecosystem,9,6
SECTOR,viction-ecosystem,23,16
SECTOR,video,223,90
SECTOR,virtuals-protocol-ecosystem,51,22
SECTOR,vr-ar,169,58
SECTOR,wallet,263,86
SECTOR,wanchain-ecosystem,1,1
SECTOR,waves,15,8
SECTOR,waves-ecosystem,53,17
SECTOR,web3,217,63
SECTOR,wemix-ecosystem,21,13
SECTOR,winklevoss-capital,17,7
SECTOR,winklevoss-capital-portfolio,127,66
SECTOR,wlfi-ecosystem,47,8
SECTOR,world-chain-mainnet-ecosystem,46,22
SECTOR,world-liberty-financial-portfolio,21,11
SECTOR,wrapped-tokens,148,66
SECTOR,x-layer-ecosystem,32,13
SECTOR,x1-ecosystem,81,30
SECTOR,x11,220,87
SECTOR,x13,20,9
SECTOR,x402-ecosystem,29,9
SECTOR,xdc-ecosystem,131,46
SECTOR,xlayer-ecosystem,21,13
SECTOR,xrp,6,3
SECTOR,xrp-ecosystem,42,21
SECTOR,xstocks-ecosystem,20,7
SECTOR,yearn-partnerships,225,85
SECTOR,yield-aggregator,230,74
SECTOR,yield-farming,240,78
SECTOR,zedxion-smart-chain-ecosystem,13,5
SECTOR,zero-knowledge-proofs,257,85
SECTOR,zeta-ecosystem,33,10
SECTOR,zilliqa-ecosystem,142,60
SECTOR,zksync-era-ecosystem,74,27
