event_index,ret_1d,rank_band,BEHAVIORAL_10_label,CORR_60_10_label,CORR_120_10_label,STATE_label,HYBRID_10_label,n_families_true,consensus,final_class
215346,0.14064093,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
215357,0.15413684,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
215741,0.060198642,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
215804,0.035547137,501-750,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
215881,12.715565,501-750,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
216055,0.23337108,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
217534,0.1637186,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
217968,0.23529412,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
217972,0.26666668,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
218083,0.006756322,101-250,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,NO_PEERS,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
218085,0.008517169,101-250,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,NO_PEERS,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
218107,0.01749858,101-250,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
218110,0.012968826,101-250,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,NO_PEERS,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
218137,0.009157223,101-250,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,NO_PEERS,TRUE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
218144,0.0034437773,101-250,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
218153,0.15639195,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
218176,0.23627423,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
218193,0.14988978,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
218919,0.36046246,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
219207,0.0010052066,101-250,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
219219,0.0013594789,26-100,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
219227,0.00078589434,26-100,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
219716,0.1272537,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
219751,0.12422584,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
219752,0.18136887,101-250,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
220552,0.110202864,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
220604,0.19472007,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
221230,0.11544579,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221239,0.12636599,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221376,0.21077926,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221377,0.16606203,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221457,0.8840941,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221496,0.17329475,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221498,0.18497047,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
221514,0.10434209,26-100,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
222004,1.2910815,501-750,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
222209,0.13968433,101-250,TRUE_UP_LONER,NO_PEERS,NO_PEERS,TRUE_UP_LONER,TRUE_UP_LONER,3,TRUE_UP_LONER,TRUE_UP_LONER
222215,1.8104618,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
222452,0.2361799,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
222454,0.36997342,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
222470,0.15879144,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
223077,0.22509225,1501-2000,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
223471,0.3725674,101-250,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
223654,0.0006823302,101-250,FALSE_UP_LONER,FALSE_UP_LONER,NO_PEERS,FALSE_UP_LONER,TRUE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
223662,0.00054980477,101-250,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,NO_PEERS,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
224145,0.21380375,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
224535,0.06185522,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
225976,0.1146228,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
226120,0.16565956,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
226409,0.09098047,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
226521,0.0008315663,101-250,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,0,AMBIGUOUS,FALSE_UP_LONER
226524,0.0006369739,101-250,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
226801,0.123559974,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
227096,0.1489872,501-750,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
227450,0.49905258,101-250,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
227795,0.1861929,251-500,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
227900,0.17886001,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
227902,0.07375159,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,NO_PEERS,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
228231,0.16693301,101-250,FALSE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,4,TRUE_UP_LONER,TRUE_UP_LONER
228351,0.14109339,1501-2000,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
228447,0.095785126,26-100,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,TRUE_UP_LONER,5,TRUE_UP_LONER,TRUE_UP_LONER
229012,0.012688215,751-1000,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,2,AMBIGUOUS,AMBIGUOUS
229030,0.012900653,501-750,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,FALSE_UP_LONER,TRUE_UP_LONER,1,AMBIGUOUS,AMBIGUOUS
