date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier,year
2025-08-27,-1,1.1611,1.159325,17.25000000000082,tp2_ar50,signal2,T3,2025
2025-08-27,-1,1.15774,1.15829,-6.0000000000005045,opposite_p90_exit,cascade_1,T3,2025
2025-08-27,-1,1.15929,1.1598579999999998,-6.179999999999019,sl_body80,signal1,T3,2025
2025-08-27,-1,1.15929,1.160355,-11.150000000000936,sl_body150,signal2,T3,2025
2025-08-28,1,1.1674,1.168135,6.8499999999993015,tp1_ar25,signal1,T2,2025
2025-08-28,1,1.1674,1.16695,-5.000000000000615,opposite_p90_exit,signal2,T2,2025
2025-08-29,1,1.16865,1.167938,-7.620000000000459,sl_body80,signal1,T2,2025
2025-08-29,1,1.16865,1.1673149999999999,-13.850000000000861,sl_body150,signal2,T2,2025
2025-09-01,1,1.17232,1.171816,-5.5400000000006,sl_body80,signal1,T2,2025
2025-09-01,1,1.17232,1.1730450000000001,6.750000000000867,tp1_ar25,signal2,T2,2025
2025-09-01,1,1.17316,1.17168,-15.299999999999258,opposite_p90_exit,cascade_1,T2,2025
2025-09-01,1,1.17254,1.17201,-5.799999999999194,opposite_p90_exit,signal1,T2,2025
2025-09-01,1,1.17254,1.17201,-5.799999999999194,opposite_p90_exit,signal2,T2,2025
2025-09-01,1,1.17318,1.1727720000000001,-4.579999999997419,sl_body80,signal1,T2,2025
2025-09-01,1,1.17318,1.1724150000000002,-8.149999999996826,sl_body150,signal2,T2,2025
2025-09-02,-1,1.16884,1.1692799999999999,-4.899999999997739,sl_body80,signal1,T2,2025
2025-09-02,-1,1.16884,1.1696649999999997,-8.749999999996316,sl_body150,signal2,T2,2025
2025-09-02,-1,1.16849,1.1681275000000002,3.124999999998213,tp1_ar25,cascade_1,T2,2025
2025-09-02,-1,1.16745,1.167415,-0.14999999999992752,tp2_ar50,cascade_2,T2,2025
2025-09-02,-1,1.16521,1.165228,-0.6799999999985147,kill_switch_132,signal1,T2,2025
2025-09-02,-1,1.16521,1.165228,-0.6799999999985147,kill_switch_132,signal2,T2,2025
2025-09-02,-1,1.16446,1.165228,-8.179999999998799,kill_switch_132,signal1,T2,2025
2025-09-02,-1,1.16446,1.165228,-8.179999999998799,kill_switch_132,signal2,T2,2025
2025-09-02,-1,1.16361,1.165228,-16.679999999998973,kill_switch_132,signal1,T2,2025
2025-09-02,-1,1.16361,1.165228,-16.679999999998973,kill_switch_132,signal2,T2,2025
2025-09-02,-1,1.1632,1.165228,-20.779999999999188,kill_switch_132,signal1,T2,2025
2025-09-02,-1,1.1632,1.165228,-20.779999999999188,kill_switch_132,signal2,T2,2025
2025-09-02,-1,1.16285,1.165228,-24.279999999999912,kill_switch_132,cascade_1,T2,2025
2025-09-03,-1,1.16167,1.161115,5.050000000000832,tp1_ar25,signal1,T2,2025
2025-09-03,-1,1.16167,1.1618,-1.7999999999996348,opposite_p90_exit,signal2,T2,2025
2025-09-03,1,1.16479,1.165345,5.050000000000832,tp1_ar25,signal1,T2,2025
2025-09-03,1,1.16479,1.1659000000000002,10.600000000001664,tp2_ar50,signal2,T2,2025
2025-09-03,1,1.16518,1.1659000000000002,6.700000000000539,tp2_ar50,cascade_1,T2,2025
2025-09-04,-1,1.16455,1.164075,4.250000000000032,tp1_ar25,signal1,T1,2025
2025-09-04,-1,1.16455,1.1636,9.000000000000064,tp2_ar50,signal2,T1,2025
2025-09-04,-1,1.16389,1.1636,2.400000000001235,tp2_ar50,cascade_1,T1,2025
2025-09-05,1,1.16768,1.167352,-3.78000000000106,sl_body80,signal1,T3,2025
2025-09-05,1,1.16768,1.167065,-6.650000000000322,sl_body150,signal2,T3,2025
2025-09-08,1,1.17228,1.171808,-5.2200000000002795,sl_body80,signal1,T1,2025
2025-09-08,1,1.17228,1.171395,-9.350000000000247,sl_body150,signal2,T1,2025
2025-09-08,1,1.17252,1.1726675,0.974999999999671,tp1_ar25,cascade_1,T1,2025
2025-09-08,1,1.17419,1.1739660000000003,-2.7399999999977993,kill_switch_132,cascade_2,T1,2025
2025-09-08,1,1.17314,1.172748,-4.4200000000017,sl_body80,signal1,T1,2025
2025-09-08,1,1.17314,1.172405,-7.850000000001522,sl_body150,signal2,T1,2025
2025-09-09,-1,1.17446,1.175124,-7.139999999999979,sl_body80,signal1,T2,2025
2025-09-09,-1,1.17446,1.1757049999999998,-12.949999999997186,sl_body150,signal2,T2,2025
2025-09-10,1,1.17189,1.169634,-23.060000000000358,sl_body80,signal1,T2,2025
2025-09-10,1,1.17189,1.17222,2.7999999999994145,hard_exit_12pm,signal2,T2,2025
2025-09-11,-1,1.16867,1.169334,-7.139999999999979,sl_body80,signal1,T1,2025
2025-09-11,-1,1.16867,1.1681875000000002,4.324999999999413,tp1_ar25,signal2,T1,2025
2025-09-11,1,1.17149,1.1719724999999999,4.324999999999413,tp1_ar25,signal1,T1,2025
2025-09-11,1,1.17149,1.1724549999999998,9.149999999998826,tp2_ar50,signal2,T1,2025
2025-09-12,1,1.17448,1.174056,-4.7399999999997995,sl_body80,signal1,T1,2025
2025-09-12,1,1.17448,1.173685,-8.449999999998791,sl_body150,signal2,T1,2025
2025-09-15,1,1.17424,1.17359,-7.000000000000394,opposite_p90_exit,signal1,T1,2025
2025-09-15,1,1.17424,1.17359,-7.000000000000394,opposite_p90_exit,signal2,T1,2025
2025-09-15,1,1.17377,1.1741125,2.924999999999123,tp1_ar25,signal1,T1,2025
2025-09-15,1,1.17377,1.174455,6.350000000000467,tp2_ar50,signal2,T1,2025
