time,open,high,low,close,tick_volume,spread,real_volume
2023-01-09,78.63,81.4,78.5,79.78,33421,7,0
2023-01-10,79.65,80.92,78.9,79.62,31522,7,0
2023-01-11,79.8,83.03,79.36,82.96,32728,7,0
2023-01-12,82.91,84.64,82.42,83.83,32681,6,0
2023-01-13,83.89,85.61,83.54,85.55,28555,7,0
2023-01-16,85.62,85.72,83.99,84.28,18592,7,0
2023-01-17,84.29,86.89,84.12,86.71,30546,7,0
2023-01-18,86.33,87.97,84.53,84.69,33470,7,0
2023-01-19,84.53,86.92,83.95,86.35,35795,7,0
2023-01-20,86.6,87.78,85.69,87.66,30829,7,0
2023-01-23,87.71,88.97,86.96,87.91,29458,7,0
2023-01-24,87.97,88.58,85.85,86.38,30313,7,0
2023-01-25,86.4,87.0,85.46,86.22,32138,7,0
2023-01-26,86.39,87.95,85.75,87.29,29493,7,0
2023-01-27,87.44,88.57,85.47,86.02,29089,7,0
2023-01-30,86.66,87.19,84.18,84.32,31665,7,0
2023-01-31,84.5,85.69,83.09,85.38,28879,0,0
2023-02-01,85.46,86.1,82.31,82.89,33586,7,0
2023-02-02,83.31,83.51,81.19,82.12,34645,7,0
2023-02-03,82.29,84.09,79.53,79.61,37491,7,0
2023-02-06,79.67,81.27,78.98,81.12,37445,7,0
2023-02-07,81.04,83.92,81.03,83.89,35429,7,0
2023-02-08,83.77,84.93,83.33,84.84,32480,7,0
2023-02-09,84.72,85.23,82.85,83.93,31078,7,0
2023-02-10,83.96,86.58,83.65,86.23,48189,0,0
2023-02-13,86.35,86.65,84.86,85.51,38289,0,0
2023-02-14,85.66,86.13,83.9,85.06,34732,0,0
2023-02-15,84.98,85.56,83.66,84.88,31565,7,0
2023-02-16,84.89,85.88,84.27,84.31,30491,7,0
2023-02-17,84.38,84.56,81.55,82.74,34355,7,0
2023-02-20,82.91,84.0,82.44,83.68,16058,7,0
2023-02-21,83.57,83.84,82.25,82.53,34580,7,0
2023-02-22,82.51,82.94,80.23,80.23,31141,6,0
2023-02-23,80.28,82.41,80.27,82.16,32309,7,0
2023-02-24,82.28,83.01,80.69,82.88,30938,7,0
2023-02-27,82.87,83.16,81.32,81.94,30538,7,0
2023-02-28,81.88,83.87,81.73,83.0,25389,7,0
2023-03-01,82.82,84.34,82.48,84.18,29495,7,0
2023-03-02,84.0,84.9,83.66,84.21,25449,7,0
2023-03-03,84.37,85.79,82.19,85.78,27196,7,0
2023-03-06,85.59,86.13,84.13,86.0,24800,7,0
2023-03-07,85.96,86.5,82.62,82.66,29365,7,0
2023-03-08,82.93,83.36,81.85,82.21,32093,7,0
2023-03-09,82.37,83.72,81.15,81.2,26439,6,0
2023-03-10,81.26,82.77,80.47,82.34,38066,7,0
2023-03-13,82.39,83.12,78.0,80.3,53663,7,0
2023-03-14,80.24,80.57,76.6,77.19,40482,6,0
2023-03-15,77.49,78.4,71.4,74.03,52313,6,0
2023-03-16,74.05,75.21,71.57,74.27,52570,7,0
2023-03-17,74.44,75.64,71.34,72.42,48479,7,0
2023-03-20,72.72,73.66,70.04,73.56,50738,7,0
2023-03-21,73.42,75.13,72.63,74.87,37910,7,0
2023-03-22,74.88,76.8,74.28,75.41,35641,7,0
2023-03-23,75.57,77.07,74.7,75.01,34895,6,0
2023-03-24,75.06,75.87,72.34,74.55,47195,7,0
2023-03-27,74.9,77.97,74.38,77.66,34680,7,0
2023-03-28,77.82,78.65,77.06,78.28,31643,7,0
2023-03-29,78.45,78.95,77.26,77.29,26918,7,0
2023-03-30,77.48,78.79,77.12,78.43,23895,7,0
2023-03-31,78.46,79.86,77.79,79.78,24726,7,0
2023-04-03,85.39,86.11,83.37,84.69,37060,8,0
2023-04-04,84.73,85.88,83.71,85.13,30810,8,0
2023-04-05,85.05,85.37,83.87,84.55,25088,7,0
2023-04-06,84.71,85.25,83.89,84.61,27815,7,0
2023-04-10,84.88,85.43,83.89,84.05,22434,7,0
2023-04-11,84.02,85.42,83.53,85.26,22668,7,0
2023-04-12,85.27,87.14,85.12,86.88,24836,7,0
2023-04-13,86.75,87.09,85.77,86.01,22154,7,0
2023-04-14,85.85,86.55,85.25,86.09,26548,7,0
2023-04-17,85.96,86.17,84.12,84.51,24872,7,0
2023-04-18,84.45,85.13,83.61,84.47,24183,7,0
2023-04-19,84.54,84.85,82.16,82.56,26983,7,0
2023-04-20,82.45,82.58,80.48,80.49,24451,7,0
2023-04-21,80.5,81.78,80.19,81.49,22437,7,0
2023-04-24,81.45,82.77,80.27,82.35,22956,7,0
2023-04-25,82.34,82.83,80.18,80.5,25532,7,0
2023-04-26,80.76,81.3,77.45,77.64,29519,7,0
2023-04-27,77.75,78.48,77.3,78.16,27384,7,0
2023-04-28,78.16,80.42,77.42,80.18,25227,7,0
2023-05-01,80.07,80.13,78.03,79.23,21784,7,0
2023-05-02,79.14,79.66,74.98,75.08,27469,7,0
2023-05-03,75.18,75.44,71.63,71.81,35118,6,0
2023-05-04,71.41,73.62,71.33,72.38,39455,7,0
2023-05-05,72.55,75.62,72.32,75.17,25961,7,0
2023-05-08,75.15,77.28,74.82,76.46,21574,7,0
2023-05-09,76.63,77.37,74.99,77.11,25067,7,0
2023-05-10,77.23,77.46,75.57,76.49,29277,7,0
2023-05-11,76.55,77.26,74.49,75.26,31354,6,0
2023-05-12,75.15,75.66,73.84,74.0,31835,7,0
2023-05-15,73.93,75.57,73.3,75.23,23574,7,0
2023-05-16,75.35,75.76,74.34,74.4,23891,7,0
2023-05-17,74.49,77.14,73.96,76.62,25387,7,0
2023-05-18,76.63,76.85,75.42,75.83,23399,7,0
2023-05-19,75.93,77.37,75.01,75.7,26926,7,0
2023-05-22,75.66,76.31,74.41,75.84,27028,7,0
