conditioning,condition,next_direction,count,probability,sample_n,ci_low,ci_high
full,UP|COMPLETED_1_AU|3|UP_LEAN,UP,8,0.5714285714285714,14,0.2857142857142857,0.7857142857142857
full,UP|COMPLETED_1_AU|3|UP_LEAN,DOWN,6,0.42857142857142855,14,0.21428571428571427,0.7142857142857143
full,UP|OPPOSITE_LOOP_FORMATION|1|BALANCED,UP,1,0.5,2,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|1|BALANCED,DOWN,1,0.5,2,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|1|DOWN_HEAVY,UP,4,0.5714285714285714,7,0.14285714285714285,0.8571428571428571
full,UP|OPPOSITE_LOOP_FORMATION|1|DOWN_HEAVY,DOWN,3,0.42857142857142855,7,0.14285714285714285,0.8571428571428571
full,UP|OPPOSITE_LOOP_FORMATION|1|DOWN_LEAN,DOWN,2,0.6666666666666666,3,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|1|DOWN_LEAN,UP,1,0.3333333333333333,3,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|1|UP_HEAVY,UP,2,0.6666666666666666,3,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|1|UP_HEAVY,DOWN,1,0.3333333333333333,3,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|1|UP_LEAN,UP,3,1.0,3,1.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|2|BALANCED,UP,2,0.6666666666666666,3,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|2|BALANCED,DOWN,1,0.3333333333333333,3,0.0,1.0
full,UP|OPPOSITE_LOOP_FORMATION|2|DOWN_HEAVY,UP,7,0.5384615384615384,13,0.3076923076923077,0.7711538461538358
full,UP|OPPOSITE_LOOP_FORMATION|2|DOWN_HEAVY,DOWN,6,0.46153846153846156,13,0.23076923076923078,0.7692307692307693
