date,AFTERNOON,ASIA,LONDON,NEXT_ASIA,OVERLAP,REST_NY,RV_19_TO_17,RV_19_TO_NEXT_03,RV_24H_19_TO_19,share_17,share_next03,share_24h,range_share_17,range_share_next03
2023-04-25,5.502099762971155e-06,2.2086578544651155e-06,6.605360395251081e-06,2.7171789625488788e-06,2.1485069088961832e-06,5.591711478413782e-07,1.6464624921583533e-05,1.974097503197379e-05,1.702379606942491e-05,0.3341770486224945,0.2787146913493173,0.32320052123116294,0.3641810918774922,0.308865047995477
2023-04-26,1.6199882434973683e-05,2.7171789625488788e-06,4.7408819852059755e-06,2.2436375038075127e-06,1.0483385852183495e-05,6.314230251919089e-07,3.4141329234912035e-05,3.701638976391146e-05,3.4772752260103946e-05,0.47449477797156486,0.43764080015084295,0.4658786372098709,0.34683684794672415,0.29761904761904256
2023-04-27,5.886875602717111e-06,2.2436375038075127e-06,4.702399746167569e-06,3.106473800042748e-06,1.3456319423806273e-05,4.719780447087663e-07,2.628923227649847e-05,2.9867684121249983e-05,2.6761210321207234e-05,0.2239272543527163,0.19709849544473962,0.2199779282049881,0.25682656826568623,0.20069204152249587
2023-04-28,7.259162438452139e-06,3.106473800042748e-06,1.6186756400272692e-05,5.019176160589303e-07,6.876783147481223e-06,5.650406138426878e-07,3.3429175786248806e-05,3.449613401615042e-05,3.399421640009149e-05,0.21715050603904562,0.21043408618060042,0.21354110219856698,0.3364030335861283,0.3036674816625886
2023-05-02,1.1329207708814716e-05,1.8626666332253833e-06,6.670649707976613e-06,1.2402698246136241e-06,5.133081212363491e-06,3.467853822669851e-07,2.4995605262380204e-05,2.6582660469260816e-05,2.534239064464719e-05,0.45324798459134785,0.42618787994961543,0.4470457372263602,0.36369012418686486,0.2896844088553895
2023-05-03,5.638570974901546e-06,1.2402698246136241e-06,3.073973658833775e-06,5.047236654586857e-06,2.9378317349837565e-06,9.926088348854853e-06,1.2890646193332701e-05,2.786397119677441e-05,2.2816734542187552e-05,0.4374156958724014,0.20236063750863617,0.24712436236114216,0.2508250825082562,0.14346389806512905
2023-05-04,1.9008529225378657e-05,5.047236654586857e-06,4.135381845057805e-06,1.6730723134558545e-06,1.0549032130153717e-05,2.596314864115117e-07,3.874017985517704e-05,4.067288365504441e-05,3.8999811341588556e-05,0.49066703604470885,0.467351402634594,0.48740054301514973,0.28535980148883144,0.23825966850828506
2023-05-05,6.050958365689526e-06,1.6730723134558545e-06,3.7262564864745067e-06,6.597897325395326e-08,9.576528747253297e-06,1.5446762640232645e-06,2.1026815912873185e-05,2.2637471150150402e-05,2.2571492176896448e-05,0.2877734028186819,0.26729833582358087,0.2680796784841331,0.3250940354648095,0.2945472249269771
2023-05-09,2.7536250791182977e-06,1.436019681733228e-06,3.302938718359478e-06,3.154690463202343e-06,2.4920155468894256e-06,3.8085585201484624e-07,9.984599026100429e-06,1.3520145341317617e-05,1.0365454878115275e-05,0.2757872471313202,0.20366830456350263,0.2656540510279065,0.21992481203007178,0.15455746367238776
2023-05-10,6.223359408132034e-06,3.154690463202343e-06,4.298659531816229e-06,1.8858860190411703e-06,1.1074835825295177e-05,4.889801556052256e-07,2.4751545228445784e-05,2.712641140309218e-05,2.5240525384051008e-05,0.2514331671292918,0.2294206673951212,0.24656219763414483,0.2578258394991468,0.2083716651333962
