date,tier,G_UP_FULL,G_DOWN_FULL,E_AFT_UP_A0,E_AFT_DN_A0,E_AFT_UP_A1,E_AFT_DN_A1,R_LOCK_UP_A0,R_LOCK_DN_A0,R_LOCK_UP_A1,R_LOCK_DN_A1,VIOL_UP_H17,VIOL_DN_H17
2024-06-11,T1,41.199999999999015,8.500000000000174,15.100000000000113,16.599999999999948,15.199999999999658,13.600000000000279,2.7284768211919674,0.5120481927710965,2.71052631578947,0.625,False,True
2024-06-12,T1,3.6999999999998145,92.30000000000071,15.099999999999003,16.599999999999948,15.150000000000441,13.600000000000279,0.24503311258278535,5.560240963855482,0.24422442244222486,6.786764705882266,True,False
2024-06-13,T1,22.500000000000853,13.300000000000534,15.100000000000113,16.500000000000405,15.199999999999658,13.600000000000279,1.4900662251656083,0.8060606060606186,1.4802631578948262,0.9779411764706074,False,True
2024-06-14,T1,55.79999999999918,17.400000000000748,15.099999999999003,16.599999999999948,15.150000000000441,13.600000000000279,3.695364238410786,1.0481927710843857,3.6831683168315217,1.2794117647059111,False,True
2024-06-18,T2,9.900000000000464,21.100000000000563,15.100000000000113,16.599999999999948,15.499999999999403,17.80000000000115,0.6556291390728735,1.2710843373494354,0.6387096774194093,1.1853932584269213,True,False
2024-06-19,T1,7.699999999999374,21.100000000000563,15.100000000001224,16.599999999999948,15.199999999999658,13.600000000000279,0.5099337748343543,1.2710843373494354,0.5065789473683913,1.5514705882353037,False,False
2024-06-20,T1,29.600000000000737,6.499999999998174,15.100000000000113,16.500000000000405,15.150000000000441,13.600000000000279,1.9602649006622856,0.3939393939392736,1.9537953795379455,0.47794117647044415,False,True
2024-06-21,T1,25.800000000000267,23.799999999998267,15.099999999999003,16.40000000000086,15.100000000001224,13.600000000000279,1.7086092715233092,1.4512195121949403,1.708609271523058,1.7499999999998368,False,False
2024-06-25,T1,39.1000000000008,2.8999999999990145,14.999999999999458,16.500000000000405,15.100000000000113,13.750000000000151,2.606666666666814,0.17575757575751172,2.589403973509967,0.2109090909090169,False,True
2024-06-26,T1,40.99999999999992,0.10000000000065512,14.899999999999913,16.40000000000086,15.099999999999003,13.900000000000023,2.751677852349004,0.0060975609756493835,2.7152317880796444,0.007194244604363666,False,True
2024-06-27,T1,2.700000000002145,42.399999999997995,14.999999999999458,16.300000000000203,15.100000000000113,13.750000000000151,0.1800000000001495,2.6012269938648753,0.17880794702000827,3.083636363636184,True,False
2024-06-28,T2,14.899999999999913,19.299999999999873,14.899999999999913,16.40000000000086,15.700000000000713,17.35000000000153,1.0,1.1768292682926136,0.9490445859872125,1.1123919308356296,True,False
2024-07-02,T1,10.799999999999699,21.800000000000708,14.999999999999458,16.300000000000203,15.099999999999003,13.900000000000023,0.720000000000006,1.3374233128834623,0.7152317880794975,1.5683453237410554,True,False
2024-07-03,T1,3.8999999999989043,38.40000000000065,15.099999999999003,16.199999999999548,15.099999999999003,13.750000000000151,0.2582781456953087,2.370370370370477,0.2582781456953087,2.7927272727272894,True,False
2024-07-04,T1,5.800000000000249,18.000000000000238,15.099999999999003,16.1,15.099999999999003,13.600000000000279,0.38410596026494254,1.1180124223602632,0.38410596026494254,1.3235294117646963,True,False
2024-07-05,T1,12.599999999998168,32.30000000000066,15.099999999999003,16.00000000000046,15.100000000000113,13.600000000000279,0.834437086092649,2.0187499999999834,0.8344370860925877,2.3749999999999996,False,False
2024-07-09,T1,17.699999999998273,3.5000000000007248,15.099999999999003,16.1,15.099999999999003,13.600000000000279,1.172185430463539,0.21739130434787107,1.172185430463539,0.25735294117651863,False,True
2024-07-10,T1,1.2999999999996348,18.199999999999328,15.099999999999003,16.00000000000046,15.099999999999003,13.600000000000279,0.08609271523176958,1.1374999999999253,0.08609271523176958,1.3382352941175701,True,False
2024-07-11,T1,3.6999999999998145,70.00000000000117,14.999999999999458,15.899999999999803,15.099999999999003,13.600000000000279,0.2466666666666632,4.402515723270568,0.24503311258278535,5.147058823529392,False,False
2024-07-12,T1,2.500000000000835,28.69999999999928,14.899999999999913,16.00000000000046,14.599999999999058,13.600000000000279,0.16778523489938588,1.7937499999999038,0.171232876712397,2.110294117646963,True,False
2024-07-16,T1,24.699999999999722,5.20000000000076,14.999999999999458,15.899999999999803,15.099999999999003,13.600000000000279,1.6466666666667076,0.32704402515728453,1.6357615894040631,0.38235294117651863,False,True
2024-07-17,T1,2.4999999999986144,47.300000000001226,14.899999999999913,15.799999999999148,14.599999999999058,13.599999999999168,0.16778523489923686,2.9936708860761883,0.1712328767122449,3.477941176470891,True,False
2024-07-18,T1,12.700000000001044,4.599999999999049,14.800000000000368,15.899999999999803,14.099999999999113,13.600000000000279,0.8581081081081573,0.28930817610057274,0.9007092198582867,0.33823529411757025,False,True
2024-07-19,T1,12.800000000001699,12.900000000000134,14.700000000000824,16.00000000000046,13.999999999999568,13.600000000000279,0.8707482993197947,0.8062499999999853,0.9142857142858638,0.9485294117646963,False,False
2024-07-23,T1,40.70000000000018,1.2999999999996348,14.650000000000496,15.899999999999803,13.900000000000023,13.600000000000279,2.778156996586949,0.08176100628928622,2.9280575539568425,0.09558823529408883,False,True
2024-07-24,T1,1.2000000000012,32.399999999999096,14.600000000000168,15.799999999999148,13.900000000000023,13.599999999999168,0.08219178082199906,2.0506329113924586,0.08633093525188476,2.3823529411765496,True,False
2024-07-25,T1,9.200000000000319,21.299999999999653,14.550000000000951,15.799999999999148,13.900000000000023,13.599999999998058,0.6323024054982623,1.3481012658228355,0.6618705035971442,1.5661764705884333,True,False
2024-07-26,T1,5.1000000000001044,18.599999999999728,14.600000000000168,15.799999999999148,13.900000000000023,13.599999999999168,0.3493150684931538,1.177215189873464,0.36690647482015076,1.367647058823593,True,False
2024-07-30,T1,33.90000000000004,0.10000000000065512,14.550000000000951,15.799999999999148,13.900000000000023,13.599999999998058,2.3298969072163453,0.006329113924092438,2.4388489208633084,0.007352941176519809,False,True
2024-07-31,T2,7.099999999999884,34.30000000000044,14.600000000000168,15.799999999999148,15.900000000002024,16.900000000001913,0.48630136986300015,2.170886075949512,0.44654088050308055,2.029585798816364,True,True
2024-08-01,T1,39.00000000000014,19.000000000000128,14.550000000000951,15.799999999999148,13.900000000000023,13.299999999998313,2.680412371133855,1.2025316455696933,2.805755395683459,1.4285714285716193,False,False
2024-08-02,T1,6.099999999999994,109.2000000000004,14.600000000000168,15.799999999999148,13.900000000000023,13.599999999998058,0.417808219178077,6.9113924050636895,0.4388489208633082,8.029411764707058,True,False
2024-08-06,T1,57.70000000000053,1.7000000000000348,14.650000000000496,15.799999999999148,13.999999999999568,13.299999999998313,3.9385665529009266,0.10759493670886877,4.121428571428736,0.1278195488721993,False,False
