target,condition,condition_value,n,p10,p25,p50,p75,p90,mean,iqr,mad,censored
remaining_range_09AM,tier|state,T3|PARTIAL_LOOP,39,2.8600000000000856,10.900000000000354,19.599999999999618,37.74999999999973,56.900000000001555,26.905128205128023,26.849999999999376,12.400000000001292,0
remaining_range_12PM,tier|state,MISSING|AR_NO_GO_STATE,10,0.0,0.0,4.450000000000287,15.39999999999986,19.37999999999863,7.829999999999783,15.39999999999986,4.450000000000287,0
remaining_range_12PM,tier|state,T1|BALANCED_ASIA,55,0.0,5.199999999999649,15.000000000000568,21.199999999998997,36.60000000000041,16.312727272727113,15.999999999999348,8.000000000001343,0
remaining_range_12PM,tier|state,T1|ONE_SIDED_DOWN,28,0.0,3.675000000000203,7.749999999999702,20.225000000000385,37.000000000000355,13.46785714285703,16.550000000000182,5.8999999999997925,0
remaining_range_12PM,tier|state,T1|ONE_SIDED_UP,29,0.0,3.699999999999811,10.999999999998785,18.49999999999907,29.819999999999947,12.672413793103468,14.799999999999258,7.500000000000284,0
remaining_range_12PM,tier|state,T1|PARTIAL_LOOP,120,0.0,0.0,7.050000000000665,18.39999999999953,29.74000000000056,12.351666666666556,18.39999999999953,7.050000000000665,0
remaining_range_12PM,tier|state,T2|BALANCED_ASIA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
remaining_range_12PM,tier|state,T2|FULL_LOOP,4,9.140000000001038,9.950000000001348,10.900000000000357,16.474999999999135,25.609999999999022,15.525000000000123,6.524999999997787,1.3999999999991815,0
remaining_range_12PM,tier|state,T2|ONE_SIDED_DOWN,4,2.6100000000004466,6.525000000001116,14.60000000000017,25.94999999999903,35.75999999999935,17.874999999999975,19.424999999997915,10.249999999999426,0
remaining_range_12PM,tier|state,T2|ONE_SIDED_UP,3,1.6599999999997737,4.149999999999434,8.299999999998867,18.500000000000185,24.620000000000978,12.333333333333456,14.350000000000751,8.299999999998867,0
remaining_range_12PM,tier|state,T2|OVER_COMPLETED,13,0.34000000000000796,3.9999999999995595,8.799999999999919,16.400000000000855,36.15999999999975,15.123076923076932,12.400000000001295,7.099999999999881,0
remaining_range_12PM,tier|state,T2|PARTIAL_LOOP,114,0.0,0.6250000000007603,10.100000000000662,22.05000000000068,33.189999999999614,15.028070175438687,21.42499999999992,9.90000000000046,0
remaining_range_12PM,tier|state,T3|FULL_LOOP,6,0.0,0.0,18.299999999999983,56.70000000000008,66.24999999999991,28.183333333333298,56.70000000000008,18.299999999999983,0
remaining_range_12PM,tier|state,T3|OVER_COMPLETED,16,0.0,0.0,1.9500000000005677,13.000000000000233,22.250000000000323,7.837500000000136,13.000000000000233,1.9500000000005677,0
remaining_range_12PM,tier|state,T3|PARTIAL_LOOP,39,0.0,0.0,5.00000000000167,12.6499999999996,25.39999999999943,10.074358974358871,12.6499999999996,5.00000000000167,0
