checkpoint,model,condition,n,quantile,prediction
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|24,4,0.9,44.32999999999909
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|25,2,0.1,45.12999999999812
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|25,2,0.25,54.77499999999802
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|25,2,0.5,70.84999999999786
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|25,2,0.75,86.92499999999771
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|25,2,0.9,96.5699999999976
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|26,3,0.1,28.540000000000454
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|26,3,0.25,32.05000000000013
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|26,3,0.5,37.8999999999996
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|26,3,0.75,58.85000000000029
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|26,3,0.9,71.4200000000007
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|28,2,0.1,22.959999999999425
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|28,2,0.25,24.999999999999467
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|28,2,0.5,28.399999999999537
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|28,2,0.75,31.799999999999606
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|28,2,0.9,33.83999999999965
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|29,4,0.1,64.16999999999916
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|29,4,0.25,65.47499999999872
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|29,4,0.5,73.74999999999798
03AM,B4_TIER_STATE_LOOPS,T1|BALANCED_ASIA|29,4,0.75,106.09999999999786
