label,n,mean,median,std,mad,p1,p5,p10,p25,p50,p75,p90,p95,p97_5,p99,min,max,partition
BTC_basis_h15,142,-4.794436779721649,-4.817736490240481,1.6550414982005581,1.1469760113794536,-8.597969100280562,-7.078966412963724,-6.569100570286414,-5.908510730748625,-4.817736490240481,-3.578721590243534,-2.7204977879184016,-2.394465283639291,-2.0769613466985217,-0.9024111382274629,-11.955968472394527,-0.22775581372255166,
BTC_basis_h16,142,-4.744546944535919,-4.783087417818402,1.5983745258487096,1.0436860955968408,-7.980647225878401,-7.0928600611927415,-6.722410545387458,-5.823678638038705,-4.783087417818402,-3.6942028498339146,-2.7521246357119047,-1.9985673779221798,-1.6356836374359103,-0.5923582388704378,-8.713821949699987,-0.234551830101896,
BTC_basis_h17,142,-4.7327171582398995,-4.882810788875626,1.5878238161420148,1.113700160984042,-7.708488666071486,-7.312373890122503,-6.762177201885453,-5.816604140874091,-4.882810788875626,-3.5481158115361335,-2.651404335066002,-2.185947412201233,-1.5681737634944986,-1.066496557075871,-7.88282074479635,0.2777506191815555,
BTC_basis_h18,142,-4.775827460764694,-4.822507547835153,1.5066463198283786,0.8232152238760055,-9.452205311446718,-7.119692944495756,-6.5668426500383665,-5.560972331827219,-4.822507547835153,-3.968963917486416,-2.852332711588122,-2.1641695206975995,-1.9423836023648247,-1.7849427332141268,-10.401732579662811,-1.3165967501261429,
BTC_basis_h19,142,-4.827990927759687,-4.831890514977216,1.5859589510321843,0.9072438914872201,-8.468351365713056,-7.2951294494109264,-6.817436198009127,-5.677187366652063,-4.831890514977216,-3.9146416562176634,-3.0345205282116763,-1.7938162196361658,-1.3015538009916567,-1.0099226832361858,-9.684352258828175,0.4582706394438327,
BTC_basis_h20,142,-4.700969984907309,-4.633751220578059,1.9809718268216034,1.139464642202452,-9.712407463308521,-7.505512679807735,-6.914292362210537,-5.872781070929079,-4.633751220578059,-3.6688109447440596,-2.4902154399001155,-1.8080373693856306,-0.12634637048158026,0.7337626412203576,-12.454872714703203,2.029077795855838,
BTC_basis_h21,142,-4.879052219933617,-5.037660691257601,2.6748884349398607,0.8489299306428126,-8.816028056134817,-7.265426036128382,-6.68171716963611,-5.652458208174186,-5.037660691257601,-3.9706107465200717,-2.596311663503283,-1.4321017535300524,-0.745226886489043,0.24826515747552266,-29.013614595225647,1.6967080937505874,
BTC_basis_h22,142,-4.991327881440487,-4.889123298076825,4.536961732345255,1.0998883218459428,-8.907545462254634,-7.088764914646974,-6.74708544034047,-5.856407167382853,-4.889123298076825,-3.6371548450966813,-2.3856166896875197,-1.945737119732595,-1.0465441946781764,-0.6479832792099621,-54.82397570309222,0.7001771451032116,
BTC_basis_h23,141,-4.787478174593658,-4.812041462135311,1.6643863827197305,0.9527157826590962,-8.606930631777736,-7.241237675247335,-6.619379447760673,-5.854305555466016,-4.812041462135311,-3.8704581963972786,-2.521385287228326,-1.6987532276497974,-0.9332303711251252,-0.6083664162781999,-9.108675799476018,0.2940766658076993,
BTC_basis_weekend,978,-4.812074775442215,-4.853958520907758,1.4109161086066913,0.8744256747702543,-8.215992335291487,-7.019819733125124,-6.580700785364499,-5.707578604861432,-4.853958520907758,-3.9282402592927315,-3.0227312468739225,-2.5167829395916566,-1.9999486823336845,-1.2611029220988172,-10.160990895317491,0.1410035710389626,weekend
BTC_basis_weekday,2423,-4.722181708423248,-4.755439898807042,1.9529931866881225,0.9438784954429442,-8.774872289814267,-7.159447606340866,-6.574170902189226,-5.643717233294937,-4.755439898807042,-3.7623843427791703,-2.7198093191924144,-2.0554613750108732,-1.3031660069066553,-0.4401417526834983,-54.82397570309222,2.029077795855838,weekday
ETH_basis_h0,141,-4.6839720375522536,-4.661787413687725,1.646122972565116,0.9774393996462445,-9.055223581620153,-7.083560389833137,-6.614214649351489,-5.614714986423099,-4.661787413687725,-3.6147378417692355,-2.801568896896822,-2.117970991714917,-1.762504926618262,-0.6973060400457007,-11.551114962397468,-0.21255566302151507,
ETH_basis_h1,141,-4.883018386497256,-4.945050361237584,1.6031882290116577,1.051609243329414,-8.740085189010511,-7.604957415805242,-6.89566031720222,-5.842382842249886,-4.945050361237584,-3.78830932287561,-2.9546991122535036,-2.1488688675764145,-1.6907699318002638,-1.1586141127662206,-9.125661861688368,-0.9506894666441538,
ETH_basis_h2,141,-4.638276150633399,-4.64218394781281,1.6117885614209688,0.9360617445462172,-8.41427361153339,-6.912579978492225,-6.67368728644072,-5.784083724254256,-4.64218394781281,-3.733668057309258,-2.5722687770294757,-1.8528858750429855,-1.3188943562251585,-0.7686786094076468,-9.662214965607427,0.11649648471968894,
ETH_basis_h3,141,-4.729180837008383,-4.636859616855829,1.6575898406841254,1.042326319888362,-8.488767873295645,-7.542522519702234,-6.997840208535046,-5.679185936744191,-4.636859616855829,-3.6491399195120318,-2.835745884615862,-1.906908637963296,-1.5759751880870607,-0.6817382309551128,-9.025876279083262,-0.19960876682320577,
ETH_basis_h4,141,-4.4818006407232724,-4.565553821789844,1.883169185381615,1.0837462310917783,-8.270432746599695,-7.133443757305197,-6.47327259214914,-5.666175265463087,-4.565553821789844,-3.545627834865062,-2.5395181525299217,-1.7065922732793168,-0.9875582329886484,-0.09519452045530635,-9.519789239809942,6.8256799889456605,
ETH_basis_h5,141,-4.615451157728312,-4.5172047899320615,1.407712105077677,0.7499509419834252,-8.176012616119447,-7.112633315674595,-6.627846665956058,-5.370962752097158,-4.5172047899320615,-3.8562155769085593,-2.9508212539981287,-2.307927742001831,-1.4856308855408724,-1.3122006055187396,-8.319609288472401,-0.9523768302564628,
ETH_basis_h6,142,-4.4579266185942545,-4.56365936050672,1.5990549215825696,1.1155257860281074,-7.8263074030493245,-6.620284060540503,-6.407832343616803,-5.626729925467888,-4.56365936050672,-3.439481805251981,-2.6020633484768707,-1.826787072849747,-1.2921136790213545,-0.7447472256675944,-8.71334499338106,1.6279448395211928,
ETH_basis_h7,142,-4.528651559463796,-4.612846544341467,1.6332204154175605,0.9252820435937887,-8.430759745387334,-6.9179251220075075,-6.3590270853930155,-5.445546814860524,-4.612846544341467,-3.6097647300964804,-2.4408611772448268,-2.0444229183002682,-1.1166632051179548,-0.5639901953478994,-9.560723662555002,1.4798372206070451,
ETH_basis_h8,142,-4.449864298343026,-4.7350848061323365,1.5643331319063583,0.8984726193736208,-7.733550541240495,-6.424989409536069,-6.032187174966075,-5.369108913434882,-4.7350848061323365,-3.6582810116780777,-2.2308174169462247,-1.5171763884051466,-1.1184068197106258,-0.11659426532791639,-7.903232011979952,1.6095715891717406,
ETH_basis_h9,142,-4.584547272209497,-4.481935523991954,1.4199460081679582,0.8698596675218191,-7.928043794940626,-6.903017998296944,-6.374741657353923,-5.453913060234172,-4.481935523991954,-3.818788076968002,-2.9489085433058384,-2.113834739915031,-1.7198856271968777,-1.0810838142137196,-8.277428125663144,-0.703111267645858,
ETH_basis_h10,142,-4.704095900571171,-4.7050029465753065,1.5108869244552303,0.9121643186677189,-8.017559017607319,-7.022517030767795,-6.631395513214208,-5.6229552779324745,-4.7050029465753065,-3.8437991196640624,-2.8656562363992304,-2.0986888689162364,-1.122444007879104,-0.8823671383361784,-8.235183569562878,-0.5287892709898007,
ETH_basis_h11,142,-4.770481894077624,-4.824174815964128,1.6177568018036748,0.9574064207503115,-7.9076092454673255,-7.209741488007326,-6.952499659023457,-5.843253139607343,-4.824174815964128,-3.8920819183176434,-2.7275553811101054,-2.113266003810113,-1.7282909849527188,-0.40263682334359574,-8.95975636308305,-0.344450472361784,
ETH_basis_h12,142,-4.6626413251600765,-4.793688902808824,1.5694959440153222,1.133911021926378,-8.03932132367121,-7.143642438464786,-6.454906721650033,-5.659675661651775,-4.793688902808824,-3.4970887794809293,-2.6661958301127497,-1.8481149742513516,-1.733050284360702,-1.4192259190527226,-10.089954861174828,-1.0127209006124858,
ETH_basis_h13,142,-4.662907724823142,-4.732162611801815,1.7149624422335246,0.9332014953843624,-9.957965866607154,-7.000348111061616,-6.535694785681174,-5.590670621491102,-4.732162611801815,-3.702961925907366,-2.767662825423489,-1.699554311236034,-1.2552429306130317,-0.6359745106620771,-10.717030992994895,1.5902579865677497,
ETH_basis_h14,142,-4.71927337574363,-4.523526233141821,1.9580761309214787,0.9460646103465782,-10.474628460584228,-8.271210441533496,-6.797754353819933,-5.626018514787825,-4.523526233141821,-3.777877148640615,-2.777797024474401,-2.3522370340551184,-1.44106227661617,-0.47608011371691233,-12.034243421529606,3.4992127128534856,
ETH_basis_h15,142,-4.981128509124466,-4.7827744875475355,1.7629816738056083,1.0478299506036572,-10.172164478994413,-7.708760321078951,-7.308407752226259,-5.848259921968413,-4.7827744875475355,-3.824663834141479,-3.0522927059807583,-2.320392924715642,-1.7907784574999557,-1.0637032808784337,-10.657885444056584,-0.2555877880291202,
ETH_basis_h16,142,-4.8738567703992555,-4.86597572263601,1.7665089719713785,1.1152687225095905,-8.980197072091185,-7.713002028668856,-7.166845771981185,-5.8998173015798745,-4.86597572263601,-3.6907886081627224,-2.636397863335823,-2.176570378880989,-1.3186820636667145,-1.1577444544666835,-10.086746870943799,-0.8113118034446883,
ETH_basis_h17,142,-4.87404362812598,-4.791480006335933,1.5573713968322733,0.9397983092106661,-8.465481968298713,-7.494151018330847,-6.934225137905781,-5.782733141554681,-4.791480006335933,-4.021317750662671,-3.047264257869361,-2.6106364332590744,-1.5033734938057908,-0.9579384768309226,-9.664907579015585,-0.8697542949593002,
ETH_basis_h18,142,-4.866389839142001,-4.879699945007644,1.5930098627832012,0.872566641907558,-9.675573296011137,-7.305578547344658,-6.611745164094908,-5.597826028430177,-4.879699945007644,-3.899646100248872,-3.162633633887305,-2.4821837903983326,-2.1165702983707164,-1.704234610647608,-11.682195227797846,-1.4756336028532764,
ETH_basis_h19,142,-4.700336390190083,-4.76387877535339,1.907935016982475,0.9508296616368952,-9.417268490806956,-8.236801354871071,-7.1596881677561175,-5.634256512740771,-4.76387877535339,-3.754209541748056,-2.1381004066269895,-1.5382922736751772,-0.9542259771377963,-0.5681867192965913,-10.320896517141637,0.04731723127963244,
ETH_basis_h20,142,-4.5253927185047385,-4.728914631362036,2.294268421022097,1.2553766334037726,-8.743895546619102,-7.934256123564547,-7.3514211172625625,-5.8558729886312015,-4.728914631362036,-3.380216962363386,-2.0793669579455827,0.11521560846437867,1.2327635195402928,1.8848389630962337,-8.988856466899277,4.924129630019635,
ETH_basis_h21,142,-4.753856543584362,-4.7265983772005455,2.5631601350166386,0.94741622144491,-9.278617319393431,-7.45176411852684,-7.003603630771683,-5.588777292066035,-4.7265983772005455,-3.7132208375823237,-2.7321632976458443,-2.058316334956347,-0.7042337548617077,0.7192724983850273,-24.711255087014745,6.910914160267991,
ETH_basis_h22,142,-5.688381823266792,-4.969984490344714,11.92877399097766,0.9997252129371799,-8.984883148629182,-7.45910086346415,-6.9985945787807875,-5.7265393103068085,-4.969984490344714,-3.599404684726759,-2.605881236517958,-1.660915404958421,-1.0970198002929596,0.32845978194204906,-145.27831826579256,1.8457409579903845,
ETH_basis_h23,141,-4.778040941948063,-4.643420011606489,1.837877057608223,1.0280973349946123,-9.518731198002804,-7.8575715876731005,-6.769936869555172,-6.002065297504896,-4.643420011606489,-3.8214008228988643,-2.819379852332075,-1.78412970157191,-1.4643618444983595,0.0574524902741409,-10.00210186691676,1.6483459915540266,
