strategy_id,family_id,asset,source_state_id,signal_timestamp,decision_timestamp,entry_timestamp,entry_price,direction,execution_object,exit_timestamp,exit_price,exit_reason,invalidation_reason,holding_hours,gross_bps,entry_cost_bps,exit_cost_bps,funding_bps,net_bps,gross_R,net_R,MAE,MFE,state_at_entry,state_at_exit,control_id,effective_episode_id
ALPHA1_S001,FAM_A,BTC,,2026-02-09T04:00:00+00:00,2026-02-09T04:00:00+00:00,2026-02-09T05:00:00+00:00,70961.0,LONG,perp,2026-02-09T05:00:00+00:00,70961.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0008,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-09T11:00:00+00:00,2026-02-09T11:00:00+00:00,2026-02-09T12:00:00+00:00,68880.0,LONG,perp,2026-02-09T12:00:00+00:00,68880.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0033,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-09T13:00:00+00:00,2026-02-09T13:00:00+00:00,2026-02-09T14:00:00+00:00,68550.0,LONG,perp,2026-02-09T14:00:00+00:00,68550.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0101,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-09T17:00:00+00:00,2026-02-09T17:00:00+00:00,2026-02-09T18:00:00+00:00,70572.0,LONG,perp,2026-02-09T18:00:00+00:00,70572.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0026,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-09T22:00:00+00:00,2026-02-09T22:00:00+00:00,2026-02-09T23:00:00+00:00,70325.0,LONG,perp,2026-02-10T00:00:00+00:00,70093.0,STATE_EXIT,,2,-32.9897,2.5,2.5,0.0848,-37.9049,-0.3299,-0.379,-0.0075,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-10T07:00:00+00:00,2026-02-10T07:00:00+00:00,2026-02-10T08:00:00+00:00,68882.0,LONG,perp,2026-02-10T09:00:00+00:00,69099.0,STATE_EXIT,,2,31.5032,2.5,2.5,0.0207,26.5238,0.315,0.2652,0.0,0.0035,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-10T14:00:00+00:00,2026-02-10T14:00:00+00:00,2026-02-10T15:00:00+00:00,68419.0,LONG,perp,2026-02-10T15:00:00+00:00,68419.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0124,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-10T20:00:00+00:00,2026-02-10T20:00:00+00:00,2026-02-10T21:00:00+00:00,68711.0,LONG,perp,2026-02-10T21:00:00+00:00,68711.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0013,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-10T23:00:00+00:00,2026-02-10T23:00:00+00:00,2026-02-11T00:00:00+00:00,68802.0,LONG,perp,2026-02-11T01:00:00+00:00,69163.0,STATE_EXIT,,2,52.4694,2.5,2.5,-0.0477,47.4217,0.5247,0.4742,0.0,0.0052,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-11T03:00:00+00:00,2026-02-11T03:00:00+00:00,2026-02-11T04:00:00+00:00,68145.0,LONG,perp,2026-02-11T04:00:00+00:00,68145.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0087,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-11T05:00:00+00:00,2026-02-11T05:00:00+00:00,2026-02-11T06:00:00+00:00,67364.0,LONG,perp,2026-02-11T07:00:00+00:00,66771.0,STATE_EXIT,,2,-88.0292,2.5,2.5,-0.0131,-93.0423,-0.8803,-0.9304,-0.0088,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-11T15:00:00+00:00,2026-02-11T15:00:00+00:00,2026-02-11T16:00:00+00:00,66482.0,LONG,perp,2026-02-11T18:00:00+00:00,66480.0,STATE_EXIT,,3,-0.3008,2.5,2.5,-0.0957,-5.3966,-0.003,-0.054,-0.0073,0.0115,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-11T20:00:00+00:00,2026-02-11T20:00:00+00:00,2026-02-11T21:00:00+00:00,67509.0,LONG,perp,2026-02-11T21:00:00+00:00,67509.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0039,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-11T22:00:00+00:00,2026-02-11T22:00:00+00:00,2026-02-11T23:00:00+00:00,67397.0,LONG,perp,2026-02-11T23:00:00+00:00,67397.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.005,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-12T00:00:00+00:00,2026-02-12T00:00:00+00:00,2026-02-12T01:00:00+00:00,67421.0,LONG,perp,2026-02-12T03:00:00+00:00,67392.0,STATE_EXIT,,3,-4.3013,2.5,2.5,0.3631,-8.9382,-0.043,-0.0894,-0.0005,0.0034,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-12T04:00:00+00:00,2026-02-12T04:00:00+00:00,2026-02-12T05:00:00+00:00,66979.0,LONG,perp,2026-02-12T07:00:00+00:00,67080.0,STATE_EXIT,,3,15.0794,2.5,2.5,0.2128,10.2922,0.1508,0.1029,0.0,0.0031,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-12T08:00:00+00:00,2026-02-12T08:00:00+00:00,2026-02-12T09:00:00+00:00,67097.0,LONG,perp,2026-02-12T10:00:00+00:00,67510.0,STATE_EXIT,,2,61.5527,2.5,2.5,0.0257,56.5783,0.6155,0.5658,0.0,0.0133,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-13T08:00:00+00:00,2026-02-13T08:00:00+00:00,2026-02-13T09:00:00+00:00,66649.0,LONG,perp,2026-02-13T10:00:00+00:00,66920.0,STATE_EXIT,,2,40.6608,2.5,2.5,-0.0305,35.6302,0.4066,0.3563,0.0,0.0044,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-13T11:00:00+00:00,2026-02-13T11:00:00+00:00,2026-02-13T12:00:00+00:00,67128.0,LONG,perp,2026-02-13T12:00:00+00:00,67128.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0011,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-13T14:00:00+00:00,2026-02-13T14:00:00+00:00,2026-02-13T15:00:00+00:00,67694.0,LONG,perp,2026-02-13T15:00:00+00:00,67694.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0143,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-13T17:00:00+00:00,2026-02-13T17:00:00+00:00,2026-02-13T18:00:00+00:00,69000.0,LONG,perp,2026-02-13T18:00:00+00:00,69000.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0014,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-14T00:00:00+00:00,2026-02-14T00:00:00+00:00,2026-02-14T01:00:00+00:00,69049.0,LONG,perp,2026-02-14T01:00:00+00:00,69049.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0016,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-14T09:00:00+00:00,2026-02-14T09:00:00+00:00,2026-02-14T10:00:00+00:00,69679.0,LONG,perp,2026-02-14T10:00:00+00:00,69679.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0004,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-14T18:00:00+00:00,2026-02-14T18:00:00+00:00,2026-02-14T19:00:00+00:00,69734.0,LONG,perp,2026-02-14T19:00:00+00:00,69734.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0017,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-15T14:00:00+00:00,2026-02-15T14:00:00+00:00,2026-02-15T15:00:00+00:00,69128.0,LONG,perp,2026-02-15T16:00:00+00:00,69060.0,STATE_EXIT,,2,-9.8368,2.5,2.5,-0.0328,-14.8697,-0.0984,-0.1487,-0.002,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-16T12:00:00+00:00,2026-02-16T12:00:00+00:00,2026-02-16T13:00:00+00:00,69722.0,LONG,perp,2026-02-16T13:00:00+00:00,69722.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0195,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-17T08:00:00+00:00,2026-02-17T08:00:00+00:00,2026-02-17T09:00:00+00:00,68139.0,LONG,perp,2026-02-17T09:00:00+00:00,68139.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0007,0.0,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-17T10:00:00+00:00,2026-02-17T10:00:00+00:00,2026-02-17T11:00:00+00:00,67802.0,LONG,perp,2026-02-17T11:00:00+00:00,67802.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0003,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-17T12:00:00+00:00,2026-02-17T12:00:00+00:00,2026-02-17T13:00:00+00:00,67878.0,LONG,perp,2026-02-17T13:00:00+00:00,67878.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0034,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-18T05:00:00+00:00,2026-02-18T05:00:00+00:00,2026-02-18T06:00:00+00:00,67615.0,LONG,perp,2026-02-18T07:00:00+00:00,67813.0,STATE_EXIT,,2,29.2834,2.5,2.5,-0.125,24.1584,0.2928,0.2416,0.0,0.007,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-18T08:00:00+00:00,2026-02-18T08:00:00+00:00,2026-02-18T09:00:00+00:00,68094.0,LONG,perp,2026-02-18T09:00:00+00:00,68094.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,0.0,0.0006,,,ALPHA1_C006,
ALPHA1_S001,FAM_A,BTC,,2026-02-18T10:00:00+00:00,2026-02-18T10:00:00+00:00,2026-02-18T11:00:00+00:00,67760.0,LONG,perp,2026-02-18T11:00:00+00:00,67760.0,STATE_EXIT,,1,0.0,2.5,2.5,0.0,-5.0,0.0,-0.05,-0.0062,0.0,,,ALPHA1_C006,
