variant,boundary,group,stage,bar,at_risk,events,censored,hazard,survival
A2_3OF5,1.0,failed,confirmation,12,3,0,0,0.0,0.02290076335877862
A2_3OF5,1.0,failed,confirmation,24,0,0,0,,0.0
A3_PERS_2,1.0,accepted,confirmation,1,34,14,0,0.4117647058823529,0.5882352941176471
A3_PERS_2,1.0,accepted,confirmation,2,20,6,0,0.3,0.4117647058823529
A3_PERS_2,1.0,accepted,confirmation,3,14,4,0,0.2857142857142857,0.29411764705882354
A3_PERS_2,1.0,accepted,confirmation,6,7,0,0,0.0,0.2058823529411765
A3_PERS_2,1.0,accepted,confirmation,12,3,0,0,0.0,0.08823529411764709
A3_PERS_2,1.0,accepted,confirmation,24,0,0,0,,0.0
A3_PERS_2,1.0,failed,confirmation,1,215,196,0,0.9116279069767442,0.08837209302325577
A3_PERS_2,1.0,failed,confirmation,2,19,8,0,0.42105263157894735,0.0511627906976744
A3_PERS_2,1.0,failed,confirmation,3,11,1,0,0.09090909090909091,0.04651162790697672
A3_PERS_2,1.0,failed,confirmation,6,8,0,0,0.0,0.03720930232558138
A3_PERS_2,1.0,failed,confirmation,12,4,1,0,0.25,0.01395348837209302
A3_PERS_2,1.0,failed,confirmation,24,0,0,0,,0.0
A3_PERS_3,1.0,accepted,confirmation,1,4,2,0,0.5,0.5
A3_PERS_3,1.0,accepted,confirmation,2,2,0,0,0.0,0.5
A3_PERS_3,1.0,accepted,confirmation,3,2,0,0,0.0,0.5
A3_PERS_3,1.0,accepted,confirmation,6,1,0,0,0.0,0.25
A3_PERS_3,1.0,accepted,confirmation,12,0,0,0,,0.0
A3_PERS_3,1.0,accepted,confirmation,24,0,0,0,,0.0
A3_PERS_3,1.0,failed,confirmation,1,248,226,0,0.9112903225806451,0.08870967741935487
A3_PERS_3,1.0,failed,confirmation,2,22,9,0,0.4090909090909091,0.052419354838709686
A3_PERS_3,1.0,failed,confirmation,3,13,1,0,0.07692307692307693,0.04838709677419356
A3_PERS_3,1.0,failed,confirmation,6,8,0,0,0.0,0.032258064516129045
A3_PERS_3,1.0,failed,confirmation,12,4,1,0,0.25,0.012096774193548394
A3_PERS_3,1.0,failed,confirmation,24,0,0,0,,0.0
A3_PERS_4,1.0,accepted,confirmation,1,0,0,0,,1.0
A3_PERS_4,1.0,accepted,confirmation,2,0,0,0,,1.0
A3_PERS_4,1.0,accepted,confirmation,3,0,0,0,,1.0
A3_PERS_4,1.0,accepted,confirmation,6,0,0,0,,1.0
A3_PERS_4,1.0,accepted,confirmation,12,0,0,0,,1.0
A3_PERS_4,1.0,accepted,confirmation,24,0,0,0,,1.0
A3_PERS_4,1.0,failed,confirmation,1,252,228,0,0.9047619047619048,0.09523809523809523
A3_PERS_4,1.0,failed,confirmation,2,24,11,0,0.4583333333333333,0.05158730158730159
A3_PERS_4,1.0,failed,confirmation,3,13,1,0,0.07692307692307693,0.04761904761904762
A3_PERS_4,1.0,failed,confirmation,6,8,0,0,0.0,0.03174603174603175
A3_PERS_4,1.0,failed,confirmation,12,4,1,0,0.25,0.011904761904761908
A3_PERS_4,1.0,failed,confirmation,24,0,0,0,,0.0
A4_RETEST_HOLD,1.0,accepted,confirmation,1,3,2,0,0.6666666666666666,0.33333333333333337
A4_RETEST_HOLD,1.0,accepted,confirmation,2,1,0,0,0.0,0.33333333333333337
A4_RETEST_HOLD,1.0,accepted,confirmation,3,1,0,0,0.0,0.33333333333333337
A4_RETEST_HOLD,1.0,accepted,confirmation,6,0,0,0,,0.0
A4_RETEST_HOLD,1.0,accepted,confirmation,12,0,0,0,,0.0
A4_RETEST_HOLD,1.0,accepted,confirmation,24,0,0,0,,0.0
A4_RETEST_HOLD,1.0,failed,confirmation,1,367,326,0,0.888283378746594,0.11171662125340598
A4_RETEST_HOLD,1.0,failed,confirmation,2,41,16,0,0.3902439024390244,0.06811989100817438
A4_RETEST_HOLD,1.0,failed,confirmation,3,25,3,0,0.12,0.05994550408719346
A4_RETEST_HOLD,1.0,failed,confirmation,6,15,1,0,0.06666666666666667,0.03814713896457766
A4_RETEST_HOLD,1.0,failed,confirmation,12,9,1,0,0.1111111111111111,0.021798365122615803
A4_RETEST_HOLD,1.0,failed,confirmation,24,0,0,0,,0.0
A1_CLOSE,2.0,accepted,confirmation,1,55,21,0,0.38181818181818183,0.6181818181818182
A1_CLOSE,2.0,accepted,confirmation,2,34,9,0,0.2647058823529412,0.4545454545454546
A1_CLOSE,2.0,accepted,confirmation,3,25,7,0,0.28,0.32727272727272727
A1_CLOSE,2.0,accepted,confirmation,6,11,1,0,0.09090909090909091,0.1818181818181818
A1_CLOSE,2.0,accepted,confirmation,12,6,0,0,0.0,0.10909090909090906
A1_CLOSE,2.0,accepted,confirmation,24,0,0,0,,0.0
A1_CLOSE,2.0,failed,confirmation,1,112,78,0,0.6964285714285714,0.3035714285714286
A1_CLOSE,2.0,failed,confirmation,2,34,8,0,0.23529411764705882,0.23214285714285715
A1_CLOSE,2.0,failed,confirmation,3,26,7,0,0.2692307692307692,0.16964285714285715
A1_CLOSE,2.0,failed,confirmation,6,11,1,0,0.09090909090909091,0.08928571428571429
