origin_currency,direction,severity,session,horizon_h,destination,n_events,count,prob,ci_low,ci_high,se,group_by,regime_dispersion,regime_vol,network_state
CHFJPY,,MEDIUM,Asia,1,USD,32,32,0.21875,0.09375,0.375,0.07559811105718564,severity_session,,,
CHFJPY,,MEDIUM,Asia,1,CHF,32,32,0.15625,0.0625,0.28125,0.05726313150348509,severity_session,,,
CHFJPY,,MEDIUM,Asia,1,JPY,32,32,0.21875,0.09375,0.34375,0.07258126077596852,severity_session,,,
CHFJPY,,MEDIUM,London,1,EUR,2,2,0.0,0.0,0.0,0.0,severity_session,,,
CHFJPY,,MEDIUM,London,1,GBP,2,2,0.0,0.0,0.0,0.0,severity_session,,,
CHFJPY,,MEDIUM,London,1,USD,2,2,0.5,0.0,1.0,0.32243381931676457,severity_session,,,
CHFJPY,,MEDIUM,London,1,CHF,2,2,0.5,0.0,1.0,0.32243381931676457,severity_session,,,
CHFJPY,,MEDIUM,London,1,JPY,2,2,0.0,0.0,0.0,0.0,severity_session,,,
CHFJPY,,MEDIUM,NY_Late,1,EUR,18,18,0.1111111111111111,0.0,0.2777777777777778,0.07805198135560416,severity_session,,,
CHFJPY,,MEDIUM,NY_Late,1,GBP,18,18,0.16666666666666666,0.0,0.3888888888888889,0.09484511194706807,severity_session,,,
CHFJPY,,MEDIUM,NY_Late,1,USD,18,18,0.3888888888888889,0.16666666666666666,0.6125000000000004,0.12163932624846002,severity_session,,,
CHFJPY,,MEDIUM,NY_Late,1,CHF,18,18,0.2777777777777778,0.1111111111111111,0.4444444444444444,0.09917419116665584,severity_session,,,
CHFJPY,,MEDIUM,NY_Late,1,JPY,18,18,0.05555555555555555,0.0,0.16666666666666666,0.0561049053735334,severity_session,,,
CHFJPY,,MEDIUM,NY_Overlap,1,EUR,2,2,0.5,0.0,1.0,0.32243381931676457,severity_session,,,
CHFJPY,,MEDIUM,NY_Overlap,1,GBP,2,2,0.0,0.0,0.0,0.0,severity_session,,,
CHFJPY,,MEDIUM,NY_Overlap,1,USD,2,2,0.0,0.0,0.0,0.0,severity_session,,,
CHFJPY,,MEDIUM,NY_Overlap,1,CHF,2,2,0.5,0.0,1.0,0.32243381931676457,severity_session,,,
CHFJPY,,MEDIUM,NY_Overlap,1,JPY,2,2,0.0,0.0,0.0,0.0,severity_session,,,
EUR,ACCUMULATION,LOW,Asia,1,EUR,106,106,0.22641509433962265,0.16037735849056603,0.3018867924528302,0.03989034771809825,severity_session,,,
