cooldown_h,origin_currency,direction,horizon_h,n_events,dominant_destination,top_dest_prob,mean_forward
24,EUR,ACCUMULATION,12,37,USD,0.35135135135135137,-3.750753461571475e-20
24,EUR,ACCUMULATION,24,37,USD,0.2972972972972973,-7.50150692314295e-20
24,EUR,ACCUMULATION,48,37,USD,0.2972972972972973,1.8753767307857375e-20
24,EUR,LIQUIDATION,1,40,USD,0.275,0.0
24,EUR,LIQUIDATION,2,40,USD,0.25,4.336808689942018e-21
24,EUR,LIQUIDATION,4,40,JPY,0.425,-1.734723475976807e-20
24,EUR,LIQUIDATION,6,40,JPY,0.3,-1.734723475976807e-20
24,EUR,LIQUIDATION,8,40,USD,0.3,1.734723475976807e-20
24,EUR,LIQUIDATION,12,40,JPY,0.35,0.0
24,EUR,LIQUIDATION,24,40,JPY,0.275,-6.938893903907229e-20
24,EUR,LIQUIDATION,48,40,GBP,0.25,1.734723475976807e-20
24,EURCHF,,1,35,GBP,0.34285714285714286,-1.2390881971262907e-20
24,EURCHF,,2,35,EUR,0.2571428571428571,-1.486905836551549e-20
24,EURCHF,,4,35,USD,0.2857142857142857,-9.912705577010326e-21
24,EURCHF,,6,35,USD,0.2571428571428571,0.0
24,EURCHF,,8,35,USD,0.2857142857142857,1.9825411154020652e-20
24,EURCHF,,12,35,USD,0.2857142857142857,3.469446951953614e-20
24,EURCHF,,24,35,USD,0.2857142857142857,9.912705577010326e-21
24,EURCHF,,48,35,USD,0.3142857142857143,3.9650822308041305e-20
24,EURGBP,,1,25,JPY,0.36,6.938893903907229e-21
24,EURGBP,,2,25,JPY,0.36,-2.6020852139652107e-21
24,EURGBP,,4,25,GBP,0.32,0.0
24,EURGBP,,6,25,JPY,0.44,5.2041704279304214e-21
24,EURGBP,,8,25,JPY,0.36,-6.418476861114186e-20
24,EURGBP,,12,25,JPY,0.4,1.3877787807814457e-20
24,EURGBP,,24,25,JPY,0.4,-1.214306433183765e-20
24,EURGBP,,48,25,JPY,0.36,-5.204170427930421e-20
24,EURJPY,,1,26,JPY,0.38461538461538464,-6.672013369141566e-21
24,EURJPY,,2,26,JPY,0.34615384615384615,-1.167602339599774e-20
24,EURJPY,,4,26,JPY,0.2692307692307692,-1.751403509399661e-20
24,EURJPY,,6,26,JPY,0.46153846153846156,0.0
24,EURJPY,,8,26,JPY,0.4230769230769231,1.3344026738283132e-20
24,EURJPY,,12,26,JPY,0.34615384615384615,0.0
24,EURJPY,,24,26,USD,0.46153846153846156,4.0032080214849397e-20
24,EURJPY,,48,26,USD,0.34615384615384615,3.336006684570783e-21
24,EURUSD,,1,30,GBP,0.3,1.807003620809174e-21
24,EURUSD,,2,30,JPY,0.3333333333333333,5.782411586589357e-21
24,EURUSD,,4,30,JPY,0.3333333333333333,-3.469446951953614e-20
24,EURUSD,,6,30,USD,0.3333333333333333,1.1564823173178715e-20
24,EURUSD,,8,30,USD,0.4,-2.8912057932946785e-20
24,EURUSD,,12,30,USD,0.5,-1.1564823173178715e-20
24,EURUSD,,24,30,USD,0.3,-4.625929269271486e-20
24,EURUSD,,48,30,USD,0.3,4.625929269271486e-20
24,GBP,ACCUMULATION,1,17,JPY,0.35294117647058826,1.3393085660115055e-20
24,GBP,ACCUMULATION,2,17,JPY,0.35294117647058826,-2.1923205693640716e-21
24,GBP,ACCUMULATION,4,17,JPY,0.35294117647058826,1.5944149595375065e-21
24,GBP,ACCUMULATION,6,17,JPY,0.29411764705882354,-2.0089628490172583e-20
24,GBP,ACCUMULATION,8,17,JPY,0.35294117647058826,-4.432473587514268e-20
24,GBP,ACCUMULATION,12,17,JPY,0.4117647058823529,1.2755319676300052e-20
24,GBP,ACCUMULATION,24,17,JPY,0.4117647058823529,-5.102127870520021e-21
24,GBP,ACCUMULATION,48,17,JPY,0.35294117647058826,-1.8367660333872075e-19
24,GBP,LIQUIDATION,1,40,GBP,0.375,8.673617379884036e-21
24,GBP,LIQUIDATION,2,40,GBP,0.3,0.0
24,GBP,LIQUIDATION,4,40,GBP,0.275,8.673617379884036e-21
24,GBP,LIQUIDATION,6,40,JPY,0.3,0.0
24,GBP,LIQUIDATION,8,40,GBP,0.325,0.0
24,GBP,LIQUIDATION,12,40,GBP,0.325,-5.204170427930421e-20
24,GBP,LIQUIDATION,24,40,JPY,0.3,-6.071532165918825e-20
24,GBP,LIQUIDATION,48,40,JPY,0.25,-1.0408340855860842e-19
24,GBPCHF,,1,39,GBP,0.3333333333333333,0.0
24,GBPCHF,,2,39,GBP,0.3333333333333333,-8.896017825522088e-21
24,GBPCHF,,4,39,GBP,0.358974358974359,-1.7792035651044175e-20
24,GBPCHF,,6,39,GBP,0.358974358974359,0.0
24,GBPCHF,,8,39,GBP,0.2564102564102564,-8.896017825522088e-21
24,GBPCHF,,12,39,GBP,0.3076923076923077,-8.896017825522088e-21
24,GBPCHF,,24,39,USD,0.38461538461538464,0.0
24,GBPCHF,,48,39,USD,0.4358974358974359,5.337610695313253e-20
24,GBPJPY,,1,17,JPY,0.29411764705882354,-2.5510639352600104e-21
24,GBPJPY,,2,17,USD,0.29411764705882354,5.102127870520021e-21
24,GBPJPY,,4,17,USD,0.29411764705882354,8.290957789595035e-21
24,GBPJPY,,6,17,JPY,0.35294117647058826,-1.5306383611560062e-20
24,GBPJPY,,8,17,EUR,0.35294117647058826,-2.5510639352600104e-21
24,GBPJPY,,12,17,JPY,0.29411764705882354,-2.48728733687851e-20
24,GBPJPY,,24,17,JPY,0.4117647058823529,2.2959575417340094e-20
24,GBPJPY,,48,17,JPY,0.29411764705882354,1.6071702792138066e-19
24,GBPUSD,,1,57,USD,0.22807017543859648,0.0
24,GBPUSD,,2,57,GBP,0.2807017543859649,6.3080853671883894e-21
24,GBPUSD,,4,57,GBP,0.24561403508771928,0.0
24,GBPUSD,,6,57,GBP,0.3157894736842105,-6.3080853671883894e-21
24,GBPUSD,,8,57,GBP,0.2807017543859649,2.5232341468753558e-20
24,GBPUSD,,12,57,JPY,0.24561403508771928,-2.5232341468753558e-20
24,GBPUSD,,24,57,GBP,0.2631578947368421,0.0
24,GBPUSD,,48,57,GBP,0.24561403508771928,-1.8586322956894362e-20
24,JPY,ACCUMULATION,1,30,USD,0.4,0.0
24,JPY,ACCUMULATION,2,30,GBP,0.26666666666666666,0.0
24,JPY,ACCUMULATION,4,30,JPY,0.36666666666666664,-2.312964634635743e-20
24,JPY,ACCUMULATION,6,30,JPY,0.3,-1.734723475976807e-20
24,JPY,ACCUMULATION,8,30,JPY,0.3333333333333333,1.1564823173178715e-20
24,JPY,ACCUMULATION,12,30,GBP,0.3,-4.625929269271486e-20
24,JPY,ACCUMULATION,24,30,GBP,0.26666666666666666,-2.312964634635743e-20
24,JPY,ACCUMULATION,48,30,JPY,0.3333333333333333,2.312964634635743e-20
24,JPY,LIQUIDATION,1,23,USD,0.391304347826087,-1.791290545845616e-20
24,JPY,LIQUIDATION,2,23,USD,0.2608695652173913,-1.1313413973761785e-20
24,JPY,LIQUIDATION,4,23,USD,0.391304347826087,-3.7711379912539285e-21
24,JPY,LIQUIDATION,6,23,USD,0.391304347826087,-2.262682794752357e-20
24,JPY,LIQUIDATION,8,23,USD,0.34782608695652173,-1.5084551965015714e-20
24,JPY,LIQUIDATION,12,23,GBP,0.34782608695652173,-1.1313413973761785e-20
24,JPY,LIQUIDATION,24,23,GBP,0.30434782608695654,0.0
24,JPY,LIQUIDATION,48,23,GBP,0.391304347826087,-1.5084551965015714e-20
24,USD,ACCUMULATION,1,19,USD,0.3684210526315789,5.706327223607918e-21
24,USD,ACCUMULATION,2,19,EUR,0.3157894736842105,-4.565061778886334e-21
24,USD,ACCUMULATION,4,19,GBP,0.3157894736842105,-3.423796334164751e-21
24,USD,ACCUMULATION,6,19,USD,0.3157894736842105,1.0271389002494253e-20
24,USD,ACCUMULATION,8,19,USD,0.3157894736842105,1.1412654447215836e-20
24,USD,ACCUMULATION,12,19,EUR,0.3157894736842105,8.217111201995402e-20
24,USD,ACCUMULATION,24,19,CHF,0.3684210526315789,-1.3695185336659004e-20
24,USD,ACCUMULATION,48,19,GBP,0.42105263157894735,-9.130123557772668e-20
24,USD,LIQUIDATION,1,20,JPY,0.3,5.9631119486702744e-21
24,USD,LIQUIDATION,2,20,JPY,0.35,-2.222614453595284e-20
24,USD,LIQUIDATION,4,20,USD,0.35,1.4094628242311558e-20
24,USD,LIQUIDATION,6,20,USD,0.4,-1.3010426069826053e-20
24,USD,LIQUIDATION,8,20,GBP,0.3,4.0115480381963664e-20
24,USD,LIQUIDATION,12,20,GBP,0.25,3.496552006265752e-20
24,USD,LIQUIDATION,24,20,JPY,0.25,5.366800753803247e-20
24,USD,LIQUIDATION,48,20,GBP,0.35,-7.209944447028605e-20
24,USDCHF,,1,54,USD,0.35185185185185186,6.4249017628770636e-21
24,USDCHF,,2,54,USD,0.3333333333333333,-6.4249017628770636e-21
24,USDCHF,,4,54,USD,0.42592592592592593,6.4249017628770636e-21
24,USDCHF,,6,54,USD,0.4074074074074074,-1.6062254407192657e-20
24,USDCHF,,8,54,USD,0.2962962962962963,6.4249017628770636e-21
24,USDCHF,,12,54,USD,0.25925925925925924,3.854941057726238e-20
24,USDCHF,,24,54,USD,0.37037037037037035,-6.4249017628770636e-21
24,USDCHF,,48,54,USD,0.4074074074074074,-3.854941057726238e-20
24,USDJPY,,1,34,USD,0.2647058823529412,-1.0204255741040042e-20
24,USDJPY,,2,34,USD,0.3235294117647059,0.0
24,USDJPY,,4,34,USD,0.35294117647058826,2.0408511482080083e-20
24,USDJPY,,6,34,JPY,0.3235294117647059,-1.0204255741040042e-20
24,USDJPY,,8,34,JPY,0.29411764705882354,-2.0408511482080083e-20
24,USDJPY,,12,34,USD,0.29411764705882354,-2.0408511482080083e-20
24,USDJPY,,24,34,USD,0.38235294117647056,2.0408511482080083e-20
24,USDJPY,,48,34,USD,0.4411764705882353,-4.0817022964160166e-20
24,,,1,58,GBP,0.41379310344827586,1.1963610179150394e-20
24,,,2,58,GBP,0.3275862068965517,-1.1963610179150394e-20
24,,,4,58,JPY,0.29310344827586204,-8.972707634362795e-21
24,,,6,58,JPY,0.3275862068965517,-1.794541526872559e-20
24,,,8,58,GBP,0.3275862068965517,-1.3459061451544193e-20
24,,,12,58,JPY,0.29310344827586204,2.3927220358300787e-20
24,,,24,58,USD,0.2413793103448276,-7.178166107490236e-20
24,,,48,58,USD,0.3103448275862069,0.0
