date,time,open,high,low,close,tickvol,spread
2021.09.10,00:00:00,3434.52,3512.2,3204.56,3244.64,163399.0,0
2021.09.11,00:00:00,3251.26,3345.22,3144.66,3292.72,162320.0,0
2021.09.12,00:00:00,3296.88,3470.9,3228.34,3317.24,141918.0,0
2021.09.13,00:00:00,3318.16,3445.08,3107.62,3286.52,177703.0,0
2021.09.14,00:00:00,3284.18,3407.14,3261.42,3373.36,140025.0,0
2021.09.15,00:00:00,3372.16,3572.88,3329.56,3552.26,133067.0,0
2021.09.16,00:00:00,3558.44,3673.86,3479.2,3494.48,136635.0,0
2021.09.17,00:00:00,3516.12,3592.92,3357.44,3373.32,137098.0,0
2021.09.18,00:00:00,3347.34,3540.18,3346.96,3393.08,116942.0,0
2021.09.19,00:00:00,3389.62,3455.08,3283.58,3356.42,118455.0,0
2021.09.20,00:00:00,3360.4,3361.5,2912.36,3015.22,179972.0,0
2021.09.21,00:00:00,3010.5,3103.2,2747.38,2761.78,191838.0,0
2021.09.22,00:00:00,2736.6,3087.4,2647.52,3024.72,194381.0,0
2021.09.23,00:00:00,3026.72,3171.74,3012.36,3139.32,173162.0,0
2021.09.24,00:00:00,3144.52,3161.78,2730.96,2942.46,189769.0,0
2021.09.25,00:00:00,2957.88,2979.3,2797.5,2919.12,176479.0,0
2021.09.26,00:00:00,2915.46,3098.48,2738.32,3085.44,179000.0,0
2021.09.27,00:00:00,3080.05,3163.96,2949.44,2950.08,167123.0,0
2021.09.28,00:00:00,2960.04,3026.26,2789.06,2859.64,165429.0,0
2021.09.29,00:00:00,2867.04,2946.38,2778.68,2818.64,146513.0,0
2021.09.30,00:00:00,2826.68,3045.56,2802.34,2969.12,152373.0,0
2021.10.01,00:00:00,2977.66,3317.04,2929.36,3289.58,149933.0,0
2021.10.02,00:00:00,3284.15,3466.5,3256.18,3423.92,132551.0,0
2021.10.03,00:00:00,3428.55,3486.36,3341.3,3420.98,125246.0,0
2021.10.04,00:00:00,3414.75,3434.9,3264.32,3380.18,162698.0,0
2021.10.05,00:00:00,3390.42,3529.0,3354.04,3520.96,146108.0,0
2021.10.06,00:00:00,3517.06,3626.84,3342.06,3557.65,174018.0,0
2021.10.07,00:00:00,3563.99,3640.0,3470.87,3621.53,202418.0,0
2021.10.08,00:00:00,3625.48,3666.78,3538.55,3551.02,188156.0,0
2021.10.09,00:00:00,3557.96,3631.94,3548.47,3576.45,112387.0,0
2021.10.10,00:00:00,3569.81,3602.64,3473.82,3510.51,161932.0,0
2021.10.11,00:00:00,3448.54,3619.49,3369.54,3488.24,120843.0,0
2021.10.12,00:00:00,3477.84,3544.84,3399.64,3474.64,121027.0,0
2021.10.13,00:00:00,3464.34,3583.14,3408.34,3570.24,115598.0,0
2021.10.14,00:00:00,3574.24,3822.54,3564.74,3754.14,106522.0,0
2021.10.15,00:00:00,3762.64,3898.49,3730.64,3877.46,87001.0,0
2021.10.16,00:00:00,3871.89,3965.94,3801.0,3828.2,129807.0,0
2021.10.17,00:00:00,3824.63,3915.62,3636.88,3694.06,118725.0,0
2021.10.18,00:00:00,3696.54,3890.64,3672.44,3729.64,119232.0,0
2021.10.19,00:00:00,3727.94,3857.14,3710.24,3802.04,94054.0,0
2021.10.20,00:00:00,3809.34,4133.94,3800.04,4104.34,85928.0,0
2021.10.21,00:00:00,4102.04,4370.34,4004.74,4086.24,178676.0,0
2021.10.22,00:00:00,4099.64,4165.14,3885.34,3973.26,108329.0,0
2021.10.22,09:00:00,4136.57,4142.5,4131.56,4141.11,613.0,41.0
2021.10.22,10:00:00,4141.1,4155.66,4132.57,4144.9,4788.0,41.0
2021.10.22,11:00:00,4144.9,4153.41,4111.91,4121.37,4514.0,41.0
2021.10.22,12:00:00,4122.6,4126.31,4089.42,4109.72,6019.0,41.0
2021.10.22,13:00:00,4109.72,4134.92,4103.52,4124.44,4902.0,41.0
2021.10.22,14:00:00,4124.63,4140.7,4107.31,4136.94,5144.0,41.0
2021.10.22,15:00:00,4136.94,4144.72,4059.05,4063.61,5141.0,41.0
2021.10.22,16:00:00,4063.6,4065.54,3974.41,4025.19,9519.0,40.0
2021.10.22,17:00:00,4025.29,4037.29,3959.02,3965.01,7233.0,40.0
2021.10.22,18:00:00,3963.02,3983.84,3891.0,3970.31,8984.0,39.0
2021.10.22,19:00:00,3969.71,3976.49,3931.93,3934.23,7271.0,39.0
2021.10.22,20:00:00,3934.23,3972.16,3913.74,3956.43,6943.0,39.0
2021.10.22,21:00:00,3956.44,3983.64,3938.93,3982.46,6226.0,39.0
2021.10.22,22:00:00,3982.46,3997.92,3970.67,3976.5,4687.0,40.0
2021.10.23,00:00:00,3977.25,4125.06,3923.98,4084.82,122174.0,0
2021.10.24,00:00:00,4086.45,4183.04,3957.38,4064.06,144525.0,0
2021.10.25,00:00:00,4075.83,4092.54,4058.14,4072.19,6499.0,41.0
