n,coverage,win_rate,expectancy_bps,median_bps,profit_factor,mfe_bps,mae_bps,time_to_mfe_h,time_to_mae_h,failure_rate,family,sequence_code,eligible,status,expect_ci_low,expect_ci_high,expect_se
2,0.008032128514056224,0.5,0.25303367473012583,0.25303367473012583,1.1662872044762356,11.413536452480331,-9.300965422067561,2.0,2.0,0.5,B,PO-TO-PA,False,exploratory,,,
2,0.008032128514056224,0.0,-22.79243205212746,-22.79243205212746,0.0,8.288603061617792,-22.36121673855819,6.0,3.0,1.0,B,RA,False,exploratory,,,
2,0.008032128514056224,0.5,29.494011665416693,29.494011665416693,25.427559228252303,35.67553542100662,-4.789001458312847,2.0,5.0,0.5,B,PO-PA-PA-PO,False,exploratory,,,
2,0.008032128514056224,0.5,0.09401973405759412,0.09401973405759412,1.0673952725786577,13.6243492566688,-9.348243851958836,2.0,4.0,0.5,B,PO-PO-PA,False,exploratory,,,
2,0.008032128514056224,0.0,-25.264933660514295,-25.264933660514295,0.0,1.6247564883112264,-32.42239035774183,5.0,2.0,1.0,B,PO-PO-PA-PO,False,exploratory,,,
2,0.009523809523809525,0.5,-2.882059935512003,-2.882059935512003,0.16145924746363235,12.031466405814985,-10.024981939535868,2.0,2.5,0.5,A,PO-TO-PA-PA,False,exploratory,,,
2,0.009523809523809525,1.0,29.021378984484684,29.021378984484684,,36.45703112832402,0.0,5.0,1.0,0.0,A,PO-TO,False,exploratory,,,
2,0.009523809523809525,1.0,15.56955048835554,15.56955048835554,,23.107377836700536,0.0,4.5,1.0,0.0,A,PO-PA-PO-PO,False,exploratory,,,
2,0.008032128514056224,0.5,-0.10674627270396186,-0.10674627270396186,0.9916582863101724,14.622979660995796,-15.856574481363475,3.0,2.5,0.5,B,PA-MA-MO-PA,False,exploratory,,,
2,0.008032128514056224,1.0,39.879716635460994,39.879716635460994,,42.76170349869248,-5.3429877576033915,1.5,4.5,0.0,B,PA-PO-PA,False,exploratory,,,
2,0.008032128514056224,0.5,5.931404289884991,5.931404289884991,1.3496134593938558,25.616566967364065,-15.807138365559428,3.5,4.5,0.5,B,PA-PA-PO-PO,False,exploratory,,,
2,0.009523809523809525,0.0,-16.29666779009217,-16.29666779009217,0.0,0.6356582196882904,-24.75083505070053,2.0,4.5,1.0,A,PA-TA-TA-PA,False,exploratory,,,
2,0.009523809523809525,0.5,-0.4858394933172274,-0.4858394933172274,0.9464559759802067,18.91941709449703,-9.972148413668982,2.5,3.0,0.5,A,PA-PA-PO-TO,False,exploratory,,,
2,0.009523809523809525,1.0,41.367070693444816,41.367070693444816,,43.40988572759327,0.0,4.5,1.0,0.0,A,PA-PO-PA-PO,False,exploratory,,,
2,0.009523809523809525,1.0,26.264101858235964,26.264101858235964,,30.823063661616843,0.0,4.0,1.0,0.0,A,PA-PO-PA-PA,False,exploratory,,,
2,0.008032128514056224,1.0,11.797271038199856,11.797271038199856,,18.655357477108286,-4.932352221224593,1.5,4.5,0.0,B,MA-PA-TA,False,exploratory,,,
2,0.009523809523809525,0.5,-4.249731192231883,-4.249731192231883,0.7248486879209511,14.978179957553431,-21.7721585389719,4.5,3.5,0.5,A,PO-PO-MO-MA,False,exploratory,,,
2,0.009523809523809525,0.5,15.457219445232015,15.457219445232015,15.523328433062211,27.222173310129094,-0.27344711337902095,4.0,4.0,0.5,A,PO-PA,False,exploratory,,,
2,0.009523809523809525,1.0,26.50656560996648,26.50656560996648,,31.87586575569287,-3.8089603783696178,4.0,2.0,0.0,A,PO-MO-MA,False,exploratory,,,
1,0.004761904761904762,1.0,62.42125349831002,62.42125349831002,,64.53880718292884,0.0,6.0,1.0,0.0,A,PA-PA-PA-TA,False,exploratory,,,
1,0.004761904761904762,1.0,82.10500399121135,82.10500399121135,,82.9637669363392,0.0,6.0,1.0,0.0,A,MA-MO-PO,False,exploratory,,,
1,0.004761904761904762,1.0,19.267511028331782,19.267511028331782,,21.305409232542072,-8.625861895088685,6.0,2.0,0.0,A,MA-PA-PO-PA,False,exploratory,,,
1,0.004761904761904762,0.0,-24.93248699567093,-24.93248699567093,0.0,14.184639333645523,-22.14333653234807,2.0,6.0,1.0,A,MA-PO-MO,False,exploratory,,,
1,0.004761904761904762,1.0,21.045786090578183,21.045786090578183,,21.809425380581395,0.0,6.0,1.0,0.0,A,MA-MO-MA-PA,False,exploratory,,,
1,0.004761904761904762,1.0,2.1295840876376766,2.1295840876376766,,18.064426270224274,-0.7342846643012219,2.0,5.0,0.0,A,PA-PA-PA-PO,False,exploratory,,,
1,0.004761904761904762,1.0,17.68273009929032,17.68273009929032,,29.483936489313535,-2.0141964739659155,4.0,2.0,0.0,A,PA-PA-PA-PA,False,exploratory,,,
1,0.004761904761904762,1.0,94.47326646759014,94.47326646759014,,99.8437479835442,0.0,6.0,1.0,0.0,A,PA-PA,False,exploratory,,,
1,0.004761904761904762,1.0,14.228808692459586,14.228808692459586,,18.825397862466886,-11.089860616783941,5.0,2.0,0.0,A,MO-PO-TO-TO,False,exploratory,,,
1,0.004761904761904762,1.0,8.633491424858049,8.633491424858049,,20.297997361535433,0.0,3.0,1.0,0.0,A,MO-RO-RO-RO,False,exploratory,,,
1,0.004761904761904762,0.0,-34.63642683059073,-34.63642683059073,0.0,0.0,-44.86881970649222,1.0,5.0,1.0,A,MO-MA-MO-PO,False,exploratory,,,
1,0.004761904761904762,0.0,-9.269946869948166,-9.269946869948166,0.0,0.0,-22.31587681961747,1.0,4.0,1.0,A,MO-MO-MO-MO,False,exploratory,,,
1,0.004761904761904762,1.0,7.1532501437111184,7.1532501437111184,,25.05348104866074,0.0,3.0,1.0,0.0,A,MO-MA-MA-MA,False,exploratory,,,
1,0.004761904761904762,0.0,-3.338824360030833,-3.338824360030833,0.0,17.16211687128631,-3.016793708149436,3.0,6.0,1.0,A,MA-MO,False,exploratory,,,
1,0.004761904761904762,0.0,-2.7815866482589255,-2.7815866482589255,0.0,0.0,-16.521215438500864,1.0,5.0,1.0,A,MA-MO-PA,False,exploratory,,,
1,0.004761904761904762,1.0,14.662750844535395,14.662750844535395,,24.67160725330315,0.0,3.0,1.0,0.0,A,MA-MO-PA-MA,False,exploratory,,,
1,0.004761904761904762,1.0,15.52034792333315,15.52034792333315,,21.428315392518446,-1.137937397029115,5.0,2.0,0.0,A,MA-MO-RO-RO,False,exploratory,,,
1,0.004761904761904762,1.0,28.757195551377265,28.757195551377265,,29.01641074677949,0.0,6.0,1.0,0.0,A,PA-PO-TO-PA,False,exploratory,,,
1,0.004761904761904762,0.0,-7.469916826842571,-7.469916826842571,0.0,0.0,-13.050510279299026,1.0,2.0,1.0,A,PA-PO,False,exploratory,,,
1,0.004761904761904762,0.0,-20.987283466223072,-20.987283466223072,0.0,8.931425949558422,-20.357415579735957,2.0,6.0,1.0,A,PA-PO-PO-PA,False,exploratory,,,
1,0.004016064257028112,0.0,-0.2567785320854048,-0.2567785320854048,0.0,15.736586687815187,-7.297086088681042,5.0,2.0,1.0,B,MO-RO-RO-RO,False,exploratory,,,
1,0.004016064257028112,0.0,-17.412646884451974,-17.412646884451974,0.0,2.12641425163555,-16.11424010923244,6.0,5.0,1.0,B,MO-PO-PO-PO,False,exploratory,,,
1,0.004016064257028112,1.0,127.51149264818152,127.51149264818152,,129.18316801367706,0.0,1.0,6.0,0.0,B,MO-PO,False,exploratory,,,
1,0.004016064257028112,1.0,24.32308183811573,24.32308183811573,,27.900417022397594,-4.12751660808406,2.0,4.0,0.0,B,MO-PA-MA-MO,False,exploratory,,,
1,0.004016064257028112,1.0,9.74901129244157,9.74901129244157,,16.47586852007955,-6.47988558923447,2.0,4.0,0.0,B,MO-MA-MO-PA,False,exploratory,,,
