asset,axis,horizon_hours,current_state,next_state,count,prob,next_state_entropy,note
BTC,relative_state,4,ETH_LED,ETH_LED,269,0.42902711323763953,1.3465199915902488,
BTC,relative_state,4,ETH_LED,SYNCHRONIZED,301,0.4800637958532695,1.3465199915902488,
BTC,relative_state,4,SYNCHRONIZED,BTC_LED,426,0.24287343215507412,1.3688475567155245,
BTC,relative_state,4,SYNCHRONIZED,ETH_LED,286,0.1630558722919042,1.3688475567155245,
BTC,relative_state,4,SYNCHRONIZED,SYNCHRONIZED,1042,0.5940706955530216,1.3688475567155245,
BTC,relative_state,8,BTC_LED,BTC_LED,469,0.4634387351778656,1.3679959662173777,
BTC,relative_state,8,BTC_LED,ETH_LED,101,0.09980237154150198,1.3679959662173777,
BTC,relative_state,8,BTC_LED,SYNCHRONIZED,442,0.4367588932806324,1.3679959662173777,
BTC,relative_state,8,ETH_LED,BTC_LED,89,0.1419457735247209,1.4299632706826073,
BTC,relative_state,8,ETH_LED,ETH_LED,224,0.3572567783094099,1.4299632706826073,
BTC,relative_state,8,ETH_LED,SYNCHRONIZED,314,0.5007974481658692,1.4299632706826073,
BTC,relative_state,8,SYNCHRONIZED,BTC_LED,459,0.26168757126567843,1.4068105925105707,
BTC,relative_state,8,SYNCHRONIZED,ETH_LED,301,0.17160775370581527,1.4068105925105707,
BTC,relative_state,8,SYNCHRONIZED,SYNCHRONIZED,994,0.5667046750285063,1.4068105925105707,
BTC,relative_state,24,BTC_LED,BTC_LED,389,0.38514851485148516,1.4090169514319597,
BTC,relative_state,24,BTC_LED,ETH_LED,126,0.12475247524752475,1.4090169514319597,
BTC,relative_state,24,BTC_LED,SYNCHRONIZED,495,0.4900990099009901,1.4090169514319597,
BTC,relative_state,24,ETH_LED,BTC_LED,122,0.19457735247208932,1.473072477357985,
BTC,relative_state,24,ETH_LED,ETH_LED,184,0.2934609250398724,1.473072477357985,
BTC,relative_state,24,ETH_LED,SYNCHRONIZED,321,0.5119617224880383,1.473072477357985,
BTC,relative_state,24,SYNCHRONIZED,BTC_LED,505,0.29022988505747127,1.4432394253827536,
BTC,relative_state,24,SYNCHRONIZED,ETH_LED,307,0.1764367816091954,1.4432394253827536,
BTC,relative_state,24,SYNCHRONIZED,SYNCHRONIZED,928,0.5333333333333333,1.4432394253827536,
BTC,systemic_state,1,BTC_SPECIFIC,BTC_SPECIFIC,198,0.5103092783505154,1.388950702061528,
BTC,systemic_state,1,BTC_SPECIFIC,ETH_SPECIFIC,11,0.028350515463917526,1.388950702061528,
BTC,systemic_state,1,BTC_SPECIFIC,NORMAL_CROSS_STATE,159,0.4097938144329897,1.388950702061528,
BTC,systemic_state,1,BTC_SPECIFIC,SYSTEMIC_STRESS,20,0.05154639175257732,1.388950702061528,
BTC,systemic_state,1,ETH_SPECIFIC,BTC_SPECIFIC,13,0.04,1.561800041262883,
BTC,systemic_state,1,ETH_SPECIFIC,ETH_SPECIFIC,159,0.48923076923076925,1.561800041262883,
BTC,systemic_state,1,ETH_SPECIFIC,NORMAL_CROSS_STATE,119,0.36615384615384616,1.561800041262883,
BTC,systemic_state,1,ETH_SPECIFIC,SYSTEMIC_STRESS,34,0.10461538461538461,1.561800041262883,
BTC,systemic_state,1,NORMAL_CROSS_STATE,BTC_SPECIFIC,154,0.061014263074484945,0.7045878682339795,
BTC,systemic_state,1,NORMAL_CROSS_STATE,ETH_SPECIFIC,122,0.04833597464342314,0.7045878682339795,
BTC,systemic_state,1,NORMAL_CROSS_STATE,NORMAL_CROSS_STATE,2215,0.8775752773375595,0.7045878682339795,
BTC,systemic_state,1,NORMAL_CROSS_STATE,SYSTEMIC_STRESS,33,0.013074484944532488,0.7045878682339795,
BTC,systemic_state,1,SYSTEMIC_STRESS,BTC_SPECIFIC,23,0.1411042944785276,1.8256839061948615,
BTC,systemic_state,1,SYSTEMIC_STRESS,ETH_SPECIFIC,33,0.20245398773006135,1.8256839061948615,
BTC,systemic_state,1,SYSTEMIC_STRESS,NORMAL_CROSS_STATE,30,0.18404907975460122,1.8256839061948615,
BTC,systemic_state,1,SYSTEMIC_STRESS,SYSTEMIC_STRESS,77,0.4723926380368098,1.8256839061948615,
BTC,systemic_state,4,BTC_SPECIFIC,BTC_SPECIFIC,142,0.36597938144329895,1.4548892197084462,
BTC,systemic_state,4,BTC_SPECIFIC,ETH_SPECIFIC,13,0.03350515463917526,1.4548892197084462,
BTC,systemic_state,4,BTC_SPECIFIC,NORMAL_CROSS_STATE,205,0.5283505154639175,1.4548892197084462,
BTC,systemic_state,4,BTC_SPECIFIC,SYSTEMIC_STRESS,28,0.07216494845360824,1.4548892197084462,
BTC,systemic_state,4,ETH_SPECIFIC,BTC_SPECIFIC,17,0.052307692307692305,1.5941977397825082,
BTC,systemic_state,4,ETH_SPECIFIC,ETH_SPECIFIC,117,0.36,1.5941977397825082,
BTC,systemic_state,4,ETH_SPECIFIC,NORMAL_CROSS_STATE,158,0.48615384615384616,1.5941977397825082,
BTC,systemic_state,4,ETH_SPECIFIC,SYSTEMIC_STRESS,33,0.10153846153846154,1.5941977397825082,
BTC,systemic_state,4,NORMAL_CROSS_STATE,BTC_SPECIFIC,203,0.08045977011494253,0.8653816159869304,
BTC,systemic_state,4,NORMAL_CROSS_STATE,ETH_SPECIFIC,158,0.06262386048355133,0.8653816159869304,
BTC,systemic_state,4,NORMAL_CROSS_STATE,NORMAL_CROSS_STATE,2114,0.8378913991280222,0.8653816159869304,
BTC,systemic_state,4,NORMAL_CROSS_STATE,SYSTEMIC_STRESS,48,0.019024970273483946,0.8653816159869304,
BTC,systemic_state,4,SYSTEMIC_STRESS,BTC_SPECIFIC,26,0.16149068322981366,1.9503865930463808,
BTC,systemic_state,4,SYSTEMIC_STRESS,ETH_SPECIFIC,37,0.22981366459627328,1.9503865930463808,
BTC,systemic_state,4,SYSTEMIC_STRESS,NORMAL_CROSS_STATE,43,0.2670807453416149,1.9503865930463808,
BTC,systemic_state,4,SYSTEMIC_STRESS,SYSTEMIC_STRESS,55,0.3416149068322981,1.9503865930463808,
BTC,systemic_state,8,BTC_SPECIFIC,BTC_SPECIFIC,100,0.25773195876288657,1.3943300581394937,
BTC,systemic_state,8,BTC_SPECIFIC,ETH_SPECIFIC,21,0.05412371134020619,1.3943300581394937,
BTC,systemic_state,8,BTC_SPECIFIC,NORMAL_CROSS_STATE,244,0.6288659793814433,1.3943300581394937,
BTC,systemic_state,8,BTC_SPECIFIC,SYSTEMIC_STRESS,23,0.059278350515463915,1.3943300581394937,
BTC,systemic_state,8,ETH_SPECIFIC,BTC_SPECIFIC,21,0.06461538461538462,1.5702862842593648,
